security_id,ticker,verified_name,method,status
SEDOL:BYR8GK6,,,,unresolved
SEDOL:BWD2415,,,,unresolved
SEDOL:133508,,,,unresolved
SEDOL:BD6H5D3,,,,unresolved
NAME:aberdeen asia focus|ordinary share,,,,unresolved
SEDOL:B0P6J83,,,,unresolved
SEDOL:603959,,,,unresolved
SEDOL:604877,,,,unresolved
SEDOL:295958,,,,unresolved
SEDOL:BPJMQ25,,,,unresolved
SEDOL:BPJMQ36,,,,unresolved
NAME:aberforth smaller companies|ordinary share,,,,unresolved
SEDOL:BT3GKD0,,,,unresolved
SEDOL:257743,,,,unresolved
SEDOL:BSPT654,,,,unresolved
SEDOL:B1G3LR3,,,,unresolved
SEDOL:558167,,,,unresolved
SEDOL:B11V7W9,,,,unresolved
SEDOL:339072,,,,unresolved
SEDOL:BYRGPD6,,,,unresolved
SEDOL:B1FL3C7,,,,unresolved
SEDOL:BF50VS4,,,,unresolved
SEDOL:BMZR7D1,,,,unresolved
SEDOL:0060929,,,,unresolved
NAME:aurora uk alpha|ordinary share,,,,unresolved
SEDOL:B1NPGV1,,,,unresolved
SEDOL:365602,,,,unresolved
SEDOL:329501,,,,unresolved
NAME:baillie gifford japan|ordinary share,,,,unresolved
NAME:baillie gifford shin nippon|ordinary share,,,,unresolved
SEDOL:791348,,,,unresolved
SEDOL:BDFGHW4,,,,unresolved
SEDOL:B6686L2,,,,unresolved
NAME:bankers|ordinary share,,,,unresolved
SEDOL:3227334,,,,unresolved
SEDOL:3002810,,,,unresolved
SEDOL:263193,,,,unresolved
SEDOL:BDGKMY2,,,,unresolved
NAME:biotech growth|ordinary share,,,,unresolved
SEDOL:B7W0XJ6,,,,unresolved
SEDOL:B0N8MF9,,,,unresolved
SEDOL:B3SXM83,,,,unresolved
SEDOL:B01RDH7,,,,unresolved
SEDOL:3096169,,,,unresolved
SEDOL:643610,,,,unresolved
SEDOL:577485,,,,unresolved
SEDOL:BKV46W4,,,,unresolved
SEDOL:BB0RDB9,,,,unresolved
NAME:british and american|ordinary share,,,,unresolved
SEDOL:140315,,,,unresolved
SEDOL:500179,,,,unresolved
SEDOL:346340,,,,unresolved
SEDOL:149000,,,,unresolved
SEDOL:BYSRMH1,,,,unresolved
NAME:cqs natural resources growth and income|ordinary share,,,,unresolved
SEDOL:506241,,,,unresolved
SEDOL:B2PP252,,,,unresolved
SEDOL:B2PP3J3,,,,unresolved
SEDOL:BZCNLL9,,,,unresolved
SEDOL:3073827,,,,unresolved
SEDOL:346328,,,,unresolved
SEDOL:B1N4G29,,,,unresolved
SEDOL:B1N4H59,,,,unresolved
SEDOL:B9G79F5,,,,unresolved
SEDOL:B9MRHZ5,,,,unresolved
SEDOL:B631ZQ2,,,,unresolved
SEDOL:163992,,,,unresolved
SEDOL:5825107,,,,unresolved
SEDOL:173861,,,,unresolved
SEDOL:BMWWJM2,,,,unresolved
SEDOL:BFMDJH1,,,,unresolved
SEDOL:B62DS15,,,,unresolved
SEDOL:661582,,,,unresolved
SEDOL:BWBSDM9,,,,unresolved
SEDOL:BGJYPP4,,,,unresolved
SEDOL:199049,,,,unresolved
SEDOL:BMC7TM7,,,,unresolved
SEDOL:B1Z2SL4,,,,unresolved
SEDOL:BJFLFT4,,,,unresolved
SEDOL:BBP6HP3,,,,unresolved
SEDOL:BD0ND66,,,,unresolved
SEDOL:BMDKH43,,,,unresolved
SEDOL:340609,,,,unresolved
SEDOL:BF0D1M2,,,,unresolved
SEDOL:BK1WV90,,,,unresolved
SEDOL:BD3V464,,,,unresolved
SEDOL:305233,,,,unresolved
SEDOL:291633,,,,unresolved
NAME:european opportunities|ordinary share,,,,unresolved
SEDOL:346607,,,,unresolved
SEDOL:BF00L34,,,,unresolved
SEDOL:332231,,,,unresolved
SEDOL:B62Z3C7,,,,unresolved
SEDOL:B4L0PD4,,,,unresolved
SEDOL:337582,,,,unresolved
SEDOL:332510,,,,unresolved
SEDOL:781606,,,,unresolved
SEDOL:B07YBS9,,,,unresolved
SEDOL:BJL5FH8,,,,unresolved
SEDOL:BD3QJR5,,,,unresolved
SEDOL:B1M27S7,,,,unresolved
SEDOL:B61LT73,,,,unresolved
SEDOL:BYXX8B0,,,,unresolved
SEDOL:B6173J1,,,,unresolved
SEDOL:BD8P074,,,,unresolved
SEDOL:B15FW33,,,,unresolved
SEDOL:3386257,,,,unresolved
SEDOL:B1G9T99,,,,unresolved
SEDOL:BG0P0V7,,,,unresolved
SEDOL:BF2NR11,,,,unresolved
SEDOL:B8SC6K5,,,,unresolved
SEDOL:BFX3K77,,,,unresolved
SEDOL:B01WL23,,,,unresolved
SEDOL:B29BN19,,,,unresolved
SEDOL:B0T4LH6,,,,unresolved
SEDOL:2894108,,,,unresolved
SEDOL:787972,,,,unresolved
SEDOL:B28XHD6,,,,unresolved
SEDOL:B02WHS0,,,,unresolved
SEDOL:B1GXH75,,,,unresolved
SEDOL:958057,,,,unresolved
SEDOL:906506,,,,unresolved
SEDOL:422864,,,,unresolved
SEDOL:392105,,,,unresolved
SEDOL:BJP5HK1,,,,unresolved
SEDOL:329200,,,,unresolved
SEDOL:B8C23S8,,,,unresolved
SEDOL:3123249,,,,unresolved
SEDOL:B0P8RJ6,,,,unresolved
SEDOL:455934,,,,unresolved
SEDOL:B188SR5,,,,unresolved
SEDOL:453530,,,,unresolved
SEDOL:B0LNG76,,,,unresolved
SEDOL:B1DQ647,,,,unresolved
SEDOL:B07V0H2,,,,unresolved
SEDOL:846505,,,,unresolved
SEDOL:132077,,,,unresolved
SEDOL:343501,,,,unresolved
SEDOL:342218,,,,unresolved
SEDOL:3216473,,,,unresolved
SEDOL:B5ZZY91,,,,unresolved
SEDOL:341895,,,,unresolved
SEDOL:341969,,,,unresolved
SEDOL:B18JK16,,,,unresolved
SEDOL:BJVKW83,,,,unresolved
SEDOL:914327,,,,unresolved
SEDOL:345035,,,,unresolved
SEDOL:174002,,,,unresolved
SEDOL:741600,,,,unresolved
SEDOL:341710,,,,unresolved
