security_id,market,ticker,end_month,case_id,name
ASX:CIN,AU,CIN,2018-08,ASX:IPE,Carlton Investments Limited
ASX:TOP,AU,TOP,2018-10,ASX:WDE,Thorney Opportunities Ltd
ASX:CAM,AU,CAM,2019-01,ASX:CYA,Clime Capital Limited
ASX:8IH,AU,8IH,2019-02,ASX:WGF,8I Holdings Ltd
ASX:CIE,AU,CIE,2019-02,ASX:WMK,Contango Income Generator  Limited
ASX:AFI,AU,AFI,2019-07,ASX:AYK,Australian Foundation Investment Company Limited
ASX:PIC,AU,PIC,2019-07,ASX:AYZ,Perpetual Equity Investment Company Limited
ASX:CIN,AU,CIN,2019-07,ASX:CBC,Carlton Investments Limited
ASX:SEC,AU,SEC,2019-08,ASX:MVT,Spheria Emerging Companies Limited
ASX:BEL,AU,BEL,2019-10,ASX:URB,Bentley Capital Limited
ASX:LSX,AU,LSX,2019-12,ASX:HML,Lion Selection Group Limited
ASX:FSI,AU,FSI,2020-06,ASX:EGI,Flagship Investments Limited
ASX:QRI,AU,QRI,2020-09,ASX:MGG,Qualitas Real Estate Income Fund
ASX:AIQ,AU,AIQ,2020-11,ASX:EAF,Alternative Investment Trust
ASX:CD3,AU,CD3,2020-11,ASX:EGD,Cd Private Equity Fund III
ASX:LRT,AU,LRT,2020-11,ASX:EGF,Lowell Resources Fund
ASX:CD3,AU,CD3,2020-12,ASX:AGM,Cd Private Equity Fund III
ASX:AIQ,AU,AIQ,2020-12,ASX:CVF,Alternative Investment Trust
ASX:RF1,AU,RF1,2020-12,ASX:EFF,Regal Investment Fund
ASX:FPC,AU,FPC,2021-01,ASX:ABW,Fat Prophets Global Contrarian Fund Ltd
ASX:WAX,AU,WAX,2021-01,ASX:ALF,WAM Research Limited
ASX:PCI,AU,PCI,2021-02,ASX:CLF,Perpetual Credit Income Trust
ASX:8IH,AU,8IH,2021-08,ASX:MLT,8I Holdings Ltd
ASX:NCC,AU,NCC,2021-09,ASX:MAX,Naos Emerging Opportunities Company Limited
ASX:MFF,AU,MFF,2021-09,ASX:TGG,MFF Capital Investments Limited
ASX:NSC,AU,NSC,2021-10,ASX:APL,Naos Small Cap Opportunities Company Limited
ASX:GVF,AU,GVF,2022-01,ASX:PAF,Staude Capital Global Value Fund Limited
ASX:KAT,AU,KAT,2022-02,ASX:AUP,Katana Capital Limited
ASX:MEC,AU,MEC,2022-02,ASX:OZG,Morphic Ethical Equities Fund Limited
ASX:OEQ,AU,OEQ,2022-02,ASX:WIC,Orion Equities Limited
ASX:PGF,AU,PGF,2022-06,ASX:HHY,PM Capital Global Opportunities Fund Limited
ASX:SNC,AU,SNC,2022-08,ASX:AEG,Sandon Capital Investments Limited
ASX:VG1,AU,VG1,2022-08,ASX:LAN,VGI Partners Global Investments Limited
ASX:MA1,AU,MA1,2022-08,ASX:SVS,MA Credit Income Trust
ASX:AIQ,AU,AIQ,2022-11,ASX:WLS,Alternative Investment Trust
ASX:WAR,AU,WAR,2023-04,ASX:EAI,WAM Strategic Value Limited
ASX:MXT,AU,MXT,2023-08,ASX:AIB,Metrics Master Income Trust
ASX:OPH,AU,OPH,2023-09,ASX:PGG,Ophir High Conviction Fund
ASX:CDO,AU,CDO,2024-03,ASX:NBI,Cadence Opportunities Fund Limited
ASX:PIA,AU,PIA,2024-05,ASX:FOR,Pengana International Equities Limited
ASX:TEK,AU,TEK,2024-05,ASX:MGF,Thorney Technologies Ltd
ASX:CD3,AU,CD3,2024-05,ASX:QVE,Cd Private Equity Fund III
ASX:RG8,AU,RG8,2024-08,ASX:ZER,Regal Asian Investments Limited
ASX:OPH,AU,OPH,2025-02,ASX:FPP,Ophir High Conviction Fund
ASX:AFI,AU,AFI,2025-06,ASX:PAI,Australian Foundation Investment Company Limited
ASX:GFL,AU,GFL,2026-03,ASX:DUI,Global Masters Fund Limited
SEDOL:3047468,UK,PPET,2008-04,SEDOL:B1BV3Z4,Patria Private Equity
SEDOL:455934,UK,IBT,2008-06,SEDOL:789235,International Biotechnology
