security_id,nav_date,nav_value,unit,basis_note,source,headline
ASX:SET,2026-09-15,1.976,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03140302,Net Tangible Asset Backing
ASX:SEC,2026-09-15,2.244,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03140288,Net Tangible Asset Backing
ASX:QRI,2026-09-14,1.6047,dollars,unknown|as_at_document|unit_source=dollars|extractor=asx_per_unit_dollars_v1,asx_ann:03140287,Estimated Weekly NTA as at 14.09.2026
ASX:PIC,2026-09-15,1.142,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03140237,Daily Net Tangible Asset Statement
ASX:MEC,2026-09-11,0.013592,dollars,unknown|as_at_document|unit_source=cents|extractor=nta_scored_v1,asx_ann:03140184,NTA at 11.09.2026 Pre-tax 1.3592 Post-tax 1.2924
ASX:MOT,2026-09-15,2.1494,dollars,unknown|as_at_document|unit_source=dollars|extractor=asx_per_unit_dollars_v1,asx_ann:03140167,Daily Fund Update
ASX:MXT,2026-09-15,2.0076,dollars,unknown|as_at_document|unit_source=dollars|extractor=asx_per_unit_dollars_v1,asx_ann:03140166,Daily Fund Update
ASX:KIT,2026-09-14,14.09,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03140163,Weekly Estimate NTA for 14.09.2026
ASX:GCI,2026-09-15,2.0114,dollars,unknown|as_at_document|unit_source=dollars|extractor=asx_per_unit_dollars_v1,asx_ann:03140156,Net Tangible Asset Backing
ASX:PCI,2026-09-15,1.098,dollars,unknown|as_at_document|unit_source=dollars|extractor=asx_per_unit_dollars_v1,asx_ann:03140130,Daily Net Tangible Asset Statement
ASX:REV,2026-09-15,15.09,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03140119,Weekly Estimate NTA for 15.09.2026
ASX:MA1,2026-09-15,2.0071,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03140118,Daily Estimate NTA for 15.09.2026
ASX:PIA,2026-09-11,1.2244,dollars,unknown|as_at_document|unit_source=cents|extractor=nta_scored_v1,asx_ann:03140011,NTA at 11.09.26 Pre-tax 122.44 Post-tax 119.72
ASX:LRT,2026-09-15,2.5984,dollars,unknown|release_date|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139978,LRT Monthly Update - August 2026
ASX:LSF,2026-09-11,4.3839,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139948,Net Tangible Asset Backing
ASX:WQG,2026-09-11,2.011,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139674,Weekly NTA 11 September 2026
ASX:AUI,2026-09-11,13.64,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139466,Weekly NTA - 11 September 2026
ASX:ALI,2026-09-14,5.0,dollars,unknown|release_date|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139453,Weekly NTA estimate - Fri 11.9.26
ASX:MFF,2026-09-11,4.284,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139351,Weekly NTA
ASX:TVL,2026-08-31,0.105,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139310,Net Tangible Asset Backing - August 2026
ASX:BKI,2026-09-11,2.04,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139278,BKI Weekly NTA 11 September 2026
ASX:FPC,2026-08-31,1.9436,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139277,Net Tangible Asset Backing
ASX:GC1,2026-09-14,0.0846,dollars,unknown|release_date|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139268,August Monthly NTA and Investment Report
ASX:CD2,2026-08-31,0.47,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139258,Net Tangible Asset Backing & Fund Update
ASX:CD1,2026-08-31,0.17,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139257,Net Tangible Asset Backing & Fund Update
ASX:CD3,2026-08-31,0.26,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139256,Net Tangible Asset Backing & Fund Update
ASX:CAM,2026-08-31,0.825,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139240,Monthly Update - Net Tangible Asset Backing 31 August 2026
ASX:WHF,2026-09-14,6.07,dollars,unknown|release_date|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139199,Net Tangible Asset Backing - Aug 26
ASX:TGF,2026-09-11,3.53,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139198,Estimated Weekly NTA as of 11 September 2026
ASX:BHD,2026-09-14,20.26,dollars,pre_tax|release_date|unit_source=cents|extractor=derive_stated,asx_ann:03139174,Net Tangible Asset Backing
ASX:ARG,2026-09-14,10.71,dollars,unknown|release_date|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139173,Weekly NTA estimate - Fri 11.9.26
ASX:AFI,2026-09-11,7.78,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139158,Weekly Estimated NTA as at 11 September 2026
ASX:MIR,2026-09-11,2.62,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139157,Weekly Estimated NTA as at 11 September 2026
ASX:DJW,2026-09-11,3.25,dollars,unknown|as_at_document|unit_source=dollars|extractor=nta_scored_v1,asx_ann:03139155,Weekly Estimated NTA as at 11 September 2026
