ticker,n_navs,first,last,per_month,nav_frequency
AADV,26,2003-11-06,2024-08-16,0.10415074449861642,adhoc
AAIF,5178,2006-03-07,2026-09-11,21.007767249432803,daily
AAS,4981,2006-01-31,2026-09-11,20.114558979808713,daily
AATG,1,2026-03-19,2026-03-19,1.0,monthly
AAVC,11,2003-09-19,2023-02-23,0.04711850077497534,adhoc
ABD,4467,2006-03-15,2023-11-06,21.070100853374708,daily
ACIC,2859,2009-11-13,2024-03-07,16.624636572302983,daily
ADIG,4927,2006-03-30,2026-01-08,20.73377630121816,daily
AEET,2,2023-08-11,2024-03-06,0.2923076923076923,adhoc
AEI,5167,2006-03-24,2026-09-11,21.010807918673088,daily
AERI,27,2019-11-06,2026-09-09,0.3284513805522209,adhoc
AEWU,40,2015-08-18,2025-01-30,0.35215754416449463,adhoc
AFL,5177,2006-02-20,2026-09-11,20.96174746936601,daily
AGT,5206,2006-03-03,2026-09-11,21.110097372282244,daily
AGVI,557,2024-07-02,2026-09-11,21.139575530586765,daily
AIC,19,2025-03-12,2026-09-08,1.059816513761468,monthly
AIE,2055,2018-08-03,2026-09-11,21.098277608915907,daily
AIF,1230,2005-08-03,2021-11-12,6.289655172413792,weekly
AJG,4106,2004-12-16,2023-10-05,18.177137032182902,daily
AJIT,4455,2006-02-23,2023-10-06,21.04942493005906,daily
AJOT,2002,2018-10-24,2026-09-11,21.13956234803751,daily
ALAI,3233,2010-08-18,2023-06-09,21.00966224882428,daily
ALF,87,2015-12-04,2026-08-11,0.6776325903151421,monthly
ALW,5190,2006-04-06,2026-09-11,21.141096073964892,daily
ANII,5194,2006-01-31,2026-09-11,20.974707757704568,daily
APAX,6,2023-08-07,2025-08-04,0.25054945054945055,adhoc
API,80,2005-07-05,2025-07-14,0.3325129887886245,adhoc
ARR,2969,2005-08-02,2026-09-11,11.706562905317769,weekly
ASCI,4125,2005-08-03,2023-11-28,18.741593184875203,daily
ASIT,1750,2017-07-04,2024-06-20,20.920173023987417,daily
ASL,3939,2005-07-28,2026-09-11,15.521140635126377,daily
ASLI,36,2018-05-08,2026-09-08,0.35940886699507385,adhoc
ATR,5164,2006-03-08,2026-09-11,20.95376401494928,daily
ATS,4768,2006-02-01,2025-06-11,20.50172560113154,daily
ATT,5214,2006-02-14,2026-09-11,21.094703220654775,daily
ATY,242,2006-09-11,2026-09-02,1.0083333333333333,monthly
AUGM,1,2018-03-20,2018-03-20,1.0,monthly
AUSC,5155,2006-03-22,2026-09-11,20.956405456004276,daily
AWEM,853,2023-05-04,2026-09-11,21.1510603588907,daily
AXI,1544,2015-11-17,2023-08-22,16.556472663139328,daily
BAF,214,2005-08-05,2026-09-08,0.8444444444444444,monthly
BASC,5287,2006-02-14,2026-09-11,21.390045248868777,daily
BBGI,2,2021-04-14,2022-04-12,0.1674931129476584,adhoc
BCPT,60,2009-08-03,2024-07-29,0.33321154548776033,adhoc
BEMO,18788,2021-12-10,2026-09-11,329.0064516129032,daily
BERI,5844,2006-02-16,2026-09-11,23.649840255591055,daily
BFSP,7,2025-02-11,2026-07-31,0.3977570093457944,adhoc
BGCG,5220,2006-03-28,2026-09-11,21.237687366167023,daily
BGEU,5237,2006-03-14,2026-09-11,21.267005076142134,daily
BGFD,5323,2006-03-21,2026-09-11,21.63647546463431,daily
BGHL,3282,2008-07-29,2024-11-01,16.799595891564234,daily
BGS,5327,2006-03-07,2026-09-11,21.612278126251166,daily
BGUK,5059,2005-04-05,2026-09-11,19.64409247668923,daily
BHMG,1208,2007-03-20,2026-09-08,5.16355455568054,weekly
BHMU,185,2023-11-14,2026-09-08,5.465500485908649,weekly
BIOG,5188,2006-02-28,2026-09-11,21.028693333333333,daily
BIPS,3622,2012-04-03,2026-09-11,20.877664012135,daily
BMD,13,2025-10-29,2026-09-04,1.2748387096774194,monthly
BNKR,5180,2006-02-28,2026-09-11,20.996266666666667,daily
BOOK,22,2021-07-29,2026-07-27,0.36666666666666664,adhoc
BPCR,9,2025-12-19,2026-08-24,1.1032258064516127,monthly
BRAI,3490,2012-10-25,2026-09-11,20.930361017952258,daily
BRFI,3955,2010-12-20,2026-09-11,20.931754874651812,daily
BRGE,5198,2006-02-01,2026-09-11,20.993649528364553,daily
BRIG,5186,2006-02-23,2026-09-11,21.006582278481012,daily
BRLA,5186,2006-03-02,2026-09-11,21.026193651640437,daily
BRSC,5179,2006-03-03,2026-09-11,21.00061357876484,daily
BRWM,5180,2006-02-21,2026-09-11,20.97668842413747,daily
BSC,1,2026-08-06,2026-08-06,1.0,monthly
BSIF,28,2015-10-26,2026-05-14,0.22091876459901374,adhoc
BSRT,200,2010-05-10,2026-09-04,1.0199630934406978,monthly
BSV,1,2026-08-06,2026-08-06,1.0,monthly
BUT,5196,2006-03-03,2026-09-11,21.06954781912765,daily
BVT,13,2025-10-29,2026-09-04,1.2748387096774194,monthly
CAT,146,2011-02-07,2024-10-29,0.8853780171553959,monthly
CBA,15,2018-10-22,2026-06-26,0.16262482168330955,adhoc
CCJI,2720,2015-12-16,2026-09-11,21.08312085670576,daily
CGI,3188,2005-07-26,2026-09-11,12.558662692756252,daily
CGL,49,2021-11-09,2026-07-23,0.8675596971461852,monthly
CGT,3159,2008-12-11,2026-09-11,14.813142063859322,daily
CGW,222,2005-08-05,2023-11-14,1.0110561797752808,monthly
CHI,4931,2007-03-02,2026-09-11,21.0153371652881,daily
CHIB,764,2023-08-31,2026-09-11,20.9806684733514,daily
CHRY,35,2019-03-05,2026-08-03,0.3929098966026588,adhoc
CLC,5,2024-07-17,2026-08-13,0.20079260237780713,adhoc
CLDN,263,2005-02-04,2026-09-04,1.0143618370971834,monthly
CMPG,4653,2008-04-17,2026-09-11,21.046153846153846,daily
CMPI,4646,2008-04-17,2026-09-11,21.014491891087633,daily
CREI,33,2014-11-04,2022-05-10,0.36559766763848395,adhoc
CRS,206,2008-07-04,2026-09-03,0.9438432554634513,monthly
CRT,19,2017-10-16,2023-01-31,0.298810139679255,adhoc
CTHT,2414,2016-12-05,2026-09-09,20.58502103786816,daily
CTPE,2,2021-05-27,2023-05-23,0.0837465564738292,adhoc
CTPT,77,2004-07-12,2023-02-02,0.34530166691252395,adhoc
CTUK,5209,2006-01-27,2026-09-11,21.024110462028677,daily
CTY,5187,2006-02-17,2026-09-11,20.993849021435228,daily
CVCE,277,2022-06-15,2026-09-04,5.460959792477302,weekly
CVCG,724,2013-07-10,2026-09-04,4.581515403830141,weekly
CYN,3949,2005-08-18,2026-09-11,15.60301533662594,daily
D467,25,2017-08-25,2024-11-15,0.28798787419477073,adhoc
DGI9,3,2024-03-28,2025-02-05,0.29044585987261146,adhoc
DGN,4771,2006-03-23,2025-02-07,21.0322505800464,daily
DIG,5199,2006-02-27,2026-09-11,21.07047060391948,daily
DIVI,3821,2011-05-03,2026-06-26,20.99374661124164,daily
DNE,28,2018-02-26,2024-11-01,0.3488524590163934,adhoc
DORE,12,2021-02-26,2025-09-22,0.21857399640503294,adhoc
DSM,1896,2017-05-11,2025-02-17,20.30235998591053,daily
DVNO,23,2017-06-01,2026-08-06,0.20852967491798388,adhoc
EAT,4985,2006-01-25,2025-10-10,21.053626007224228,daily
EDGH,17,2020-04-21,2023-02-03,0.5076620825147348,monthly
EDIN,5193,2006-03-24,2026-09-11,21.11653290529695,daily
EGL,2452,2016-09-30,2026-09-11,20.517698871456098,daily
EJFI,108,2017-04-19,2026-08-21,0.962532981530343,monthly
EJFZ,16,2025-05-22,2026-08-21,1.0666666666666667,monthly
ENRG,23,2021-05-07,2026-09-03,0.35948586118251924,adhoc
EOT,3803,2005-09-21,2026-07-31,15.17605670779732,daily
EPIC,36,2015-01-26,2023-12-14,0.33736128236744756,adhoc
ESCT,1200,2021-12-13,2026-09-11,21.05020196191575,daily
ESP,2,2014-10-08,2015-12-24,0.13755656108597283,adhoc
EWI,5327,2006-03-23,2026-09-11,21.65852614685034,daily
FAIR,151,2014-07-15,2026-08-14,1.040199410831634,monthly
FAS,5206,2006-02-02,2026-09-11,21.028753653999466,daily
FCIT,2056,2018-08-01,2026-09-11,21.09429632129598,daily
FCSS,4135,2010-04-19,2026-09-11,20.989146769076637,daily
FEML,3544,2005-02-24,2026-09-11,13.691396619646715,daily
FEV,5202,2006-02-08,2026-09-11,21.02936170212766,daily
FGEN,35,2015-02-09,2026-08-12,0.25321275583055686,adhoc
FGT,5193,2006-03-14,2026-09-11,21.088324873096447,daily
FJV,4979,2006-03-07,2025-11-21,21.025364633976938,daily
FRGT,5051,2006-03-28,2026-02-23,21.115291529152916,daily
FSF,51,2008-08-19,2024-05-10,0.2699634337454292,adhoc
FSFL,40,2014-07-10,2026-08-11,0.2754246885617214,adhoc
FSV,5216,2006-02-13,2026-09-11,21.099986693280105,daily
FTF,3,2025-06-10,2026-06-11,0.24918032786885244,adhoc
FTSV,5,2015-01-22,2023-06-29,0.049350649350649346,adhoc
FTV,5,2025-06-02,2026-06-04,0.4141689373297003,adhoc
FVEN,6,2025-06-17,2026-03-03,0.7042471042471042,monthly
FWT,8,2023-09-20,2026-02-26,0.2732584269662921,adhoc
GABI,33,2016-01-20,2026-07-17,0.2618637431480031,adhoc
GCL,3268,2008-06-04,2026-09-11,14.887936460362655,daily
GCP,112,2010-09-08,2026-07-24,0.5872369782683684,monthly
GHV1,1,2026-03-24,2026-03-24,1.0,monthly
GHV2,1,2026-03-24,2026-03-24,1.0,monthly
GIF,33,2024-03-22,2024-10-25,4.623041474654378,weekly
GMP,54,2026-06-29,2026-09-11,22.183783783783785,daily
GOT,8217,2005-07-11,2026-09-11,32.30688049663735,daily
GPM,2270,2007-01-22,2026-09-11,9.62186279977691,weekly
GRID,22,2019-01-30,2026-05-22,0.2505807418508805,adhoc
GROW,1,2016-09-06,2016-09-06,1.0,monthly
GRP,35,2018-04-26,2026-07-29,0.35278514588859416,adhoc
GSCT,5205,2006-03-22,2026-09-11,21.159668360524204,daily
GSF,20,2018-09-25,2026-03-19,0.22254758418740847,adhoc
GWI,10,2014-11-17,2017-08-30,0.2989183874139626,adhoc
HAN,5201,2006-03-13,2026-09-11,21.117991184720182,daily
HANA,44,2026-07-13,2026-09-11,22.293333333333333,daily
HDIV,4155,2007-08-02,2024-01-11,21.03096903096903,daily
HEIT,15,2022-02-22,2025-02-26,0.4145454545454545,adhoc
HET,920,2011-11-28,2025-09-22,5.541509807806618,weekly
HFEL,4983,2006-12-20,2026-09-11,21.024732824427478,daily
HGEN,349,2021-08-02,2026-02-09,6.4222760290556895,weekly
HGT,5,2010-02-09,2013-06-04,0.1255161023947151,adhoc
HHI,5156,2006-03-17,2026-09-11,20.946465321395163,daily
HHV,19,2026-05-12,2026-09-08,4.853781512605042,weekly
HICL,4,2022-10-18,2024-11-04,0.1625668449197861,adhoc
HINT,3550,2011-05-06,2025-05-22,21.037037037037038,daily
HNE,4614,2006-02-20,2024-06-28,20.92579442040877,daily
HOT,4803,2006-02-08,2025-03-04,20.966570936243535,daily
HRI,5122,2006-02-28,2026-09-11,20.761173333333332,daily
HSL,5168,2006-03-03,2026-09-11,20.956009070294783,daily
HTCF,1021,2006-06-30,2023-03-15,5.086594559160931,weekly
HVPE,139,2010-05-14,2026-08-25,0.7105431309904153,monthly
HYG,8,2023-10-12,2026-04-30,0.2612244897959184,adhoc
IAD,8327,2006-02-07,2026-09-11,33.65786464565882,daily
IBT,5057,2005-07-27,2026-09-11,19.923898392949713,daily
IEM,5194,2006-02-20,2026-09-11,21.030580713905167,daily
IGC,2798,2006-02-09,2026-09-11,11.312568160659662,weekly
IGET,712,2023-11-14,2026-09-11,20.973643410852713,daily
INOV,1880,2015-04-22,2026-05-07,14.171088519712374,daily
INPP,1,2009-12-10,2009-12-10,1.0,monthly
INV,590,2005-07-27,2026-09-08,2.3254246078050045,monthly
IVPB,116,2023-11-14,2024-04-30,20.99047619047619,daily
IVPM,116,2023-11-14,2024-04-30,20.99047619047619,daily
IVPU,120,2007-09-24,2024-04-30,0.6016823354774864,monthly
JAGI,5181,2006-03-14,2026-09-11,21.039593908629442,daily
JAM,5203,2006-03-15,2026-09-11,21.131756847027386,daily
JARA,3,2025-09-17,2026-03-16,0.5066666666666666,monthly
JCGI,5204,2006-03-03,2026-09-11,21.101987461651326,daily
JCH,5169,2006-04-07,2026-09-11,21.05837577057089,daily
JEDT,5192,2006-03-10,2026-09-11,21.07300400534045,daily
JEGI,1166,2022-02-07,2026-09-11,21.13679189028026,daily
JEMA,56,2026-06-25,2026-09-11,21.825641025641026,daily
JEMI,4080,2010-07-29,2026-09-11,21.065217391304344,daily
JFJ,5181,2006-03-29,2026-09-11,21.081836434212285,daily
JGC,3559,2006-06-13,2025-03-11,15.80391469471224,daily
JGGI,5166,2006-03-31,2026-09-11,21.026429240862228,daily
JIGI,5221,2006-03-16,2026-09-11,21.207696419027258,daily
