name,code,month_prev,month,price_prev,price,ratio,nav_prev,nav,shares_prev,shares,ccy_prev,ccy,share_type,sector
Global Special Opportunities,3031319,2009-04,2009-05,0.38,1.76,4.6316,,,50000000.0,50000000.0,,,Capital,Split Capital Trust
Blue Planet Financials Growth & Income,B1B9C40,2007-03,2007-04,23.5,230.0,9.7872,276.55,296.7,13622600.0,13622600.0,,,Ordinary Share,Sector Specialist: Financials
Scottish Oriental Smaller Companies,GB0007836132,2025-01,2025-02,1465.0,290.0,0.198,1699.08,334.2,23293166.0,116123330.0,GBX,GBX,Ordinary Share,Asia Pacific Smaller Companies
Mid Wynd International,GB00B6VTTK07,2018-10,2018-11,483.0,4.89,0.0101,487.69,496.14,38601416.0,38901416.0,,GBX,Ordinary Share,Global
Mid Wynd International,GB00B6VTTK07,2018-11,2018-12,4.89,465.0,95.092,496.14,455.49,38901416.0,39011416.0,GBX,GBX,Ordinary Share,Global
Artemis Alpha Trust,GB0004355946,2018-10,2018-11,295.0,2.8,0.0095,354.12,343.9,40980974.0,40980974.0,,GBX,Ordinary Share,UK All Companies
Artemis Alpha Trust,GB0004355946,2018-11,2018-12,2.8,261.0,93.2143,343.9,320.58,40980974.0,40980974.0,GBX,GBX,Ordinary Share,UK All Companies
Lowland,GB0005368062,2018-10,2018-11,1405.0,13.72,0.0098,1482.83,1462.02,27018565.0,27018565.0,,GBX,Ordinary Share,UK Equity Income
Lowland,GB0005368062,2018-11,2018-12,13.72,1322.0,96.3557,1462.02,1367.0,27018565.0,27018565.0,GBX,GBX,Ordinary Share,UK Equity Income
Henderson High Income,GB0009580571,2018-10,2018-11,173.0,1.67,0.0097,173.31,171.36,128596278.0,128596278.0,,GBX,Ordinary Share,UK Equity & Bond Income
Henderson High Income,GB0009580571,2018-11,2018-12,1.67,159.0,95.2096,171.36,159.46,128596278.0,128596278.0,GBX,GBX,Ordinary Share,UK Equity & Bond Income
Artemis VCT,GB00B02WQ947,2018-10,2018-11,63.5,0.59,0.0093,52.25,51.76,53150516.0,53150516.0,,GBX,Ordinary Share,VCT AIM Quoted
Artemis VCT,GB00B02WQ947,2018-11,2018-12,0.59,57.0,96.6102,51.76,47.21,53150516.0,53150516.0,GBX,GBX,Ordinary Share,VCT AIM Quoted
Gulf Investment,IM00B1Z40704,2019-01,2019-02,0.85,85.0,100.0,1.24,1.23,92461242.0,92461242.0,USD,USD,Ordinary Share,Country Specialists: Other
Gulf Investment,IM00B1Z40704,2019-02,2019-03,85.0,0.88,0.0104,1.23,1.3,92461242.0,92461242.0,USD,USD,Ordinary Share,Country Specialists: Other
Aberdeen New Dawn,GB00BBM56V29,2013-08,2013-09,893.5,175.0,0.1959,939.88,189.76,24909402.0,124547010.0,,,Ordinary Share,Asia Pacific - Excluding Japan
JPMorgan US Smaller Companies,GB00BJL5F346,2014-02,2014-03,1571.5,160.0,0.1018,1591.1,160.97,5555780.0,56814018.0,,,Ordinary Share,North American Smaller Companies
JPMorgan American,GB00BKZGVH64,2014-04,2014-05,1161.0,243.0,0.2093,1174.29,242.59,55013782.0,275668910.0,,,Ordinary Share,North America
Fidelity European Values,GB00BK1PKQ95,2014-05,2014-06,1570.0,158.0,0.1006,1743.68,170.81,41792173.0,417440498.0,,,Ordinary Share,Europe
Lindsell Train,GB0031977944,2014-09,2014-10,37400.0,372.5,0.01,33569.06,334.62,200000.0,200000.0,,,Ordinary Share,Global
JPMorgan Overseas,GB00BYMKY695,2015-12,2016-01,1060.0,191.0,0.1802,1134.54,213.24,25829137.0,128949238.0,,,Ordinary Share,Global
Downing Strategic Micro-Cap,GB00BF0SCX52,2024-05,2024-06,34.5,8.5,0.2464,40.02,11.36,45645241.0,45645241.0,GBX,GBX,Ordinary Share,UK Smaller Companies
European Assets,NL0012838817,2018-04,2018-05,1240.0,117.25,0.0946,1202.89,122.71,35826059.0,359610590.0,,,Ordinary Share,European Smaller Companies
AVI Japan Opportunity,GB00BD6H5D36,2018-10,2018-11,101.75,1.05,0.0103,98.28,100.03,80000000.0,80000000.0,,GBX,Ordinary Share,Japanese Smaller Companies
AVI Japan Opportunity,GB00BD6H5D36,2018-11,2018-12,1.05,100.0,95.2381,100.03,94.09,80000000.0,80000000.0,GBX,GBX,Ordinary Share,Japanese Smaller Companies
JPMorgan Emerging Markets,GB00BMXWN182,2020-10,2020-11,1162.0,123.4,0.1062,1225.94,128.44,119003324.0,1190033240.0,GBX,GBX,Ordinary Share,Global Emerging Markets
Baillie Gifford European Growth,GB00BMC7T380,2021-01,2021-02,1370.0,139.4,0.1018,1339.67,133.58,36219933.0,364599330.0,GBX,GBX,Ordinary Share,Europe
Bankers,GB00BN4NDR39,2021-02,2021-03,1062.0,110.8,0.1043,1064.68,109.71,130132783.0,1303152830.0,GBX,GBX,Ordinary Share,Global
Henderson European Focus,GB00BLSNGB01,2022-01,2022-02,1555.0,151.0,0.0971,1703.69,161.86,21356548.0,213565480.0,GBX,GBX,Ordinary Share,Europe
Lowland,GB00BNXGHS27,2022-01,2022-02,1400.0,132.0,0.0943,1454.0,139.03,27018565.0,270185650.0,GBX,GBX,Ordinary Share,UK Equity Income
