file,rows,n_price,n_nav,n_both,n_ord_conv,error
2007-01_mir_MIR0701.CSV,372,249,248,248,188,
2007-02_mir_MIR0702.CSV,369,247,247,247,185,
2007-03_mir_MIR0703.CSV,376,243,247,243,185,
2007-04_mir_MIR0704.CSV,373,239,239,239,190,
2007-05_mir_MIR0705.CSV,388,235,235,235,184,
2007-06_mir_MIR0706.CSV,387,247,247,247,191,
2007-07_mir_MIR0707.CSV,393,238,237,237,188,
2007-08_mir_MIR0708.CSV,392,252,252,252,190,
2007-09_mir_MIR0709.CSV,396,247,248,247,213,
2007-10_mir_MIR0710.CSV,404,242,242,242,211,
2007-11_mir_MIR0711.CSV,406,244,244,244,214,
2007-12_mir_MIR0712.CSV,408,239,239,239,210,
2008-01_mir_MIR0801.CSV,410,239,239,239,208,
2008-02_mir_MIR0802.CSV,410,241,242,241,209,
2008-03_mir_MIR0803.CSV,416,245,244,244,212,
2008-04_mir_MIR0804.CSV,422,248,247,247,220,
2008-05_mir_MIR0805.CSV,429,248,247,247,220,
2008-06_mir_MIR0806.CSV,441,244,242,242,215,
2008-07_mir_MIR0807.CSV,440,240,239,238,211,
2008-08_mir_MIR0808.CSV,441,246,246,244,216,
2008-09_mir_MIR0809.CSV,437,237,235,235,212,
2008-10_mir_MIR0810.CSV,427,228,226,226,206,
2008-11_mir_MIR0811.CSV,432,227,225,225,207,
2008-12_mir_MIR0812.CSV,434,231,227,227,205,
2009-01_mir_MIR0901.csv,434,232,230,230,209,
2009-02_mir_MIR0902.csv,429,230,227,227,205,
2009-03_mir_MIR0903.csv,425,229,226,226,204,
2009-04_mir_MIR0904.csv,424,224,222,222,207,
2009-05_mir_MIR0905.csv,430,219,216,216,201,
2009-06_mir_MIR0906.csv,430,215,213,213,200,
2009-07_mir_MIR0907.csv,429,217,215,215,199,
2009-08_mir_MIR0908.csv,430,220,219,219,203,
2009-09_mir_MIR0909.csv,427,219,216,216,198,
2009-10_mir_MIR0910.csv,424,211,209,209,195,
2009-11_mir_MIR0911.csv,424,216,214,214,202,
2009-12_mir_MIR0912.csv,430,212,209,209,195,
2010-01_mir_MIR1001.csv,429,211,209,209,195,
2010-02_mir_MIR1002.csv,426,211,209,209,196,
2010-03_mir_MIR1003.csv,422,208,205,205,189,
2010-04_mir_MIR1004.csv,426,205,203,203,189,
2010-05_mir_MIR1005.csv,426,209,207,207,194,
2010-06_mir_MIR1006.csv,430,207,204,204,190,
2010-07_mir_MIR1007.csv,433,209,207,207,192,
2010-08_mir_MIR1008.csv,434,217,215,215,200,
2010-09_mir_MIR1009.csv,426,210,207,207,191,
2010-10_mir_MIR1010.csv,423,209,207,207,192,
2010-11_mir_MIR1011.csv,423,211,208,208,193,
2010-12_mir_MIR1012.csv,426,206,204,204,190,
2011-01_mir_MIR1101.CSV,426,206,204,204,189,
2011-02_mir_MIR1102.CSV,426,214,211,211,194,
2011-03_mir_MIR1103.CSV,421,207,205,205,190,
2011-04_mir_MIR1104.CSV,431,206,204,204,189,
2011-05_mir_MIR1105.CSV,431,203,201,201,188,
2011-06_mir_MIR1106.csv,430,198,197,197,186,
2011-07_mir_MIR1107.csv,432,201,200,200,187,
2011-08_mir_MIR1108.csv,428,206,204,204,191,
2011-09_mir_MIR1109.csv,427,197,196,196,181,
2011-10_mir_MIR1110.csv,428,193,192,192,179,
2011-11_mir_MIR1111.csv,419,199,197,197,182,
2011-12_mir_MIR1112.csv,420,192,191,191,178,
2012-01_mir_MIR1201.CSV,424,192,191,191,177,
2012-02_mir_MIR1202.CSV,424,201,199,199,183,
2012-03_mir_MIR1203.CSV,429,193,192,192,178,
2012-04_mir_MIR1204.CSV,427,188,187,187,173,
2012-05_mir_MIR1205.CSV,425,193,191,191,175,
2012-06_mir_MIR1206.CSV,424,188,186,186,172,
2012-07_mir_MIR1207.CSV,421,188,187,187,173,
2012-08_mir_MIR1208.csv,420,196,194,194,176,
2012-09_mir_MIR1209.csv,416,185,184,184,168,
2012-10_mir_MIR1210.csv,411,188,187,187,172,
2012-11_mir_MIR1211.CSV,408,197,195,195,178,
2012-12_mir_MIR1212.CSV,412,412,189,189,174,
2013-01_mir_MIR1301.CSV,410,190,189,189,174,
2013-02_mir_MIR1302.CSV,409,195,193,193,176,
2013-03_mir_MIR1303.CSV,406,188,187,187,172,
2013-04_mir_MIR1304.CSV,409,187,186,186,171,
2013-05_mir_MIR1305.CSV,410,197,197,197,178,
2013-06_mir_MIR1306.csv,413,188,187,187,172,
2013-07_mir_MIR1307.CSV,415,190,190,190,174,
2013-08_mir_MIR1308.csv,413,200,198,198,181,
2013-09_mir_MIR1309.csv,417,187,186,186,171,
2013-10_mir_MIR1310.csv,419,189,189,189,173,
2013-11_mir_MIR1311.csv,412,199,199,199,180,
2013-12_mir_MIR1312.csv,411,190,190,190,173,
2014-01_mir_MIR1401.csv,410,194,194,194,175,
2014-02_mir_MIR1402.csv,411,204,204,204,182,
2014-03_mir_MIR1403.csv,417,198,198,198,176,
2014-04_mir_MIR1404.csv,424,199,199,199,177,
2014-05_mir_MIR1405.csv,421,203,203,203,181,
2014-06_mir_MIR1406.csv,426,199,199,199,177,
2014-07_mir_MIR1407.csv,433,203,202,202,181,
2014-08_mir_MIR1408.csv,430,208,208,208,186,
2014-09_mir_MIR1409.csv,424,201,200,200,179,
2014-10_mir_MIR1410.csv,421,200,199,199,179,
2014-11_mir_MIR1411.csv,413,203,202,202,182,
2014-12_mir_MIR1412.csv,411,202,201,201,181,
2015-01_mir_MIR1501.csv,412,200,200,200,179,
2015-02_mir_MIR1502.csv,415,203,203,203,182,
2015-03_mir_MIR1503.CSV,417,200,200,200,179,
2015-04_mir_MIR1504.CSV,418,198,198,198,179,
2015-05_mir_MIR1505.CSV,420,204,204,204,185,
2015-06_mir_MIR1506.csv,424,203,202,202,182,
2015-07_mir_MIR1507.CSV,428,203,202,202,182,
2015-08_mir_MIR1508.csv,427,206,205,205,185,
2015-09_mir_MIR1509.CSV,430,204,202,202,183,
2015-10_mir_MIR1510.csv,425,201,200,200,180,
2015-11_mir_MIR1511.csv,423,204,203,203,184,
2015-12_mir_MIR1512.CSV,422,204,203,203,183,
2016-01_mir_MIR1601.CSV,420,207,205,205,186,
2016-02_mir_MIR1602.CSV,420,209,207,207,188,
2016-03_mir_MIR1603.CSV,417,204,202,202,183,
2016-04_mir_MIR1604.CSV,418,205,203,203,184,
