ERRATA & ADDITIONAL INFORMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIC,Name,Type,MonthEnd,Code,TA,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthendMidPrice,CurrYrRev,Rev (splits only),Rev (splits only),Shares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolderFunds for share,Par, Par, Par, Par, Par, Par, Par, Par, Par, Par,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,PFY,Regional distribution,,,,,,,Additional geographic,,,,,,,CFI Exposure,,,,,,CCY Exposure,,,,,,Flags,Add P/F,,,,,,,AIC Cat 2,Unit1,Unit1,Unit1,Unit1,Unit2,Unit2,Unit2,Unit2,Unit2,Unit2,FootNote,FairValue,ShareNote
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,,,,,,, , , , , , , ,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other ,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
Global Growth                                                                                       ,Advance UK,Ordinary Share,31/12/2006,167518,90438129,0,0,0,0,0,0,0,0,218,0,0,,39489660,0,2425000,2425000,No,15,100,,,Y,90438129,229.02,,,,229.02,,,,,,229.02,,,,229.02,,,,,,1,15,58,11,13,1,1,1,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Hedge Funds                                                                                         ,Alternative Investment Strategies,Ordinary Share,31/12/2006,B06GDT1,221095202,0,0,0,0,0,0,0,0,138.5,0,,,163606013,0,0,0,N/A,0,100,,,,221095202,135.14,,,,,,,,,,135.14,,,,,,,,,,0,0,0,17,34,0,13,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,No information supplied,,
Venture Capital Trusts                                                                              ,Artemis AIM VCT 2,Ordinary Share,31/12/2006,B02WQ94,34914184,0,0,0,0,0,0,0,0,80,-547,,,39857004,0,0,0,No,35,100,17,Y,N,34914184,,,,,,87.6,,,,,,,,,,87.6,,,,,1.12,35,65,0,0,0,0,0,35,48,17,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Venture Capital Trusts                                                                              ,Close Brothers Development VCT,Ordinary Share,31/10/2006,483247,12372382,0,0,0,0,0,0,0,0,87,0,,,12836263,0,45883,206400,Yes,0,100,,,Y,12372382,96.39,,,,96.24,,,,,,96.39,,,,96.24,,,,,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,*/zd,0,0,0,0,0,0,0,,,,,,,,,,,,No information supplied,,"26 October 2006, purchased 45,883 @ 87p (ú39,919.21)"
Venture Capital Trusts                                                                              ,Close Brothers Development VCT C shares,C share,31/10/2006,3204218,18147604,0,0,0,0,0,0,0,0,95.5,0,,,17998342,0,0,121715,Yes,0,100,,,Y,18147604,100.83,,,,100.79,,,,,,100.83,,,,100.79,,,,,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,*/zd,0,0,0,0,0,0,0,,,,,,,,,,,,No information supplied,,
Global Growth & Income                                                                              ,Eclectic,Ordinary Share,31/12/2006,341947,33969628,4166152,4166152,4166152,4166152,0,541199,867107,4707351,159,1,0,,17676598,0,0,0,N/A,11,116,2,,Y,29803476,165.54,,163.49,,,165.54,,163.49,,,163.7,,163.49,,,163.7,,163.49,,,2.7,11,15,1,2,0,71,0,0,0,0,0,0,0,0,34,1,-1,0,66,0,176,0,-24,0,-52,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,The loan facility is valued at current liability value so there is no difference between par and fair value,
Property                                                                                            ,Henderson Global Property Companies,Ordinary Share,31/12/2006,B17MXW8,51222491,9064970,9064970,9064970,9064970,0,0,0,9064970,110,0,0,,37500000,0,0,0,N/A,0,122,,,Y,42157521,112.42,,,,,,,,,,112.42,,,,,,,,,,0,0,0,28,26,0,11,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,No information supplied,,
Sector Specialist: Biotechnology/Life Sciences                                                      ,International Biotechnology,Ordinary Share,31/12/2006,455934,73065510,0,0,0,0,0,0,0,0,153,0,0,,47065467,0,0,0,N/A,13,100,,,Y,73065510,155.24,,,,,,,,,,155.24,,,,,,,,,,0,13,14,15,55,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
UK Growth                                                                                           ,Invesco Perpetual Select UK Equity,Ordinary Share,31/12/2006,B1DPVL6,45594357,141468,141468,141468,141468,0,0,0,141468,100.5,0,0,,44752594,0,0,0,N/A,0,100,0,,Y,45452889,101.56,,,,,,,,,,101.56,,,,,,,,,,2.9,0,88,0,12,0,0,0,0,71,12,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,FV of overdraft considered not to be materially different to PAR,
Sector Specialist: Zero Dividend                                                                    ,Investec Capital Accumulator,Ordinary Share,31/12/2006,B0GYJV9,39867454,0,0,0,0,0,0,0,0,102.25,-30556,,,37626231,0,0,0,N/A,6,100,84.3,Y,N,39867454,,,,,,105.88,,,,,,,,,,105.88,,,,,0.61,6,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Country Specialists: Europe                                                                         ,JPMorgan Russian Securities,Ordinary Share,31/12/2006,3216473,312469796,17189800,17189800,17189800,17189800,0,0,0,17189800,472,124616,0,,56012812,0,0,0,N/A,0,106,,,N,295279996,527.17,,,,,527.39,,,,,527.17,,,,,527.39,,,,,1.67,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
North American Smaller Companies                                                                    ,JPMorgan US Discovery,Ordinary Share,31/12/2006,341710,104588335,10440766,10440766,10440766,10440766,0,0,0,10440766,824,-884851,0,,10159480,0,0,0,N/A,0,111,,Y,Y,94147569,,,,,,917.99,,,,,,,,,,917.99,,,,,0.3,0,0,100,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Global Smaller Companies                                                                            ,Jubilee Investment Trust,Ordinary Share,31/12/2006,3253953,11982562,0,0,0,0,0,0,0,0,30,0,,,33834442,0,0,2600000,No,0,100,,,N,11982562,35.42,,,,35.42,,,,,,35.42,,,,35.42,,,,,,0,0,76,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,0,,,,,,,,,,,,No information supplied,,
Venture Capital Trusts                                                                              ,Quester VCT,Ordinary Share,31/08/2006,717429,49568000,0,0,0,0,0,0,0,0,35.5,0,,,118559937,0,0,0,N/A,0,100,40,,,49568000,41.81,,,,,,,,,,41.81,,,,,,,,,,0,0,100,0,0,0,0,0,28,32,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,,,,,,,,,,,,No information supplied,,
Global Growth                                                                                       ,RIT Capital Partners,Ordinary Share,31/08/2006,736639,1583063510,179800261,178326895,179800261,178326895,0,0,0,179800261,911,-29575000,0,,156178167,0,0,0,N/A,11,113,12,,Y,1403263249,898.5,,,,,879.56,,,,,899.44,,,,,880.51,,,,,0.4,11,15,16,39,6,7,6,0,0,0,0,0,0,0,39,13,47,1,0,0,29,19,12,21,16,3,,0,0,0,0,0,0,0,,,,,,,,,,,,,The fair value of the loans is based on the net present value of their future cash flows.,
Global Growth                                                                                       ,RIT Capital Partners,Ordinary Share,30/09/2006,736639,1636093137,182024436,181047567,182024436,181047567,0,0,0,182024436,936,-25900000,0,,156178167,0,0,0,N/A,6,113,15,,Y,1454068701,931.03,,,,,914.45,,,,,931.66,,,,,915.07,,,,,0.4,6,15,19,48,4,5,3,0,0,0,0,0,0,0,117,-43,17,4,5,0,43,16,13,13,13,2,z,0,0,0,0,0,0,0,,,,,,,,,,,,No information supplied,The fair value of the loans is based on the net present value of their future cash flows.,
Global Growth                                                                                       ,RIT Capital Partners,Ordinary Share,31/10/2006,736639,1650736165,179028717,178091103,179028717,178091103,0,0,0,179028717,963,-30217000,0,,156178167,0,0,0,N/A,10,112,13,,Y,1471707448,942.33,,,,,922.98,,,,,942.93,,,,,923.58,,,,,0.4,10,15,15,40,6,8,6,0,0,0,0,0,0,0,75,1,23,1,0,0,56,16,12,3,12,1,/,0,0,0,0,0,0,0,,,,,,,,,,,,No information supplied,The fair value of the loans is based on the net present value of their future cash flows.,
Global Growth                                                                                       ,RIT Capital Partners,Ordinary Share,30/11/2006,736639,1706356035,177337896,176551261,177337896,176551261,0,0,0,177337896,955,-34533000,0,,156178167,0,0,0,N/A,7,112,12,,Y,1529018139,979.02,,,,,956.91,,,,,979.53,,,,,957.41,,,,,0.4,7,14,19,39,5,8,8,0,0,0,0,0,0,0,60,2,37,1,0,0,62,18,10,4,5,1,,0,0,0,0,0,0,0,,,,,,,,,,,,,The fair value of the loans is based on the net present value of their future cash flows.,
Global Growth                                                                                       ,RIT Capital Partners,Ordinary Share,31/12/2006,736639,1750797970,177706603,176905427,177706603,176905427,0,0,0,177706603,976.5,-38850000,0,,156178167,0,0,0,N/A,7,111,12,,Y,1573091367,1007.24,,,,,982.37,,,,,1007.75,,,,,982.88,,,,,0.4,7,11,20,40,5,8,9,0,0,0,0,0,0,0,40,-2,51,11,0,0,60,19,11,4,4,2,,0,0,0,0,0,0,0,,,,,,,,,,,,,The fair value of the loans is based on the net present value of their future cash flows.,
