Fund,Sector,Country,Percent,Date,SEDOL
Aberdeen All Asia,Asia Pacific - Including Japan,India,13,30/06/2010,392075
Aberdeen All Asia,Asia Pacific - Including Japan,UK,7,30/06/2010,392075
Aberdeen All Asia,Asia Pacific - Including Japan,Australia,4,30/06/2010,392075
Aberdeen All Asia,Asia Pacific - Including Japan,China,4,30/06/2010,392075
Aberdeen All Asia,Asia Pacific - Including Japan,Hong Kong,15,30/06/2010,392075
Aberdeen All Asia,Asia Pacific - Including Japan,Japan,22,30/06/2010,392075
Aberdeen All Asia,Asia Pacific - Including Japan,Malaysia,4,30/06/2010,392075
Aberdeen All Asia,Asia Pacific - Including Japan,Philippines,2,30/06/2010,392075
Aberdeen All Asia,Asia Pacific - Including Japan,Singapore,17,30/06/2010,392075
Aberdeen All Asia,Asia Pacific - Including Japan,South Korea,6,30/06/2010,392075
Aberdeen All Asia,Asia Pacific - Including Japan,Taiwan,4,30/06/2010,392075
Aberdeen All Asia,Asia Pacific - Including Japan,Thailand,4,30/06/2010,392075
Aberdeen All Asia,Asia Pacific - Including Japan,Cash/Cash Equiv.,-2,30/06/2010,392075
Aberdeen Asian Income,Asia Pacific - Excluding Japan,Australia,14,30/06/2010,B0P6J83
Aberdeen Asian Income,Asia Pacific - Excluding Japan,China,3,30/06/2010,B0P6J83
Aberdeen Asian Income,Asia Pacific - Excluding Japan,Hong Kong,6,30/06/2010,B0P6J83
Aberdeen Asian Income,Asia Pacific - Excluding Japan,Indonesia,2,30/06/2010,B0P6J83
Aberdeen Asian Income,Asia Pacific - Excluding Japan,Malaysia,17,30/06/2010,B0P6J83
Aberdeen Asian Income,Asia Pacific - Excluding Japan,New Zealand,1,30/06/2010,B0P6J83
Aberdeen Asian Income,Asia Pacific - Excluding Japan,Philippines,1,30/06/2010,B0P6J83
Aberdeen Asian Income,Asia Pacific - Excluding Japan,Singapore,23,30/06/2010,B0P6J83
Aberdeen Asian Income,Asia Pacific - Excluding Japan,Taiwan,9,30/06/2010,B0P6J83
Aberdeen Asian Income,Asia Pacific - Excluding Japan,Thailand,15,30/06/2010,B0P6J83
Aberdeen Asian Income,Asia Pacific - Excluding Japan,Cash/Cash Equiv.,3,30/06/2010,B0P6J83
Aberdeen Asian Income,Asia Pacific - Excluding Japan,Fixed Interest,6,30/06/2010,B0P6J83
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,India,14,30/06/2010,10076
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Pakistan,1,30/06/2010,10076
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Sri Lanka,6,30/06/2010,10076
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,UK,2,30/06/2010,10076
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Australia,1,30/06/2010,10076
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Hong Kong,16,30/06/2010,10076
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Indonesia,10,30/06/2010,10076
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Malaysia,16,30/06/2010,10076
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,New Zealand,1,30/06/2010,10076
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Philippines,6,30/06/2010,10076
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Singapore,13,30/06/2010,10076
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,South Korea,1,30/06/2010,10076
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Thailand,11,30/06/2010,10076
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Cash/Cash Equiv.,1,30/06/2010,10076
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Fixed Interest,1,30/06/2010,10076
Aberdeen Development Capital,Split Capital Trust,Not reported,,,
Aberdeen Development Capital ZDP Unit,Split Capital Trust,Not reported,,,
Aberdeen New Dawn,Asia Pacific - Excluding Japan,India,16,30/06/2010,5685
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Other Asia,2,30/06/2010,5685
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Sri Lanka,3,30/06/2010,5685
Aberdeen New Dawn,Asia Pacific - Excluding Japan,UK,10,30/06/2010,5685
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Australia,4,30/06/2010,5685
Aberdeen New Dawn,Asia Pacific - Excluding Japan,China,5,30/06/2010,5685
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Hong Kong,17,30/06/2010,5685
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Indonesia,2,30/06/2010,5685
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Malaysia,4,30/06/2010,5685
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Philippines,2,30/06/2010,5685
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Singapore,20,30/06/2010,5685
Aberdeen New Dawn,Asia Pacific - Excluding Japan,South Korea,6,30/06/2010,5685
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Taiwan,5,30/06/2010,5685
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Thailand,5,30/06/2010,5685
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Cash/Cash Equiv.,-1,30/06/2010,5685
Aberdeen New Thai,Country Specialists: Asia Pacific,Thailand,102,30/06/2010,5997
Aberdeen New Thai,Country Specialists: Asia Pacific,Cash/Cash Equiv.,-2,30/06/2010,5997
Aberdeen Private Equity,Private Equity,Not reported,,,
Aberforth Geared Capital & Income,Split Capital Trust,UK,104,30/06/2010,3110014
Aberforth Geared Capital & Income,Split Capital Trust,Cash/Cash Equiv.,-4,30/06/2010,3110014
Aberforth Geared Income,Split Capital Trust,UK,100,30/06/2010,B4TR344
Aberforth Smaller Companies,UK Smaller Companies,UK,101,30/06/2010,6655
Aberforth Smaller Companies,UK Smaller Companies,Cash/Cash Equiv.,-1,30/06/2010,6655
Absolute Return Trust,Hedge Funds,Not reported,,,
Absolute Return Trust Euro,Hedge Funds,Not reported,,,
AcenciA Debt Strategies,Hedge Funds,Not reported,,,
Acuity Growth VCT,VCT Generalist,Not reported,,,
Acuity Growth VCT C shares,VCT Generalist Pre Qualifying,Not reported,,,
Acuity VCT 3,VCT Generalist,Not reported,,,
Advance Developing Markets,Global Emerging Markets,Other African,2,30/06/2010,B45L2K9
Advance Developing Markets,Global Emerging Markets,South Africa,4,30/06/2010,B45L2K9
Advance Developing Markets,Global Emerging Markets,India,5,30/06/2010,B45L2K9
Advance Developing Markets,Global Emerging Markets,European Emerging,3,30/06/2010,B45L2K9
Advance Developing Markets,Global Emerging Markets,Poland,1,30/06/2010,B45L2K9
Advance Developing Markets,Global Emerging Markets,Russia,11,30/06/2010,B45L2K9
Advance Developing Markets,Global Emerging Markets,Turkey,3,30/06/2010,B45L2K9
Advance Developing Markets,Global Emerging Markets,China,14,30/06/2010,B45L2K9
Advance Developing Markets,Global Emerging Markets,Far East & Pacific Region,4,30/06/2010,B45L2K9
Advance Developing Markets,Global Emerging Markets,Hong Kong,3,30/06/2010,B45L2K9
Advance Developing Markets,Global Emerging Markets,Indonesia,1,30/06/2010,B45L2K9
Advance Developing Markets,Global Emerging Markets,Singapore,2,30/06/2010,B45L2K9
Advance Developing Markets,Global Emerging Markets,South Korea,8,30/06/2010,B45L2K9
Advance Developing Markets,Global Emerging Markets,Taiwan,7,30/06/2010,B45L2K9
Advance Developing Markets,Global Emerging Markets,Thailand,1,30/06/2010,B45L2K9
Advance Developing Markets,Global Emerging Markets,Brazil,22,30/06/2010,B45L2K9
Advance Developing Markets,Global Emerging Markets,Chile,1,30/06/2010,B45L2K9
Advance Developing Markets,Global Emerging Markets,Mexico,3,30/06/2010,B45L2K9
Advance Developing Markets,Global Emerging Markets,Other Latin America,1,30/06/2010,B45L2K9
Advance Developing Markets,Global Emerging Markets,Middle East Region,1,30/06/2010,B45L2K9
Advance Developing Markets,Global Emerging Markets,Latin America Region,1,30/06/2010,B45L2K9
Advance Developing Markets,Global Emerging Markets,Cash/Cash Equiv.,2,30/06/2010,B45L2K9
Albany,UK Growth,Italy,1,30/06/2010,12102
Albany,UK Growth,UK,87,30/06/2010,12102
Albany,UK Growth,USA,6,30/06/2010,12102
Albany,UK Growth,Cash/Cash Equiv.,4,30/06/2010,12102
Albany,UK Growth,Fixed Interest,2,30/06/2010,12102
Albion Development VCT,VCT Generalist,Not reported,,,
Albion Development VCT D shares,VCT Generalist Pre Qualifying,Not reported,,,
Albion Enterprise VCT,VCT Generalist,Not reported,,,
Albion Income & Growth VCT,VCT Generalist,Not reported,,,
Albion Prime VCT,VCT Generalist,Not reported,,,
Albion Technology & General VCT,VCT Generalist,Not reported,,,
Albion Technology & General VCT C shares,VCT Generalist,Not reported,,,
