Fund,Sector,Country,Percent,Date,ISIN
3i Infrastructure,Sector Specialist: Infrastructure,Not reported,,,
Aberdeen Asian Income,Asia Pacific - Excluding Japan,Australia,15.89,30/06/2018,GB00B0P6J834
Aberdeen Asian Income,Asia Pacific - Excluding Japan,China,6.6,30/06/2018,GB00B0P6J834
Aberdeen Asian Income,Asia Pacific - Excluding Japan,Hong Kong,10.63,30/06/2018,GB00B0P6J834
Aberdeen Asian Income,Asia Pacific - Excluding Japan,Japan,4.15,30/06/2018,GB00B0P6J834
Aberdeen Asian Income,Asia Pacific - Excluding Japan,Malaysia,6.82,30/06/2018,GB00B0P6J834
Aberdeen Asian Income,Asia Pacific - Excluding Japan,New Zealand,2.97,30/06/2018,GB00B0P6J834
Aberdeen Asian Income,Asia Pacific - Excluding Japan,Singapore,23.98,30/06/2018,GB00B0P6J834
Aberdeen Asian Income,Asia Pacific - Excluding Japan,South Korea,5.55,30/06/2018,GB00B0P6J834
Aberdeen Asian Income,Asia Pacific - Excluding Japan,Taiwan,7.1,30/06/2018,GB00B0P6J834
Aberdeen Asian Income,Asia Pacific - Excluding Japan,Thailand,5.9,30/06/2018,GB00B0P6J834
Aberdeen Asian Income,Asia Pacific - Excluding Japan,UK,4.25,30/06/2018,GB00B0P6J834
Aberdeen Asian Income,Asia Pacific - Excluding Japan,USA,1.79,30/06/2018,GB00B0P6J834
Aberdeen Asian Income,Asia Pacific - Excluding Japan,Cash/Cash Equivalent,1.37,30/06/2018,GB00B0P6J834
Aberdeen Asian Income,Asia Pacific - Excluding Japan,Fixed Interest,3,30/06/2018,GB00B0P6J834
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Australia,1.85,30/06/2018,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,China,2.4,30/06/2018,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Hong Kong,15.24,30/06/2018,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,India,10.49,30/06/2018,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Indonesia,4.54,30/06/2018,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Malaysia,14.49,30/06/2018,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,New Zealand,0.51,30/06/2018,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Pakistan,0.81,30/06/2018,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Philippines,5.99,30/06/2018,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Singapore,11.67,30/06/2018,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,South Korea,0.89,30/06/2018,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Sri Lanka,3.05,30/06/2018,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Taiwan,2.39,30/06/2018,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Thailand,15,30/06/2018,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Denmark,1.89,30/06/2018,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Netherlands,3.37,30/06/2018,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,UK,3.1,30/06/2018,GB0000100767
Aberdeen Asian Smaller Companies,Asia Pacific - Excluding Japan,Cash/Cash Equivalent,2.32,30/06/2018,GB0000100767
Aberdeen Diversified Income & Growth,Flexible Investment,India,1.99,30/06/2018,GB0001297562
Aberdeen Diversified Income & Growth,Flexible Investment,Denmark,0.7,30/06/2018,GB0001297562
Aberdeen Diversified Income & Growth,Flexible Investment,Guernsey,8.76,30/06/2018,GB0001297562
Aberdeen Diversified Income & Growth,Flexible Investment,Ireland,2.06,30/06/2018,GB0001297562
Aberdeen Diversified Income & Growth,Flexible Investment,Luxembourg,27.26,30/06/2018,GB0001297562
Aberdeen Diversified Income & Growth,Flexible Investment,Netherlands,0.93,30/06/2018,GB0001297562
Aberdeen Diversified Income & Growth,Flexible Investment,UK,27.24,30/06/2018,GB0001297562
Aberdeen Diversified Income & Growth,Flexible Investment,USA,6.18,30/06/2018,GB0001297562
Aberdeen Diversified Income & Growth,Flexible Investment,Bermuda,5.64,30/06/2018,GB0001297562
Aberdeen Diversified Income & Growth,Flexible Investment,Cayman Islands,0.71,30/06/2018,GB0001297562
Aberdeen Diversified Income & Growth,Flexible Investment,Cash/Cash Equivalent,2.67,30/06/2018,GB0001297562
Aberdeen Diversified Income & Growth,Flexible Investment,Fixed Interest,15.86,30/06/2018,GB0001297562
Aberdeen Emerging Markets,Global Emerging Markets,Kenya,1,30/06/2018,GG00B45L2K95
Aberdeen Emerging Markets,Global Emerging Markets,Nigeria,1,30/06/2018,GG00B45L2K95
Aberdeen Emerging Markets,Global Emerging Markets,South Africa,5,30/06/2018,GG00B45L2K95
Aberdeen Emerging Markets,Global Emerging Markets,China,20,30/06/2018,GG00B45L2K95
Aberdeen Emerging Markets,Global Emerging Markets,Hong Kong,9,30/06/2018,GG00B45L2K95
Aberdeen Emerging Markets,Global Emerging Markets,India,3,30/06/2018,GG00B45L2K95
Aberdeen Emerging Markets,Global Emerging Markets,Indonesia,3,30/06/2018,GG00B45L2K95
Aberdeen Emerging Markets,Global Emerging Markets,Philippines,1,30/06/2018,GG00B45L2K95
Aberdeen Emerging Markets,Global Emerging Markets,Singapore,1,30/06/2018,GG00B45L2K95
Aberdeen Emerging Markets,Global Emerging Markets,South Korea,15,30/06/2018,GG00B45L2K95
Aberdeen Emerging Markets,Global Emerging Markets,Taiwan,11,30/06/2018,GG00B45L2K95
Aberdeen Emerging Markets,Global Emerging Markets,Thailand,3,30/06/2018,GG00B45L2K95
Aberdeen Emerging Markets,Global Emerging Markets,Vietnam,1,30/06/2018,GG00B45L2K95
Aberdeen Emerging Markets,Global Emerging Markets,Poland,2,30/06/2018,GG00B45L2K95
Aberdeen Emerging Markets,Global Emerging Markets,Romania,4,30/06/2018,GG00B45L2K95
Aberdeen Emerging Markets,Global Emerging Markets,Russia,9,30/06/2018,GG00B45L2K95
Aberdeen Emerging Markets,Global Emerging Markets,Turkey,3,30/06/2018,GG00B45L2K95
Aberdeen Emerging Markets,Global Emerging Markets,Argentina,1,30/06/2018,GG00B45L2K95
Aberdeen Emerging Markets,Global Emerging Markets,Brazil,5,30/06/2018,GG00B45L2K95
Aberdeen Emerging Markets,Global Emerging Markets,Chile,1,30/06/2018,GG00B45L2K95
Aberdeen Emerging Markets,Global Emerging Markets,Colombia,1,30/06/2018,GG00B45L2K95
Aberdeen Emerging Markets,Global Emerging Markets,Mexico,2,30/06/2018,GG00B45L2K95
Aberdeen Emerging Markets,Global Emerging Markets,Peru,1,30/06/2018,GG00B45L2K95
Aberdeen Emerging Markets,Global Emerging Markets,Egypt,1,30/06/2018,GG00B45L2K95
Aberdeen Emerging Markets,Global Emerging Markets,Cash/Cash Equivalent,-4,30/06/2018,GG00B45L2K95
Aberdeen Emerging Markets,Global Emerging Markets,Fixed Interest,0,30/06/2018,GG00B45L2K95
Aberdeen Frontier Markets,Global Emerging Markets,Ghana,2,30/06/2018,GG00B1W59J17
Aberdeen Frontier Markets,Global Emerging Markets,Kenya,9,30/06/2018,GG00B1W59J17
Aberdeen Frontier Markets,Global Emerging Markets,Morocco,1,30/06/2018,GG00B1W59J17
Aberdeen Frontier Markets,Global Emerging Markets,Nigeria,10,30/06/2018,GG00B1W59J17
Aberdeen Frontier Markets,Global Emerging Markets,Other African,2,30/06/2018,GG00B1W59J17
Aberdeen Frontier Markets,Global Emerging Markets,South Africa,2,30/06/2018,GG00B1W59J17
Aberdeen Frontier Markets,Global Emerging Markets,Bangladesh,8,30/06/2018,GG00B1W59J17
Aberdeen Frontier Markets,Global Emerging Markets,Myanmar,2,30/06/2018,GG00B1W59J17
Aberdeen Frontier Markets,Global Emerging Markets,Pakistan,10,30/06/2018,GG00B1W59J17
Aberdeen Frontier Markets,Global Emerging Markets,Sri Lanka,8,30/06/2018,GG00B1W59J17
Aberdeen Frontier Markets,Global Emerging Markets,Thailand,2,30/06/2018,GG00B1W59J17
Aberdeen Frontier Markets,Global Emerging Markets,Vietnam,16,30/06/2018,GG00B1W59J17
Aberdeen Frontier Markets,Global Emerging Markets,Belarus,1,30/06/2018,GG00B1W59J17
Aberdeen Frontier Markets,Global Emerging Markets,Georgia,3,30/06/2018,GG00B1W59J17
Aberdeen Frontier Markets,Global Emerging Markets,Romania,4,30/06/2018,GG00B1W59J17
Aberdeen Frontier Markets,Global Emerging Markets,Turkey,1,30/06/2018,GG00B1W59J17
Aberdeen Frontier Markets,Global Emerging Markets,Argentina,8,30/06/2018,GG00B1W59J17
Aberdeen Frontier Markets,Global Emerging Markets,Panama,2,30/06/2018,GG00B1W59J17
Aberdeen Frontier Markets,Global Emerging Markets,Egypt,5,30/06/2018,GG00B1W59J17
Aberdeen Frontier Markets,Global Emerging Markets,Lebanon,1,30/06/2018,GG00B1W59J17
Aberdeen Frontier Markets,Global Emerging Markets,Oman,1,30/06/2018,GG00B1W59J17
Aberdeen Frontier Markets,Global Emerging Markets,Cash/Cash Equivalent,2,30/06/2018,GG00B1W59J17
Aberdeen Frontier Markets,Global Emerging Markets,Fixed Interest,0,30/06/2018,GG00B1W59J17
Aberdeen Japan,Japan,Japan,99.99,30/06/2018,GB0003920757
Aberdeen Japan,Japan,Cash/Cash Equivalent,0.01,30/06/2018,GB0003920757
Aberdeen Latin American Income,Latin America,Argentina,1.98,30/06/2018,JE00B44ZTP62
Aberdeen Latin American Income,Latin America,Brazil,27.3,30/06/2018,JE00B44ZTP62
Aberdeen Latin American Income,Latin America,Chile,4.58,30/06/2018,JE00B44ZTP62
Aberdeen Latin American Income,Latin America,Colombia,0.86,30/06/2018,JE00B44ZTP62
Aberdeen Latin American Income,Latin America,Mexico,13.2,30/06/2018,JE00B44ZTP62
Aberdeen Latin American Income,Latin America,Peru,1.11,30/06/2018,JE00B44ZTP62
Aberdeen Latin American Income,Latin America,Cash/Cash Equivalent,2.81,30/06/2018,JE00B44ZTP62
Aberdeen Latin American Income,Latin America,Fixed Interest,48.16,30/06/2018,JE00B44ZTP62
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Australia,2.58,30/06/2018,GB00BBM56V29
Aberdeen New Dawn,Asia Pacific - Excluding Japan,China,14.87,30/06/2018,GB00BBM56V29
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Hong Kong,16.51,30/06/2018,GB00BBM56V29
Aberdeen New Dawn,Asia Pacific - Excluding Japan,India,13.31,30/06/2018,GB00BBM56V29
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Indonesia,4.38,30/06/2018,GB00BBM56V29
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Malaysia,0.94,30/06/2018,GB00BBM56V29
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Other Asia,0.75,30/06/2018,GB00BBM56V29
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Philippines,2.79,30/06/2018,GB00BBM56V29
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Singapore,13.19,30/06/2018,GB00BBM56V29
Aberdeen New Dawn,Asia Pacific - Excluding Japan,South Korea,8.66,30/06/2018,GB00BBM56V29
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Sri Lanka,1.02,30/06/2018,GB00BBM56V29
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Taiwan,5.09,30/06/2018,GB00BBM56V29
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Thailand,2.44,30/06/2018,GB00BBM56V29
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Vietnam,0.63,30/06/2018,GB00BBM56V29
Aberdeen New Dawn,Asia Pacific - Excluding Japan,UK,11.23,30/06/2018,GB00BBM56V29
Aberdeen New Dawn,Asia Pacific - Excluding Japan,Cash/Cash Equivalent,1.61,30/06/2018,GB00BBM56V29
Aberdeen New India,Country Specialists: Asia Pacific,India,98.93,30/06/2018,GB0006048770
Aberdeen New India,Country Specialists: Asia Pacific,Cash/Cash Equivalent,1.07,30/06/2018,GB0006048770
Aberdeen New India,Country Specialists: Asia Pacific,Fixed Interest,0,30/06/2018,GB0006048770
Aberdeen New Thai,Country Specialists: Asia Pacific,Thailand,99.23,30/06/2018,GB0000059971
Aberdeen New Thai,Country Specialists: Asia Pacific,Cash/Cash Equivalent,0.77,30/06/2018,GB0000059971
Aberdeen Smaller Companies Income,UK Equity & Bond Income,Denmark,1.46,30/06/2018,GB0008063728
Aberdeen Smaller Companies Income,UK Equity & Bond Income,Ireland,1.71,30/06/2018,GB0008063728
Aberdeen Smaller Companies Income,UK Equity & Bond Income,Italy,0.4,30/06/2018,GB0008063728
Aberdeen Smaller Companies Income,UK Equity & Bond Income,UK,87.22,30/06/2018,GB0008063728
Aberdeen Smaller Companies Income,UK Equity & Bond Income,Cash/Cash Equivalent,1.51,30/06/2018,GB0008063728
Aberdeen Smaller Companies Income,UK Equity & Bond Income,Fixed Interest,7.7,30/06/2018,GB0008063728
Aberdeen Standard European Logistics Income,Property Direct - Europe,Not reported,,,
Aberforth Smaller Companies,UK Smaller Companies,UK,99.61,30/06/2018,GB0000066554
Aberforth Smaller Companies,UK Smaller Companies,Cash/Cash Equivalent,0.39,30/06/2018,GB0000066554
Aberforth Split Level Income,UK Smaller Companies,UK,97.9,30/06/2018,GB00BYPBD394
Aberforth Split Level Income,UK Smaller Companies,Cash/Cash Equivalent,2.1,30/06/2018,GB00BYPBD394
Acorn Income,UK Equity & Bond Income,Other European,1.37,30/06/2018,GB0004829437
Acorn Income,UK Equity & Bond Income,UK,89.86,30/06/2018,GB0004829437
Acorn Income,UK Equity & Bond Income,USA,2.89,30/06/2018,GB0004829437
Acorn Income,UK Equity & Bond Income,Bermuda,1.46,30/06/2018,GB0004829437
Acorn Income,UK Equity & Bond Income,Other Countries,1.24,30/06/2018,GB0004829437
Acorn Income,UK Equity & Bond Income,Cash/Cash Equivalent,3.18,30/06/2018,GB0004829437
Acorn Income,UK Equity & Bond Income,Fixed Interest,0,30/06/2018,GB0004829437
AEW UK Long Lease REIT,Property Specialist,Not reported,,,
AEW UK REIT,Property Direct - UK,Not reported,,,
Albion Development VCT,VCT Generalist,Not reported,,,
Albion Enterprise VCT,VCT Generalist,Not reported,,,
Albion Technology & General VCT,VCT Generalist,Not reported,,,
Albion VCT,VCT Generalist,Not reported,,,
Alcentra European Floating Rate Income,Sector Specialist: Debt,Not reported,,,
Alliance Trust,Global,Mauritius,0.64,30/06/2018,GB00B11V7W98
Alliance Trust,Global,South Africa,0.44,30/06/2018,GB00B11V7W98
Alliance Trust,Global,Australia,1.86,30/06/2018,GB00B11V7W98
Alliance Trust,Global,China,2.78,30/06/2018,GB00B11V7W98
Alliance Trust,Global,Hong Kong,1.28,30/06/2018,GB00B11V7W98
Alliance Trust,Global,India,2.88,30/06/2018,GB00B11V7W98
Alliance Trust,Global,Indonesia,0.23,30/06/2018,GB00B11V7W98
Alliance Trust,Global,Japan,2.49,30/06/2018,GB00B11V7W98
Alliance Trust,Global,Malaysia,0.37,30/06/2018,GB00B11V7W98
Alliance Trust,Global,South Korea,0.79,30/06/2018,GB00B11V7W98
Alliance Trust,Global,Sri Lanka,0.15,30/06/2018,GB00B11V7W98
Alliance Trust,Global,Thailand,0.2,30/06/2018,GB00B11V7W98
Alliance Trust,Global,Denmark,0.8,30/06/2018,GB00B11V7W98
Alliance Trust,Global,France,6.31,30/06/2018,GB00B11V7W98
Alliance Trust,Global,Germany,3,30/06/2018,GB00B11V7W98
Alliance Trust,Global,Ireland,3.32,30/06/2018,GB00B11V7W98
Alliance Trust,Global,Italy,2.13,30/06/2018,GB00B11V7W98
Alliance Trust,Global,Netherlands,1.1,30/06/2018,GB00B11V7W98
Alliance Trust,Global,Spain,0.7,30/06/2018,GB00B11V7W98
