Fund,Sector,Country,Percent,Date,ISIN
Aberdeen Asia Focus,Asia Pacific Smaller Companies,China,15.56,31/07/2026,GB00BMF19B58
Aberdeen Asia Focus,Asia Pacific Smaller Companies,Hong Kong,4.63,31/07/2026,GB00BMF19B58
Aberdeen Asia Focus,Asia Pacific Smaller Companies,India,20.62,31/07/2026,GB00BMF19B58
Aberdeen Asia Focus,Asia Pacific Smaller Companies,Indonesia,3.42,31/07/2026,GB00BMF19B58
Aberdeen Asia Focus,Asia Pacific Smaller Companies,South Korea,15.16,31/07/2026,GB00BMF19B58
Aberdeen Asia Focus,Asia Pacific Smaller Companies,Malaysia,1.83,31/07/2026,GB00BMF19B58
Aberdeen Asia Focus,Asia Pacific Smaller Companies,Philippines,1.58,31/07/2026,GB00BMF19B58
Aberdeen Asia Focus,Asia Pacific Smaller Companies,Singapore,1.52,31/07/2026,GB00BMF19B58
Aberdeen Asia Focus,Asia Pacific Smaller Companies,Sri Lanka,0.94,31/07/2026,GB00BMF19B58
Aberdeen Asia Focus,Asia Pacific Smaller Companies,Taiwan,21.81,31/07/2026,GB00BMF19B58
Aberdeen Asia Focus,Asia Pacific Smaller Companies,Thailand,3.02,31/07/2026,GB00BMF19B58
Aberdeen Asia Focus,Asia Pacific Smaller Companies,Vietnam,5.4,31/07/2026,GB00BMF19B58
Aberdeen Asia Focus,Asia Pacific Smaller Companies,UK,2.53,31/07/2026,GB00BMF19B58
Aberdeen Asia Focus,Asia Pacific Smaller Companies,USA,1.52,31/07/2026,GB00BMF19B58
Aberdeen Asia Focus,Asia Pacific Smaller Companies,Cash near Cash,0.46,31/07/2026,GB00BMF19B58
Aberdeen Asian Income Fund,Asia Pacific Equity Income,Tunisia,1.27,31/07/2026,GB00B0P6J834
Aberdeen Asian Income Fund,Asia Pacific Equity Income,Australia,10.56,31/07/2026,GB00B0P6J834
Aberdeen Asian Income Fund,Asia Pacific Equity Income,China,15.89,31/07/2026,GB00B0P6J834
Aberdeen Asian Income Fund,Asia Pacific Equity Income,Hong Kong,7.64,31/07/2026,GB00B0P6J834
Aberdeen Asian Income Fund,Asia Pacific Equity Income,India,7.25,31/07/2026,GB00B0P6J834
Aberdeen Asian Income Fund,Asia Pacific Equity Income,Indonesia,1.04,31/07/2026,GB00B0P6J834
Aberdeen Asian Income Fund,Asia Pacific Equity Income,South Korea,22.2,31/07/2026,GB00B0P6J834
Aberdeen Asian Income Fund,Asia Pacific Equity Income,Singapore,3,31/07/2026,GB00B0P6J834
Aberdeen Asian Income Fund,Asia Pacific Equity Income,Taiwan,24.19,31/07/2026,GB00B0P6J834
Aberdeen Asian Income Fund,Asia Pacific Equity Income,Thailand,0.68,31/07/2026,GB00B0P6J834
Aberdeen Asian Income Fund,Asia Pacific Equity Income,Vietnam,1.89,31/07/2026,GB00B0P6J834
Aberdeen Asian Income Fund,Asia Pacific Equity Income,USA,1.01,31/07/2026,GB00B0P6J834
Aberdeen Asian Income Fund,Asia Pacific Equity Income,Cash near Cash,3.38,31/07/2026,GB00B0P6J834
Aberdeen Equity Income Trust,UK Equity Income,France,0.66,31/07/2026,GB0006039597
Aberdeen Equity Income Trust,UK Equity Income,Norway,1.31,31/07/2026,GB0006039597
Aberdeen Equity Income Trust,UK Equity Income,Switzerland,1.04,31/07/2026,GB0006039597
Aberdeen Equity Income Trust,UK Equity Income,UK,90.31,31/07/2026,GB0006039597
Aberdeen Equity Income Trust,UK Equity Income,USA,0.63,31/07/2026,GB0006039597
Aberdeen Equity Income Trust,UK Equity Income,Cash near Cash,1.81,31/07/2026,GB0006039597
Aberdeen Equity Income Trust,UK Equity Income,Fixed Interest,4.24,31/07/2026,GB0006039597
Aberdeen New India Investment Trust,India / Indian Subcontinent,India,100.69,31/07/2026,GB0006048770
Aberdeen New India Investment Trust,India / Indian Subcontinent,Cash near Cash,-0.69,31/07/2026,GB0006048770
Aberdeen UK Smaller Companies Growth,UK Smaller Companies,UK,96.54,31/07/2026,GB0002959582
Aberdeen UK Smaller Companies Growth,UK Smaller Companies,Cash near Cash,3.46,31/07/2026,GB0002959582
Aberforth Geared Value & Income Trust,UK Smaller Companies,UK,95.81,31/07/2026,GB00BPJMQ253
Aberforth Geared Value & Income Trust,UK Smaller Companies,Cash near Cash,4.19,31/07/2026,GB00BPJMQ253
Aberforth Smaller Companies,UK Smaller Companies,UK,97.94,31/07/2026,GB0000066554
Aberforth Smaller Companies,UK Smaller Companies,Cash near Cash,2.06,31/07/2026,GB0000066554
abrdn European Logistics Income,Property - Europe,Not Reported,,,
Achilles Investment Company,Flexible Investment,Not Reported,,,
AEW UK REIT,Property - UK Commercial,Not Reported,,,
Albion Crown VCT,VCT,Not Reported,,,
Albion Crown VCT C shares,VCT,Not Reported,,,
Albion Enterprise VCT,VCT,Not Reported,,,
Albion Technology & General VCT,VCT,Not Reported,,,
Alliance Witan,Global,China,0.63,31/07/2026,GB00B11V7W98
Alliance Witan,Global,Hong Kong,1.28,31/07/2026,GB00B11V7W98
Alliance Witan,Global,India,1.13,31/07/2026,GB00B11V7W98
Alliance Witan,Global,Japan,8.4,31/07/2026,GB00B11V7W98
Alliance Witan,Global,South Korea,2.18,31/07/2026,GB00B11V7W98
Alliance Witan,Global,Philippines,0.08,31/07/2026,GB00B11V7W98
Alliance Witan,Global,Singapore,0.01,31/07/2026,GB00B11V7W98
