AIC,Name,Type,MonthEnd,Code,TA,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthendMidPrice,CurrYrRev,Rev (splits only),Rev (splits only),Shares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolderFunds for share,Par, Par, Par, Par, Par, Par, Par, Par, Par, Par,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,PFY,Regional distribution,,,,,,,Additional geographic,,,,,,,CFI Exposure,,,,,,CCY Exposure,,,,,,Flags,Add P/F,,,,,,,AIC Cat 2,Unit1,Unit1,Unit1,Unit1,Unit2,Unit2,Unit2,Unit2,Unit2,Unit2,FootNote,FairValue,ShareNote
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other , , , , , , , ,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other ,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
Asia Pacific - Including Japan,Aberdeen All Asia,Ordinary Share,31/01/2007,392075,41618211,1674016,1674016,1674016,1674016,0,0,0,1674016,218,431346,,,16686767,0,0,0,N/A,1,104,0,,Y,39944195,239.38,,,,,241.96,,,,,239.38,,,,,241.96,,,,,2,1,25,12,11,6,14,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Short term borrowings at borrowed amount,
Asia Pacific - Including Japan,Martin Currie Pacific,Ordinary Share,31/01/2007,569512,128123240,12841734,12846269,12841734,12846269,0,0,0,12841734,243.25,1247802,,,44037018,0,0,0,N/A,0,111,0.1,,N,115281506,261.78,,,,,264.62,,,,,261.77,,,,,264.61,,,,,0,0,30,13,11,10,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Fair value = discounted future cash flows,
Asia Pacific - Including Japan,Witan Pacific,Ordinary Share,31/01/2007,365602,134076000,3000000,3000000,3000000,3000000,0,0,0,3000000,161.5,1386455,,,72890323,0,150000,0,N/A,1,102,,,Y,131076000,179.83,,,,,181.73,,,,,179.83,,,,,181.73,,,,,0,1,41,8,9,6,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Short term loan,
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other , , , , , , , ,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other ,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
Asia Pacific - Excluding Japan,Aberdeen Asian Income,Ordinary Share,31/01/2007,B0P6J83,137151545,15251286,15615665,15251286,15615665,0,0,0,15251286,109.75,0,,,110000000,0,0,0,N/A,5,113,,,N,121900259,110.82,,,,,,,,,,110.49,,,,,,,,,,4.06,5,9,19,0,11,3,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,,,,,,,,,,,,,The Fair value of long term loans are calculated by discounting future cashflows.,
Asia Pacific - Excluding Japan,Aberdeen Asian Smaller Companies,Ordinary Share,31/01/2007,10076,124006732,7625626,7625626,7625626,7625626,0,0,0,7625626,310.25,942000,,,32579597,0,0,0,N/A,2,107,,,,116381106,357.22,320.95,,,,360.11,323.43,,,,357.22,320.95,,,,360.11,323.43,,,,0,2,16,19,8,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,For loans repayable within 1 year par value has been used.,
Asia Pacific - Excluding Japan,Aberdeen New Dawn,Ordinary Share,31/01/2007,5685,140181165,6980495,6980495,6980495,6980495,0,0,0,6980495,518.5,1895814,,,25387133,0,0,0,N/A,-1,105,0,,,133200670,524.68,,,,,532.15,,,,,524.68,,,,,532.15,,,,,0,-1,16,17,13,6,7,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,FAIR AND PAR VALUE ARE NOT MATERIALLY DIFFERENT,
Asia Pacific - Excluding Japan,Edinburgh Dragon,Ordinary Share,31/01/2007,294502,393703882,40870543,41864899,40870543,41864899,0,0,0,40870543,135.75,-1109798,,,237276875,0,0,0,N/A,1,112,,,N,352833339,148.7,,,,,148.23,,,,,148.28,,,,,147.81,,,,,0,1,24,20,14,8,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Discounted Cash Flow method.,
Asia Pacific - Excluding Japan,Fidelity Asian Values,Ordinary Share,31/01/2007,332231,149857737,9177820,9799644,9177820,9799644,0,0,0,9177820,110.75,154525,,,113974200,0,0,0,N/A,1,107,0,,N,140679917,123.43,,,,,123.57,,,,,122.89,,,,,123.02,,,,,0,1,28,14,26,20,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,,,,,,,,,,,,,"The fair value has been calculated by discounting future cash flows to ç
current US Dollar interest rates.",
