AIC,Fund,Share,MonthEnd,Code,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Monthend MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),RevAllocation % (splits only),Shares,Shares,Shares,Shares,Sell,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,Gearing,Range,NoRange,GearingNote,Permanent,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,Par, Par, Par, Par, Par, Par, Par, Par, Par, Par,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,PFY,Regional distribution,,,,,,,,Additional geographic,,,,,,,,CFI Exposure,,,,,,CCY Exposure,,,,,,Flags,Add P/F,,,,,,,,AIC,Unit1,Unit1,Unit1,Unit1,Unit1,Unit1,Unit2,Unit2,Unit2,Unit2,Unit2,Unit2,Total Assets ex CYR,FootNote,FairValue,ShareNote,Reported Currency
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other , , , , , , , , ,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other ,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
Asia Pacific - Excluding Japan,Aberdeen Asian Income,Ordinary Share,30/06/2014,GB00B0P6J834,393079005,15481165,15481165,15481165,15481165,0,0,0,0,0,15481165,201,,4905357,,,194183389,250000,0,0,N/A,1.25,4,3,,0,25,,,N,100,377597840,372692483,191.93,,,,,194.45,,,,,191.93,,,,,194.45,,,,,4.99,1.25,4.89,9.43,30.89,0,4.35,4.45,44.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,388173648,,No fair value calculation due to short term nature of loans.,"250,000 Ordinary shares were issued on 03/06/14 for a total consideration of £0.5m",GBP
Asia Pacific - Excluding Japan,Aberdeen Asian Smaller Companies,Ordinary Share,30/06/2014,GB0000100767,383604267,0,0,0,0,0,0,0,33077121,31702762,33077121,907.5,,4362699,,,38096807,2210,0,1076290,No,0.8,9,9,,0,25,,,N,100,383604267,379241568,908.64,,901.2,,901.2,920.1,,911.56,,911.56,908.64,,901.2,,901.2,920.1,,911.56,,911.56,,0.8,0,13.77,8.6,0.68,0,2,74.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,379241568,,,"18,397 units of CULS were converted  on 13/06/14 for 2,210 Ordinary shares.",GBP
Asia Pacific - Excluding Japan,Aberdeen New Dawn,Ordinary Share,30/06/2014,GB00BBM56V29,258104516,19204946,19204946,19204946,19204946,0,0,0,0,0,19204946,177.5,,3930830,,,124547010,0,0,477731,No,0.51,8,7,,0,25,,,N,100,238899570,234968740,188.66,,,,188.66,191.81,,,,191.81,188.66,,,,188.66,191.81,,,,191.81,,0.51,0.2,21.16,19.53,5.76,5.04,5.64,42.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,254173686,,No fair value calculation due to short term nature of loan,,GBP
Asia Pacific - Excluding Japan,Asian Total Return,Ordinary Share,30/06/2014,GB0008710799,139742274,0,0,0,0,0,0,0,0,0,0,175.25,,1224392,,,73931141,0,0,11273671,No,0,0,0,,,,Y,,N,100,139742274,138517882,187.36,,,,187.36,189.02,,,,189.02,187.36,,,,187.36,189.02,,,,189.02,2,0,0,24,5,3,9,0,59,0,0,0,0,0,0,0,0,0,0,0,16,0,84,24,5,3,9,0,59,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,138517882,,,,GBP
Asia Pacific - Excluding Japan,Edinburgh Dragon,Ordinary Share,30/06/2014,GB0002945029,612162422,0,0,0,0,0,0,0,59804834,59804834,59804834,258,,3697758,,,196374115,0,0,0,N/A,1.29,11,9,,0,20,,,N,100,552357588,548659830,279.4,,,,,281.28,,,,,279.4,,,,,281.28,,,,,,1.29,0,24.19,20.96,8.24,6.19,6.94,32.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,608464664,,,,GBP
Asia Pacific - Excluding Japan,Fidelity Asian Values,Ordinary Share,30/06/2014,GB0003322319,185077387,20107339,20107339,20107339,20107339,20107339,0,0,0,0,20107339,216.38,,783637,,,67488213,0,0,0,N/A,0.19,12,12,,0,30,,,N,100,164970048,164186411,243.28,,,,,244.44,,,,,243.28,,,,,244.44,,,,,,0.19,0,18.95,6.24,26.55,7.47,24.76,15.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,184293750,,,,GBP
Asia Pacific - Excluding Japan,Henderson Far East Income,Ordinary Share,30/06/2014,JE00B1GXH751,355013000,20382669,20382669,20382669,20382669,0,0,0,0,0,20382669,314,,3892000,,,107795564,175000,0,0,N/A,2.99,6,3,,0,14,,,N,100,334630331,330738331,306.82,,,,,310.43,,,,,306.82,,,,,310.43,,,,,,2.99,0,9.72,8.45,6.33,15.75,20.57,36.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,351121000,,No material difference between fair and par value,,GBP
Asia Pacific - Excluding Japan,Invesco Asia,Ordinary Share,30/06/2014,GB0004535307,178699816,7114350,7114350,7114350,7114350,0,0,0,0,0,7114350,170.5,,4235393,,,88859369,0,0,3277224,No,0.53,4,4,,0,25,,,N,100,171585466,167350073,188.33,,,,188.33,193.1,,,,193.1,188.33,,,,188.33,193.1,,,,193.1,2.42,0.53,0,14.28,2.74,20.82,10.94,18.8,31.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,174464423,,,,GBP
Asia Pacific - Excluding Japan,JPMorgan Asian,Ordinary Share,30/06/2014,GB0001320778,229558341,10000000,10000000,10000000,10000000,0,0,0,0,0,10000000,204.75,,1671198,,,95546993,0,0,0,N/A,3,5,1,,0,20,,,N,100,219558341,217887143,228.04,,,,,229.79,,,,,228.04,,,,,229.79,,,,,1.85,3,0,11,3,19,15,29,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,227887143,,,,GBP
