AIC,Fund,Share,MonthEnd,Code,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd Price,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),RevAllocation % (splits only),Shares,Shares,Shares,Shares,Sell,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,Gearing,Range,NoRange,GearingNote,Permanent,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,Par,Par,Par,Par,Par,Par,Par,Par,Par,Par,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,PFY,Regional distribution,,,,,,,,Additional geographic,,,,,,,,CFI Exposure,,,,,,CCY Exposure,,,,,,Flags,Unit1,Unit1,Unit1,Unit1,Unit1,Unit1,Unit2,Unit2,Unit2,Unit2,Unit2,Unit2,Total Assets ex CYR,FootNote,FairValue,ShareNote,Reported Currency

Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd Price,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,PCNCWE,PCCWNE,PCCWE,PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,FCNCWE,FCCWNE,FCCWE,FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other ,,,,,,,,,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other ,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other ,Flags,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,Reported Currency

Asia Pacific - Excluding Japan,Aberdeen Asian Income,Ordinary Share,28/02/2019,GB00B0P6J834,429167673,35733722,35783147,35733722,35783147,0,0,0,0,0,35733722,206,0,1233057,0,0,178570688,0,10000,16362701,No,1.44,9,8,0,0,25,N,,N,100,393433951,392200894,219.63,,,,219.63,220.32,,,,220.32,219.61,,,,219.61,220.3,,,,220.3,4.9,1.44,2.14,9.62,23.44,6.67,9.04,7.13,40.52,,,,,,,,,,,,,,,,,,,,,/p,,,,,,,,,,,,,427934616,,,"Shares bought back in the month = 10,000 shares at a cost of £0.02m",GBX

Asia Pacific - Excluding Japan,Aberdeen New Dawn,Ordinary Share,28/02/2019,GB00BBM56V29,323636571,33076819,33404712,33076819,33404712,0,0,0,0,0,33076819,231,0,2263987,0,0,112003848,0,160000,11044788,No,1.01,11,10,0,0,25,N,,N,100,290559752,288295765,257.4,,,,257.4,259.42,,,,259.42,257.11,,,,257.11,259.13,,,,259.13,,1.01,,15.6,11.05,7.41,5.22,23.3,36.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321372584,,Fair value is calculated using discounted cashflow.,"160,000 shares were bought back during the month for £0.37m",GBX

Asia Pacific - Excluding Japan,Aberdeen Standard Asia Focus,Ordinary Share,28/02/2019,GB0000100767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Asia Pacific - Excluding Japan,Edinburgh Dragon,Ordinary Share,28/02/2019,GB0002945029,561393436,25500000,25500000,25500000,25500000,0,0,0,0,0,25500000,370,0,629122,0,0,129870403,0,79500,29741274,No,0.83,5,4,0,0,20,N,,N,100,535893436,535264314,412.15,,,,412.15,412.64,,,,412.64,412.15,,,,412.15,412.64,,,,412.64,,0.83,,20.39,11.41,9.3,5.12,18.78,34.17,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,560764314,,,"During the month 79,500 shares were bought back at a cost of £0.3m",GBX

Asia Pacific - Excluding Japan,Fidelity Asian Values,Ordinary Share,28/02/2019,GB0003322319,302038946,14026161,14026161,14026161,14026161,7714532,6311629,0,0,0,14026161,418,0,1249051,0,0,70757405,0,0,0,N/A,6.23,5,0,2,,,Y,,N,100,288012785,286763734,405.28,,,,,407.04,,,,,405.28,,,,,407.04,,,,,,6.23,,6.4,4.75,10.33,9.84,19.67,42.78,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,300789895,,,,GBX

Asia Pacific - Excluding Japan,Henderson Far East Income,Ordinary Share,28/02/2019,JE00B1GXH751,448024000,25561989,25561989,25561989,25561989,0,0,0,0,0,25561989,343,0,316000,0,0,125878564,900000,0,0,N/A,2.67,6,3,0,0,14,N,,N,100,422462011,422146011,335.36,,,,,335.61,,,,,335.36,,,,,335.61,,,,,,2.67,,6.92,9.72,11.96,9.78,25.26,33.69,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,447708000,,,"Issued 900,000 shares £3.1m.",GBX

