FundName,SEDOL(conv),Prior Charge,PCType,RepayType,Coupon,Fixed,% to Cap,CCY,Issued,IssuedValue,IssuedValGBP,CurrentValue,FairValue,RedValue,Notes,RedeemedFlag NIL
Aberdeen All Asia,392075,Bank Loan,L,N,1.26,,0,JPY,15/12/2006,100000000,428809,422356,422356,428809,,F
Aberdeen All Asia,392075,Bank Loan,L,N,6.06,,0,USD,15/12/2006,2450000,1251820,1251660,1251660,1251820,,F
Aberdeen Asian Income,B0P6J83,Multi Currency Revolving Loan,L,N,4.86,,60,HKD,18/09/2006,137675000,9375532,9006931,9217538,9066931,,F
Aberdeen Asian Income,B0P6J83,Multi Currency Revolving Loan,L,N,5.84,,60,USD,18/10/2006,12222700,6569755,6244355,6398127,6244355,,F
Aberdeen Asian Smaller Companies,10076,ALLIED IRISH BANK,L,N,4.876,,0,HKD,29/09/2006,52413225,3600922,3428962,3428962,0,29/09/06 - 29/03/07,F
Aberdeen Asian Smaller Companies,10076,ALLIED IRISH BANK,L,N,6.028,,0,USD,27/10/2006,8214550,4331084,4196664,4196664,0,27/10/06 - 27/04/07,F
Aberdeen New Dawn,5685,LOAN,L,N,4.93,,50,HKD,23/10/2006,106700000,6980495,6980495,6980495,6980495,,F
Aberdeen New Thai,5997,Thai Baht Bank Loan,L,N,7.26,,,THB,25/10/2006,96900000,0,0,0,0,,T
Aberdeen New Thai,5997,USD Bank Loan,L,N,6.07,,,USD,25/01/2007,2820000,0,1440687,1440687,0,,F
Aberforth Geared Capital & Income,3110014,Bank Loan / Overdraft,L,N,0,N,70,GBP,,32896916,32896916,32896916,32896916,32896916,,F
Active Capital,3038332,Loan,L,N,5.375,,,GBP,07/07/2006,10000000,10000000,10000000,10000000,10000000,,F
Active Capital,3038332,Loan,L,N,5.475,,,GBP,07/07/2006,20000000,20000000,20000000,20000000,20000000,,F
Alliance Trust,B11V7W9,Unsecured revolving loan,L,N,,,,USD,16/06/2006,80363333,43489005,0,0,0,,T
Artemis Alpha,435594,Multicurrency committed loan facility,L,N,6.021,,90,GBP,11/01/2007,11500000,11500000,11500000,11500000,11500000,,F
Artemis Alpha,435594,Inter Company Loan,L,Z,0,,,GBP,31/05/2005,2800000,2800000,2800000,2800000,2800000,,F
Asset Management,58065,BANK LOAN,L,N,8,,75,USD,13/09/2006,8000000,0,4087054,4087054,4087054,,F
Asset Management,58065,BANK LOAN,L,N,7.25,,75,GBP,13/09/2006,4000000,0,4000000,4000000,4000000,,F
Aurora,63326,Sterling Loan,L,N,0,,0,GBP,,4285500,4285500,6473904,6473904,4285500,,F
Aurora,63326,Euro Loan,L,N,0,,0,EUR,,113938,0,937543,937543,113938,,F
Aurora,63326,Dollar Loan,L,N,0,,0,USD,,2112073,0,1091461,1091461,2112073,,F
Baillie Gifford Japan,48583,Yen 800mln 1.06% loan,L,N,1.06,,0,JPY,09/08/2002,800000000,4331350,3378848,3378848,0,,F
Baillie Gifford Japan,48583,Yen 500mln 1.29% loan,L,N,1.29,,0,JPY,25/08/2003,500000000,2705399,2111780,2110477,0,,F
Baillie Gifford Japan,48583,Yen 500mln 1.29% loan,L,N,1.29,,0,JPY,25/08/2003,500000000,2707661,2111780,2110476,0,,F
Baillie Gifford Japan,48583,Yen 500mln 1.37% loan,L,N,1.37,,0,JPY,26/11/2003,500000000,2686222,2111780,2110824,0,,F
Baillie Gifford Japan,48583,"Yen 1,800mln 1.79% loan",L,N,1.79,,0,JPY,25/05/2004,1800000000,8924025,7602408,7549270,0,,F
