FundName,ISIN,Prior Charge,PCType,RepayType,Coupon,Fixed,% to Cap,CCY,Issued,IssuedValue,IssuedValReported CCY,CurrentValue,FairValue,RedValue,Redeems,Notes,RedeemedFlag,FairValue=ParValue,Reported CCY,ReportingDate,PCID,,
Biotech Growth Trust,GB0000385517,Overdraft,L,N,,N,,GBP,,0,0,0,0,0,,Bank overdraft,F,T,GBX,31/07/2026,317,,
JPMorgan American,GB00BKZGVH64,Loan,D,N,,Y,,USD,,65000000,0,48806277.56,45032025.13,0,27/02/2031,,F,F,GBX,30/06/2026,457,,
JPMorgan American,GB00BKZGVH64,Loan,L,N,,Y,,USD,,0,0,26340027.61,23002638.16,0,,,F,F,GBX,30/06/2026,459,,
JPMorgan American,GB00BKZGVH64,ICBC BANK USD,L,N,,N,,GBP,,40000000,,71576567.25,71576567.25,,,,F,T,GBX,30/06/2026,461,,
JPMorgan Asia Growth & Income,GB0001320778,Long CFDs,X,N,,N,,GBP,,,,20005973.19,20005973.19,,,,F,T,GBX,30/06/2026,1725,,
JPMorgan China Growth & Income,GB0003435012,Long CFDs,X,N,,N,,GBP,,,,41970536.78,41970536.78,,,,F,T,GBX,30/06/2026,1735,,
JPMorgan Claverhouse,GB0003422184,DEBENTURE STOCK 2020,D,N,7,Y,65,GBP,,0,0,30000000,20900595,0,30/03/2045,Debentures have been revalued using an estimated fair market spread over the relevant gilt,F,F,GBX,30/06/2026,463,,
JPMorgan Claverhouse,GB0003422184,Long CFD,X,N,,N,,GBP,,,,35512338.91,35512338.91,,,,F,T,GBX,30/06/2026,1739,,
JPMorgan Emerging Markets Dividend Income,GB00B5ZZY915,Loan,L,N,,Y,,USD,,20000000,0,30137502,30137502,0,,,F,T,GBX,30/06/2026,553,,
JPMorgan Emerging Markets Dividend Income,GB00B5ZZY915,Overdraft,L,N,,Y,,GBP,,0,0,0,0,0,,,T,F,GBX,30/06/2026,555,,
JPMorgan Emerging Markets Dividend Income,GB00B5ZZY915,Long CFDs,X,N,,N,,GBP,,,,19291626.44,19291626.44,,,,F,T,GBX,30/06/2026,1767,,
JPMorgan European Discovery,GB00BMTS0Z37,Long CFDs,X,N,,N,,GBP,,,,53494780.15,53494780.15,,,,F,T,GBX,30/06/2026,2007,,
JPMorgan European Growth & Income,GB00BPR9Y246,Private Placement,Y,N,,Y,,GBP,,0,0,42954336.16,40796427.83,0,,,F,F,GBX,30/06/2026,549,,
JPMorgan Global Growth & Income,GB00BYMKY695,Private Placement,L,N,,Y,,GBP,,0,0,29867884.44,19012875,30000000,,,F,F,GBX,30/06/2026,501,,
JPMorgan Global Growth & Income,GB00BYMKY695,20M SECURED BOND,L,N,,Y,,GBP,,0,0,19928803.23,15485258,20000000,12/03/2036,,F,F,GBX,30/06/2026,505,,
JPMorgan Global Growth & Income,GB00BYMKY695,Secured Loan Notes 5.75,L,N,,Y,,GBP,,82827000,0,86824668.87,86127826,0,17/04/2030,,F,F,GBX,30/06/2026,507,,
JPMorgan Global Growth & Income,GB00BYMKY695,"?30,000,000 2.43% private placement 30th April 2044",L,N,,N,,GBP,,,,21603742.33,20699483.99,,30/04/2044,,F,F,GBX,30/06/2026,1393,,
JPMorgan Japanese,GB0001740025,Secured Loan Notes,L,N,,Y,,JPY,,13000000000,0,59996596.96,42837540.42,0,,,F,F,GBX,30/06/2026,489,,
JPMorgan Japanese,GB0001740025,Long CFDs,X,N,,N,,GBP,,,,200796847.6,200796847.6,,,,F,T,GBX,30/06/2026,1737,,
JPMorgan UK Small Cap Growth & Income,GB00BF7L8P11,FLOATING LOAN,L,N,5.688,Y,0,GBP,,24000000,0,55000000,55000000,0,,,F,T,GBX,30/06/2026,485,,
JPMorgan US Smaller Companies,GB00BJL5F346,LOAN,L,N,,Y,,USD,,30000000,0,26370314.25,26370314.25,0,,,F,T,GBX,30/06/2026,481,,
Mercantile Investment Trust,GB00BF4JDH58,4.25% PERPETUAL DEBENTURE  STK,D,N,4.25,Y,70,GBP,,0,0,1076123,758697,0,,Debentures have been revalued using an estimated fair va;ue market spread over the relevant gilt,F,F,GBX,30/06/2026,467,,
Mercantile Investment Trust,GB00BF4JDH58,100M 6.125% SECURED BOND 2030,D,N,6.125,Y,70,GBP,25/02/2000,100000000,100000000,99716060.29,106158181.7,100000000,25/02/2030,Interest rate swaps and fixed rate loans have been revalued using a market to market estimate provided by counterparty or relevant source,F,F,GBX,30/06/2026,469,,
Mercantile Investment Trust,GB00BF4JDH58,75M 6.125% SECURED BOND 2030,D,N,6.125,Y,70,GBP,28/02/2001,75000000,75000000,74881813.06,79729564.54,75000000,25/02/2030,Interest rate swaps and fixed rate loans have been revalued using a market to market estimate provided by counterparty or relevant source,F,F,GBX,30/06/2026,471,,
Mercantile Investment Trust,GB00BF4JDH58,Private Placement,D,N,1.98,Y,,GBP,,0,,54903074.38,34216936,55000000,08/09/2041,,F,F,GBX,30/06/2026,475,,
Mercantile Investment Trust,GB00BF4JDH58,Private Placement,D,N,2.05,Y,,GBP,,0,0,49903366.83,24249019,50000000,08/09/2051,,F,F,GBX,30/06/2026,477,,
Mercantile Investment Trust,GB00BF4JDH58,Private Placement,D,N,1.77,Y,,GBP,,0,0,44909197.12,17812824,45000000,08/09/2061,,F,F,GBX,30/06/2026,479,,
