security_id,share_type,primary_name,all_names,sedols,codes,first_seen,last_seen,n_months,sector_last
SEDOL:B05KL90,Ordinary Share,F&C Commercial Property,BMO Commercial Property; Balanced Commercial Property; F&C Commercial Property,B05KL90; B4ZPCJ0,B05KL90; B4ZPCJ0; GG00B4ZPCJ00,2005-06,2024-10,221,Property - UK Commercial
SEDOL:414850,Ordinary Share,Pantheon International Participations,Oakley Capital Investments; Pantheon International; Pantheon International Participations,0414850; 414850; BP37WF1,0414850; 414850; GB0004148507; GB00BP37WF17,2005-12,2026-07,240,Private Equity
SEDOL:B020KN0,Participating Redeem Pref,Pantheon International Participations R shares,Pantheon International Participations R shares,B020KN0,B020KN0,2005-12,2006-12,5,Private Equity
SEDOL:981536,Ordinary Share,World Trust Fund,Lazard World Trust Fund; World Trust Fund,0981536; 8326625; 981536,0981536; 981536; LU0483266259,2006-01,2018-10,144,Global
SEDOL:3079405,Ordinary Income,Royal London UK Equity & Income,Royal London UK Equity & Income,3079405,3079405,2006-03,2008-08,22,Split Capital Trust
SEDOL:422002,Ordinary Share,Polar Capital Technology,Polar Capital Technology,0422002; 422002; BR3YV26,0422002; 422002; GB0004220025; GB00BR3YV268,2006-06,2026-07,236,Technology & Technology Innovation
SEDOL:717429,Ordinary Share,Quester VCT,Albion KAY VCT; Kings Arms Yard VCT; Quester VCT; SPARK VCT,0717429; 717429,0717429; 717429; GB0007174294,2006-08,2024-11,218,VCT
SEDOL:736639,Ordinary Share,RIT Capital Partners,RIT Capital Partners,0736639; 736639,0736639; 736639; GB0007366395,2006-08,2026-07,240,Flexible Investment
SEDOL:911544,Ordinary Share,SVM UK Active,SVM UK Active,0911544; 911544,0911544; 911544,2006-08,2011-07,60,UK Growth
SEDOL:204006,Ordinary Share,Close Brothers Protected VCT,Albion Prime VCT; Albion Protected VCT; Close Brothers Protected VCT,0204006; 204006,0204006; 204006,2006-09,2012-08,70,VCT Generalist
SEDOL:B01YYK8,Ordinary Share,Close Income & Growth VCT,Albion Income & Growth VCT; Close Income & Growth VCT,B01YYK8,B01YYK8; GB00B01YYK84,2006-09,2013-10,84,VCT Generalist
SEDOL:558167,Ordinary Share,Close Technology & General VCT,Albion Technology & General VCT; Close Technology & General VCT,0558167; 558167,0558167; 558167; GB0005581672,2006-09,2026-07,237,VCT
SEDOL:B0MV237,Ordinary Share,Close Technology & General VCT C shares,Albion Technology & General VCT C shares; Close Technology & General VCT C shares,B0MV237,B0MV237,2006-09,2011-02,52,VCT Generalist
SEDOL:782609,Ordinary Share,Scottish Investment Trust,Scottish Investment Trust,0782609; 782609,0782609; 782609; GB0007826091,2006-09,2022-07,189,Global
SEDOL:3047468,Ordinary Share,Standard Life European Private Equity,Patria Private Equity; Standard Life European Private Equity; Standard Life Private Equity; abrdn Private Equity Opportunities,3047468,3047468; GB0030474687,2006-09,2026-07,237,Private Equity
SEDOL:483247,Ordinary Share,Close Brothers Development VCT,Albion Development VCT; Close Brothers Development VCT,0483247; 483247,0483247; 483247; GB0004832472,2006-10,2024-11,216,VCT
SEDOL:3204218,C share,Close Brothers Development VCT C shares,Close Brothers Development VCT C shares,3204218,3204218,2006-10,2007-02,3,Venture Capital Trusts
SEDOL:721163,ZDPs,JZ Equity Partners,JZ Capital Partners; JZ Equity Partners,721163; B2RK0S4; B40D7X8,721163; B2RK0S4; B40D7X8; GG00B40D7X85,2006-10,2016-05,115,Split Capital Trust
SEDOL:290481,Ordinary Income,JZ Equity Partners,JZ Capital Partners; JZ Equity Partners,290481; B2RK0R3; B403HK5,290481; B2RK0R3; B403HK5; GG00B403HK58,2006-10,2020-03,161,Flexible Investment
SEDOL:783884,Ordinary Share,Scottish Mortgage,Scottish Mortgage; Scottish Mortgage Investment Trust,0783884; 783884; BLDYK61,0783884; 783884; GB0007838849; GB00BLDYK618,2006-10,2026-07,237,Global
SEDOL:B05NYM3,Ordinary Income,INVESCO Leveraged High Yield,INVESCO Leveraged High Yield; INVESCO Perpetual Enhanced Income; Invesco Enhanced Income; Invesco Perpetual Enhanced Income,B05NYM3,B05NYM3; GB00B05NYM32,2006-11,2021-04,174,Debt - Loans & Bonds
SEDOL:3152845,Income,Smaller Companies Value Trust,Smaller Companies Value Trust,3152845,3152845,2006-11,2009-03,29,Split Capital Trust
SEDOL:3152856,Capital,Smaller Companies Value Trust,Smaller Companies Value Trust,3152856,3152856,2006-11,2009-03,29,Split Capital Trust
SEDOL:167518,Ordinary Share,Advance UK,Advance UK,167518,167518,2006-12,2010-02,39,Global Growth
SEDOL:278175,Ordinary Share,Allianz Dresdner Endowment Policy 2010,Allianz Dresdner Endowment Policy 2010,278175,278175,2006-12,2010-11,48,Sector Specialist: Endowment Policies
SEDOL:493990,Ordinary Share,Allianz Dresdner Second Endowment 2009,Allianz Dresdner Second Endowment 2009,493990,493990,2006-12,2009-11,36,Sector Specialist: Endowment Policies
SEDOL:B06GDT1,Ordinary Share,Alternative Investment Strategies,Alternative Investment Strategies,B06GDT1; BC9ZSR2,B06GDT1; GB00B06GDT12; GG00BC9ZSR27,2006-12,2013-09,82,Hedge Funds
SEDOL:B02WQ94,Ordinary Share,Artemis AIM VCT 2,Artemis AIM VCT 2; Artemis VCT,B02WQ94,B02WQ94; GB00B02WQ947,2006-12,2020-08,165,VCT AIM Quoted
NAME:baronsmead vct|ordinary share,Ordinary Share,Baronsmead VCT,Baronsmead VCT,0080358,0080358; 80358; GB0000803584,2006-12,2015-11,108,VCT Generalist
SEDOL:263193,Ordinary Share,Baronsmead VCT 2,Baronsmead VCT 2; Baronsmead Venture Trust,0263193; 263193,0263193; 263193; GB0002631934,2006-12,2026-07,236,VCT
SEDOL:B02T219,Ordinary Share,Baronsmead VCT 2 C shares,Baronsmead VCT 2 C shares,B02T219,B02T219,2006-12,2006-12,1,Venture Capital Trusts
SEDOL:3002810,Ordinary Share,Baronsmead VCT 3,Baronsmead Second Venture Trust; Baronsmead VCT 3,3002810,3002810; GB0030028103,2006-12,2026-07,236,VCT
SEDOL:B0GDRP6,Ordinary Share,Baronsmead VCT 3 C shares,Baronsmead VCT 3 C shares,B0GDRP6,B0GDRP6,2006-12,2007-12,13,VCT Generalist Pre Qualifying
SEDOL:3109528,Ordinary Share,Baronsmead VCT 4,Baronsmead VCT 4,3109528,3109528; GB0031095283,2006-12,2016-02,111,VCT Generalist
SEDOL:B0WV8X9,C share,Baronsmead VCT 4 C shares,Baronsmead VCT 4 C shares,B0WV8X9,B0WV8X9,2006-12,2008-12,25,VCT Generalist
SEDOL:B067N38,Ordinary Share,Baronsmead VCT C shares,Baronsmead VCT C shares,B067N38,B067N38,2006-12,2007-03,4,Venture Capital Trusts
SEDOL:203962,Ordinary Share,Close Brothers VCT,Albion VCT; Close Brothers VCT,0203962; 203962,0203962; 203962; GB0002039625,2006-12,2024-11,216,VCT
SEDOL:257743,Ordinary Share,Crown Place VCT,Albion Crown VCT; Crown Place VCT,0257743; 257743,0257743; 257743; GB0002577434,2006-12,2026-07,236,VCT
SEDOL:341947,Ordinary Share,Eclectic,Eclectic; Eclectic (AIM),341947,341947,2006-12,2010-12,49,Global Growth & Income
SEDOL:322566,Ordinary Share,European Assets,European Assets; European Assets Trust,0022609; 0322566; 1283881; 322566; BHJVQ59,0322566; 322566; GB00BHJVQ590; NL0000226090; NL0012838817,2006-12,2025-09,226,European Smaller Companies
SEDOL:B17MXW8,Ordinary Share,Henderson Global Property Companies,Henderson Global Property Companies,B17MXW8,B17MXW8,2006-12,2011-03,52,Property Securities
SEDOL:455934,Ordinary Share,International Biotechnology,International Biotechnology,0455934; 455934,0455934; 455934; GB0004559349,2006-12,2026-07,236,Biotechnology & Healthcare
SEDOL:B1DPVL6,Ordinary Share,Invesco Perpetual Select UK Equity,Invesco Perpetual Select UK Equity; Invesco Select Trust - UK Equity shares; Invesco Select UK Equity,B1DPVL6,B1DPVL6; GB00B1DPVL60,2006-12,2024-03,208,UK Equity Income
SEDOL:B0GYJV9,Ordinary Share,Investec Capital Accumulator,Investec Capital Accumulator,B0GYJV9,B0GYJV9,2006-12,2010-04,41,Sector Specialist: Zero Dividend
SEDOL:3216473,Ordinary Share,JPMorgan Russian Securities,"JPMorgan Emerging Europe, Middle East & Africa; JPMorgan Russian Securities",3216473,3216473; GB0032164732,2006-12,2026-07,236,Global Emerging Markets
SEDOL:341710,Ordinary Share,JPMorgan US Discovery,JPMorgan US Discovery; JPMorgan US Smaller Companies,0341710; 341710; BJL5F34,0341710; 341710; GB0003417101; GB00BJL5F346,2006-12,2026-07,236,North American Smaller Companies
SEDOL:3253953,Ordinary Share,Jubilee Investment Trust,Jubilee Investment Trust,3253953,3253953,2006-12,2007-01,2,Global Smaller Companies
SEDOL:B0JMRX8,Ordinary Share,Matrix Income & Growth 3 VCT,Matrix Income & Growth 3 VCT,B0JMRX8,B0JMRX8,2006-12,2010-04,41,VCT Generalist
SEDOL:B01WL23,Ordinary Share,Matrix Income & Growth VCT,Gresham House Income & Growth 2 VCT; Matrix Income & Growth VCT; Mobeus Income & Growth VCT,B01WL23,B01WL23; GB00B01WL239,2006-12,2026-07,236,VCT
SEDOL:596286,Ordinary Share,Mithras,Mithras,0596286; 596286,0596286; 596286; GB0005962864,2006-12,2018-08,141,Private Equity
SEDOL:791348,Ordinary Share,Schroder UK Growth,Baillie Gifford UK Growth; Schroder UK Growth,0791348; 791348,0791348; 791348; GB0007913485,2006-12,2026-07,236,UK All Companies
SEDOL:B0HW611,Ordinary Share,Ukraine Opportunity,Ukraine Opportunity,B0HW611,B0HW611; GB00B0HW6117,2006-12,2015-10,107,Country Specialists: Europe
NAME:aim distribution trust vct|ordinary share,Ordinary Share,AIM Distribution Trust VCT,AIM Distribution Trust VCT,,11637,2007-01,2010-02,38,VCT AIM Quoted
SEDOL:448451,Ordinary Share,AIM VCT,AIM VCT; Bluehone AIM VCT,448451,448451,2007-01,2008-06,18,VCT AIM Quoted
SEDOL:205753,Ordinary Share,AIM VCT 2,AIM VCT 2; Bluehone AIM VCT 2; Maven Income & Growth VCT 5; Maven Income and Growth VCT 5,0205753; 205753,0205753; 205753; GB0002057536,2007-01,2026-07,235,VCT
SEDOL:B0PKQN9,Ordinary Share,AIM VCT 2 C shares,AIM VCT 2 C shares; Bluehone AIM VCT 2 C shares,B0PKQN9,B0PKQN9,2007-01,2009-10,34,VCT AIM Quoted
