security_id,name,sector,share_type,isin,currency,first_seen,last_seen,months_listed,source_priced_months,market,domicile,offshore,is_vct,is_split,is_ordinary,status,market_latest_month,months_missing,manual_entry,review_action,source_prices_it,nav_route,aggregator_status,last_nav,last_report,last_announcement,registry_last_seen,nav_age_days,report_age_days,announcement_age_days,liveness_reason,live_status_source,evidence_coverage,research_eligible,monitoring_eligible,exclusion_reason
ASX:TCF,360 Capital Mortgage REIT,Fixed Income - Australian Dollar,Ordinary,,AUD,2020-09,2026-06,70,70,AU,,False,False,False,True,live,2026-06,0,False,,True,registry,live,2026-08-13,2026-07-31,2026-08-26,2026-06-01,20.0,33.0,7.0,nav_20d_old,own_nav_announcement,,True,True,
ASX:8IH,8I Holdings Ltd,Equity - Asia,Ordinary,,AUD,2016-12,2026-06,115,103,AU,,False,False,False,True,live,2026-06,0,False,,True,registry,live,2026-08-12,2026-06-29,2026-08-27,2026-06-01,21.0,65.0,6.0,nav_21d_old,own_nav_announcement,,True,True,
ASX:8EC,8IP Emerging Companies Limited,Equity - Australia Small/Mid Cap,Ordinary,,AUD,2016-12,2021-08,57,52,AU,,False,False,False,True,delisted,2026-06,58,False,,True,registry,delisted,2021-09-14,2021-08-31,2021-10-05,2021-08-01,1814.0,1828.0,1793.0,silent_1793d,silence_beyond_grace,,True,False,not_live:delisted
ASX:AIX,AI Private Opportunities Trust,Equity - Global Strategy,Ordinary,,AUD,2026-06,2026-06,1,0,AU,,False,False,False,True,live,2026-06,0,False,,False,announcements_only,live,,,,2026-06-01,,,,no_own_filings_held_deferring_to_registry,registry_deferral_no_own_filings,none,True,True,
ASX:AMH,AMCIL Limited,Equity - Australia,Ordinary,,AUD,2016-12,2026-06,115,115,AU,,False,False,False,True,live,2026-06,0,False,,True,registry,live,2026-08-23,2023-08-23,2026-08-26,2026-06-01,10.0,1106.0,7.0,nav_10d_old,own_nav_announcement,,True,True,
ASX:ALR,Aberdeen Leaders Limited,Equity - Australia,Ordinary,,AUD,2016-12,2018-02,15,15,AU,,False,False,False,True,delist_candidate,2026-06,100,False,,True,registry,delisted,2018-03-20,2018-02-20,2026-08-23,2018-02-01,3088.0,3116.0,10.0,filings_but_no_nav_or_report_10d,own_announcement_only,,True,False,not_live:delist_candidate
ASX:AEG,Absolute Equity Performance Fund Limited,Equity - Australia Strategy,Ordinary,,AUD,2016-12,2022-08,69,69,AU,,False,False,False,True,delist_candidate,2026-06,46,False,,True,registry,delisted,2022-09-26,2022-09-29,2026-08-26,2022-08-01,1437.0,1434.0,7.0,filings_but_no_nav_or_report_7d,own_announcement_only,,True,False,not_live:delist_candidate
ASX:ACQ,Acorn Capital Investment Fund Limited,Equity - Australia Small/Mid Cap,Ordinary,,AUD,2016-12,2026-06,115,115,AU,,False,False,False,True,live,2026-06,0,False,,True,registry,live,2026-08-13,2026-08-27,2026-08-27,2026-06-01,20.0,6.0,6.0,nav_20d_old,own_nav_announcement,,True,True,
ASX:AIQ,Alternative Investment Trust,Equity - Global Strategy,Ordinary,,AUD,2016-12,2026-06,115,113,AU,,False,False,False,True,live,2026-06,0,False,,True,registry,live,2026-08-14,2026-06-30,2026-08-14,2026-06-01,19.0,64.0,19.0,nav_19d_old,own_nav_announcement,,True,True,
ASX:APL,Antipodes Global Investment Company Ltd,Equity - Global,Ordinary,,AUD,2016-12,2021-10,59,59,AU,,False,False,False,True,live_stale_nav,2026-06,56,False,,True,registry,delisted,2021-12-16,2026-08-25,2026-08-26,2021-10-01,1721.0,8.0,7.0,periodic_report_8d_old_no_recent_nav,own_periodic_report,,True,True,
