code,year,date,headline,kind,asat_date,pdf_id,month,asat_month
8IH,2017,2017-08-15,Update - Dividend/Distribution - 8IH,dividend,,1884007,2017-08,NaT
8IH,2017,2017-07-28,Update - Dividend/Distribution - 8IH,dividend,,1878272,2017-07,NaT
8IH,2017,2017-06-30,Update - Dividend/Distribution - 8IH,dividend,,1869929,2017-06,NaT
8IH,2017,2017-05-31,Dividend/Distribution - 8IH,dividend,,1861937,2017-05,NaT
8IH,2023,2023-11-08,Completion of In-Specie Distribution of 8VI CDIs,dividend,,2737857,2023-11,NaT
8IH,2023,2023-10-31,App 3A.5 Return of capital in specie distribution,dividend,,2734342,2023-10,NaT
8IH,2023,2023-10-31,In-specie Distribution Notice of Books Closure Date,dividend,,2734341,2023-10,NaT
8IH,2023,2023-09-01,Intention to undertake In-Specie Distribution of 8VI CDIs,dividend,,2707215,2023-09,NaT
ACQ,2016,2016-10-10,Dividend Reinvestment Plan Price,dividend,,1787733,2016-10,NaT
ACQ,2016,2016-08-30,Dividend/Distribution - ACQ,dividend,,1773306,2016-08,NaT
ACQ,2016,2016-08-30,Dividend Reinvestment Plan,dividend,,1773305,2016-08,NaT
ACQ,2016,2016-08-30,ACQ - Dividend &amp; Future Dividend Intentions,dividend,,1773303,2016-08,NaT
ACQ,2017,2017-12-14,ACQ Dividend Intentions,dividend,,1933812,2017-12,NaT
ACQ,2017,2017-09-25,Dividend Reinvestment Plan,dividend,,1899473,2017-09,NaT
ACQ,2017,2017-08-28,ACQ Announces Dividend and AGM Date,dividend,,1889181,2017-08,NaT
ACQ,2017,2017-08-28,Dividend/Distribution - ACQ,dividend,,1889176,2017-08,NaT
ACQ,2017,2017-07-03,Reaffirming Dividend Intentions,dividend,,1870737,2017-07,NaT
ACQ,2017,2017-03-27,Dividend Reinvestment Plan Price,dividend,,1842117,2017-03,NaT
ACQ,2017,2017-02-23,ACQ - Dividend and Half Year Report,dividend,,1831912,2017-02,NaT
ACQ,2017,2017-02-23,Dividend/Distribution - ACQ,dividend,,1831911,2017-02,NaT
ACQ,2018,2018-11-05,Dividend Reinvestment Plan,dividend,,2044306,2018-11,NaT
ACQ,2018,2018-08-27,Dividend/Distribution - ACQ,dividend,,2014582,2018-08,NaT
ACQ,2018,2018-08-27,"ACQ announces record profit, increased dividend and AGM",dividend,,2014581,2018-08,NaT
ACQ,2018,2018-05-14,Dividend Reinvestment Plan,dividend,,1981120,2018-05,NaT
ACQ,2018,2018-02-16,Update - Dividend/Distribution - ACQ,dividend,,1951551,2018-02,NaT
ACQ,2018,2018-02-16,Record Interim Profit and Increased FF Interim Dividend,dividend,,1951321,2018-02,NaT
ACQ,2018,2018-02-15,Dividend/Distribution - ACQ,dividend,,1951212,2018-02,NaT
ACQ,2019,2019-11-25,Dividend Reinvestment Plan,dividend,,2176907,2019-11,NaT
ACQ,2019,2019-08-26,Dividend/Distribution - ACQ,dividend,,2138441,2019-08,NaT
ACQ,2019,2019-08-26,ACQ announces fully franked dividend and AGM,dividend,,2138438,2019-08,NaT
ACQ,2019,2019-05-13,Dividend Reinvestment Plan,dividend,,2104933,2019-05,NaT
ACQ,2019,2019-02-18,Dividend/Distribution - ACQ,dividend,,2076568,2019-02,NaT
ACQ,2019,2019-02-18,ACQ Announces Fully Franked Interim Dividend,dividend,,2076561,2019-02,NaT
ACQ,2020,2020-08-31,ACQ announces fully franked dividend and AGM,dividend,,2274249,2020-08,NaT
ACQ,2020,2020-08-31,Dividend/Distribution - ACQ,dividend,,2274244,2020-08,NaT
ACQ,2020,2020-05-19,Dividend Reinvestment Plan,dividend,,2236542,2020-05,NaT
ACQ,2020,2020-02-24,Dividend/Distribution - ACQ,dividend,,2206006,2020-02,NaT
ACQ,2021,2021-10-25,Appendix 3A.1 - clarifies previous dividend announcements,dividend,,2440446,2021-10,NaT
ACQ,2021,2021-10-20,Update - Dividend/Distribution - ACQ,dividend,,2438101,2021-10,NaT
ACQ,2021,2021-10-20,Dividend/Distribution - ACQ,dividend,,2438098,2021-10,NaT
ACQ,2021,2021-10-20,Entitlement Offer and Dividends Announcement,dividend,,2438088,2021-10,NaT
ACQ,2021,2021-08-27,ACQ announces fully franked dividend and AGM date,dividend,,2413991,2021-08,NaT
ACQ,2021,2021-08-27,Dividend/Distribution - ACQ,dividend,,2413990,2021-08,NaT
ACQ,2021,2021-03-04,ex-dividend and record date clarification,dividend,,2350039,2021-03,NaT
ACQ,2021,2021-03-01,Dividend/Distribution - ACQ,dividend,,2348183,2021-03,NaT
ACQ,2022,2022-08-30,ACQ Announces Fully Franked Dividend and AGM Date,dividend,,2561229,2022-08,NaT
ACQ,2022,2022-08-30,Dividend/Distribution - ACQ,dividend,,2561226,2022-08,NaT
ACQ,2022,2022-02-24,Clarification of Dividend Payment Date,dividend,,2491511,2022-02,NaT
ACQ,2022,2022-02-23,ACQ announces interim dividend,dividend,,2490641,2022-02,NaT
ACQ,2022,2022-02-23,Dividend/Distribution - ACQ,dividend,,2490640,2022-02,NaT
ACQ,2023,2023-11-20,Update - Dividend/Distribution - ACQ,dividend,,2742641,2023-11,NaT
ACQ,2023,2023-08-24,ACQ Announces Fully Franked Dividend and AGM Date,dividend,,2702192,2023-08,NaT
ACQ,2023,2023-08-24,Dividend/Distribution - ACQ,dividend,,2702190,2023-08,NaT
ACQ,2023,2023-02-24,ACQ Announces Interim Dividend,dividend,,2636163,2023-02,NaT
ACQ,2023,2023-02-24,Dividend/Distribution - ACQ,dividend,,2636161,2023-02,NaT
ACQ,2024,2024-08-29,ACQ announces dividend and AGM date,dividend,,2846780,2024-08,NaT
ACQ,2024,2024-08-29,Dividend/Distribution - ACQ,dividend,,2846767,2024-08,NaT
ACQ,2024,2024-02-27,Dividend/Distribution - ACQ,dividend,,2777937,2024-02,NaT
ACQ,2024,2024-02-27,ACQ Announces Interim Dividend,dividend,,2777934,2024-02,NaT
ACQ,2025,2025-08-29,ACQ announces dividend and AGM date,dividend,,2988798,2025-08,NaT
ACQ,2025,2025-08-29,Dividend/Distribution - ACQ,dividend,,2988792,2025-08,NaT
ACQ,2025,2025-02-28,Update - Dividend/Distribution - ACQ,dividend,,2920862,2025-02,NaT
ACQ,2025,2025-02-27,Dividend/Distribution - ACQ,dividend,,2920331,2025-02,NaT
ACQ,2026,2026-02-25,Update - Dividend/Distribution - ACQ,dividend,,3064876,2026-02,NaT
ACQ,2026,2026-02-25,Dividend/Distribution - ACQ,dividend,,3064850,2026-02,NaT
AEG,2022,2022-11-22,Capital Markets and Product Distribution Agreements,dividend,,2601151,2022-11,NaT
AEG,2022,2022-05-02,Distribution Schedule,dividend,,2517073,2022-05,NaT
AFI,2016,2016-08-16,Update - Dividend/Distribution - AFI,dividend,,1767382,2016-08,NaT
AFI,2016,2016-07-25,Dividend/Distribution - AFI,dividend,,1759922,2016-07,NaT
AFI,2016,2016-02-10,Update - Dividend/Distribution - AFI,dividend,,1710558,2016-02,NaT
AFI,2016,2016-01-20,Dividend/Distribution - AFI,dividend,,1704374,2016-01,NaT
AFI,2017,2017-08-15,Update - Dividend/Distribution - AFI,dividend,,1883721,2017-08,NaT
AFI,2017,2017-07-24,Dividend/Distribution - AFI,dividend,,1876230,2017-07,NaT
AFI,2017,2017-02-14,Update - Dividend/Distribution - AFI,dividend,,1828025,2017-02,NaT
AFI,2017,2017-01-23,Dividend/Distribution - AFI,dividend,,1821559,2017-01,NaT
AFI,2018,2018-08-15,Update - Dividend/Distribution - AFI,dividend,,2009489,2018-08,NaT
AFI,2018,2018-07-23,Dividend/Distribution - AFI,dividend,,2001421,2018-07,NaT
AFI,2018,2018-02-15,Update - Dividend/Distribution - AFI,dividend,,1950757,2018-02,NaT
AFI,2018,2018-01-22,Dividend/Distribution - AFI,dividend,,1942749,2018-01,NaT
AFI,2019,2019-08-12,Update - Dividend/Distribution - AFI,dividend,,2132835,2019-08,NaT
AFI,2019,2019-07-22,Dividend/Distribution - AFI,dividend,,2124994,2019-07,NaT
AFI,2019,2019-02-15,Update - Dividend/Distribution - AFI,dividend,,2075722,2019-02,NaT
AFI,2019,2019-01-21,Dividend/Distribution - AFI,dividend,,2067850,2019-01,NaT
AFI,2020,2020-08-18,Update - Dividend/Distribution - AFI,dividend,,2267787,2020-08,NaT
AFI,2020,2020-07-27,Dividend/Distribution - AFI,dividend,,2258740,2020-07,NaT
AFI,2020,2020-02-14,Update - Dividend/Distribution - AFI,dividend,,2202299,2020-02,NaT
AFI,2020,2020-01-20,Dividend/Distribution - AFI,dividend,,2193938,2020-01,NaT
