code,months,announced,coverage
8EC,51,0,0.0
ABW,48,0,0.0
AGM,28,0,0.0
AEG,69,0,0.0
AIB,80,0,0.0
APL,59,0,0.0
ALR,15,0,0.0
ALF,50,0,0.0
BAF,45,0,0.0
BST,34,0,0.0
BSN,3,0,0.0
AYH,2,0,0.0
AYF,45,0,0.0
AWQ,10,0,0.0
AUP,62,0,0.0
AUF,16,0,0.0
D2O,28,0,0.0
EAF,31,0,0.0
EAI,77,0,0.0
FOR,90,0,0.0
EMF,18,0,0.0
EGI,43,0,0.0
EGF,30,0,0.0
EGD,38,0,0.0
CTN,10,0,0.0
CLF,36,0,0.0
CIE,54,0,0.0
CQG,7,0,0.0
CMI,24,0,0.0
CBC,32,0,0.0
IPE,21,0,0.0
HML,21,0,0.0
MMJ,33,0,0.0
MOT,87,0,0.0
NBI,67,0,0.0
NEN,1,0,0.0
PAF,62,0,0.0
OZG,63,0,0.0
PCX,25,0,0.0
PAI,103,0,0.0
QVE,90,0,0.0
PE1,87,0,0.0
MGG,34,0,0.0
MAX,31,0,0.0
LRT,99,0,0.0
HHV,11,0,0.0
USF,10,0,0.0
USP,10,0,0.0
UWC,19,0,0.0
VG8,35,0,0.0
WAR,61,0,0.0
WLS,18,0,0.0
WIC,55,0,0.0
USG,10,0,0.0
MXT,103,1,0.01
WMA,70,1,0.014
WMI,98,2,0.02
WGB,97,2,0.021
MGF,44,1,0.023
HGV,33,1,0.03
MRE,21,1,0.048
MHH,21,1,0.048
WMX,10,1,0.1
WLE,108,17,0.157
WAM,115,19,0.165
WAX,115,19,0.165
WAA,115,20,0.174
MA1,69,16,0.232
FGX,115,32,0.278
FGG,115,32,0.278
OPH,91,82,0.901
BHD,94,90,0.957
HCF,33,32,0.97
CVF,39,38,0.974
PGG,49,48,0.98
TEK,113,111,0.982
HHY,65,64,0.985
ECL,77,76,0.987
QRI,83,82,0.988
TOP,111,110,0.991
LSX,110,109,0.991
ACQ,115,114,0.991
EFF,30,30,1.0
DN1,16,16,1.0
DUI,112,112,1.0
CAM,115,115,1.0
DJW,115,115,1.0
ECP,79,79,1.0
CDO,55,55,1.0
CDM,115,115,1.0
CD3,105,105,1.0
CD2,105,105,1.0
CD1,104,104,1.0
CYA,26,26,1.0
CIN,115,115,1.0
BTI,115,115,1.0
MIR,115,115,1.0
MFF,115,115,1.0
MEC,110,110,1.0
KIT,4,4,1.0
LF1,13,13,1.0
KKC,80,80,1.0
LGF,3,3,1.0
LSF,99,99,1.0
KAT,114,114,1.0
GLS,8,8,1.0
GFL,115,115,1.0
GCI,98,98,1.0
GC1,111,111,1.0
FSI,115,115,1.0
AYK,32,32,1.0
BKI,115,115,1.0
ARG,115,115,1.0
AYJ,14,14,1.0
AMH,115,115,1.0
AQF,18,18,1.0
AIQ,112,112,1.0
AFI,115,115,1.0
8IH,76,76,1.0
ALI,115,115,1.0
BEL,101,101,1.0
AYZ,32,32,1.0
AUI,115,115,1.0
AYD,3,3,1.0
IBC,115,115,1.0
GVF,115,115,1.0
FPC,111,111,1.0
FPP,89,89,1.0
RG8,45,45,1.0
RG1,9,9,1.0
RF1,84,84,1.0
REV,10,10,1.0
PL8,110,110,1.0
PMC,107,107,1.0
PIA,103,103,1.0
PIC,115,115,1.0
PGF,115,115,1.0
PCI,85,85,1.0
MLT,57,57,1.0
MVT,33,33,1.0
NSC,104,104,1.0
NGE,115,115,1.0
NCC,115,115,1.0
OEQ,108,108,1.0
NAC,115,115,1.0
HM1,92,92,1.0
URB,25,25,1.0
TGF,93,93,1.0
SET,3,3,1.0
SNC,115,115,1.0
TGG,58,58,1.0
TVL,57,57,1.0
SB2,61,61,1.0
SEC,102,102,1.0
RYD,115,115,1.0
VG1,95,95,1.0
WDE,16,16,1.0
WHI,19,19,1.0
SVS,69,69,1.0
TCF,70,70,1.0
WHF,108,108,1.0
WGF,20,20,1.0
WMK,20,20,1.0
WQG,96,96,1.0
ZER,84,84,1.0
