ticker,month,label,unit,truth,n_matching_labels,split,announcement_id
MFF,2026-06,platforms allianz home depot dicks sporting goods microsoft,dollars,4.991,2,learn,03110388
MFF,2026-06,nta per share nta per share,dollars,4.991,2,learn,03110388
REV,2026-06,please contact revolution private credit income trust on,dollars,2.0014,1,learn,03110341
SEC,2026-06,at estimated nta per share pre tax nta,dollars,2.238,1,holdout,03109796
BKI,2026-06,per share as at below pre tax nta,dollars,2.07,1,holdout,03108752
KIT,2026-06,is as follows value date nta per unit,dollars,2.0095,1,learn,03107277
ARG,2026-06,and approximate pre tax nta per share,dollars,10.84,1,learn,03106413
PIC,2026-06,ordinary share nta before tax nta after tax,dollars,1.207,2,learn,03105101
PIC,2026-06,nta after tax,dollars,1.207,2,learn,03105101
WAR,2026-06,opportunities nta nta fully franked dividend paid cents,cents,1.2509,1,holdout,03103501
PCI,2026-06,at close of business on nta per unit,dollars,1.099,1,holdout,03103188
PCI,2026-06,at close of business on nta per unit,dollars,1.099,1,holdout,03101146
MXT,2026-06,limited level exchange centre bridge street sydney nsw,dollars,2.0016,2,learn,03100308
MXT,2026-06,is as follows value date nta per unit,dollars,2.0016,2,learn,03100308
TGF,2026-05,estimated nta pre tax,dollars,3.6933,2,holdout,03099691
TGF,2026-05,nta backing per ordinary share estimated nta pre tax,dollars,3.6933,2,holdout,03099691
MFF,2026-05,nta per share nta per share,dollars,4.811,1,learn,03099831
MOT,2026-05,is as follows value date nta per unit,dollars,2.1615,1,learn,03099756
SET,2026-05,at estimated nta per share pre tax nta,dollars,1.991,1,learn,03098750
KIT,2026-05,is as follows value date nta per unit,dollars,2.0047,1,learn,03095867
MOT,2026-05,is as follows value date nta per unit,dollars,2.1615,1,learn,03094454
TCF,2026-05,as follows value date nav per unit,dollars,5.948,1,learn,03091656
DN1,2026-05,per unit of the dominion income trust was,dollars,100.17,1,learn,03090085
PCI,2026-05,at close of business on nta per unit,dollars,1.096,1,holdout,03090053
GCI,2026-04,on nta per unit as at,dollars,2.0064,1,learn,03089484
