ticker,month,label,unit,truth,n_matching_labels,matched,split,announcement_id,nearest_label,nearest_value,nearest_unit,nearest_ratio
LRT,2026-06,unit of the trust as at was,dollars,2.5375,1,True,learn,03110693,,,,
PCI,2026-06,at close of business on nta per unit,dollars,1.099,1,True,holdout,03110285,,,,
LSF,2026-06,per ordinary share f f nta before tax,dollars,4.317,1,True,learn,03110645,,,,
MOT,2026-06,,,2.1458,0,False,learn,03109575,is as follows value date nta per unit,2.1687,dollars,1.010672010438997
DJW,2026-06,,,3.22,0,False,learn,03108874,pre tax nta per share,3.2,dollars,0.9937888198757764
LSF,2026-06,,,4.317,0,False,learn,03109244,per ordinary share f f nta before tax,4.363,dollars,1.0106555478341441
GCI,2026-06,,,2.0051,0,False,learn,03108927,governor macquarie tower farrer place sydney nsw p,2.0,dollars,0.9974564859607999
AFI,2026-06,,,7.93,0,False,learn,03108822,pre tax nta per share,7.88,dollars,0.9936948297604036
SET,2026-06,at estimated nta per share pre tax nta,dollars,1.985,1,True,learn,03108001,,,,
MXT,2026-06,,,2.0016,0,False,learn,03106934,is as follows value date nta per unit,2.0096,dollars,1.0039968025579535
PIC,2026-06,nta before tax,dollars,1.207,2,True,learn,03106917,,,,
PIC,2026-06,was nta per ordinary share nta before tax,dollars,1.207,2,True,learn,03106917,,,,
ALI,2026-06,,,2.75,0,False,learn,03106714,and approximate pre tax nta per share,2.7,dollars,0.9818181818181819
MOT,2026-06,,,2.1458,0,False,learn,03106515,is as follows value date nta per unit,2.1673,dollars,1.0100195731195825
PIC,2026-06,,,1.207,0,False,learn,03106484,nta before tax,1.21,dollars,1.0024855012427505
MFF,2026-06,,,4.991,0,False,learn,03106459,advisesitsgroupweekly ntaper shareasatfriday approximates pre tax and,4.179,dollars,0.8373071528751754
OPH,2026-06,,,3.1428,0,False,learn,03106279,is as follows value date nav per unit,3.1882,dollars,1.0144457171948582
HM1,2026-06,,,3.67,0,False,learn,03106266,nta per share pre tax nta,3.58,dollars,0.9754768392370573
MXT,2026-06,,,2.0016,0,False,learn,03105072,is as follows value date nta per unit,2.0069,dollars,1.0026478816946442
REV,2026-06,please contact revolution private credit income trust on,dollars,2.0014,1,True,learn,03105007,,,,
LSF,2026-06,,,4.317,0,False,learn,03104829,per ordinary share f f nta before tax,4.2985,dollars,0.9957146166319202
AUI,2026-06,,,13.75,0,False,holdout,03104385,is as below weekly pre tax nta per share,13.66,dollars,0.9934545454545455
GCI,2026-06,,,2.0051,0,False,learn,03104184,governor macquarie tower farrer place sydney nsw p,2.0,dollars,0.9974564859607999
ARG,2026-06,and approximate pre tax nta per share,dollars,10.84,1,True,learn,03104159,,,,
SEC,2026-06,,,2.238,0,False,holdout,03104519,nta per share pre tax nta post tax nta,2.265,dollars,1.012064343163539
MIR,2026-06,,,2.82,0,False,learn,03104043,pre tax nta per share,2.8,dollars,0.9929078014184397
LSF,2026-06,,,4.317,0,False,learn,03103413,per ordinary share f f nta before tax,4.1932,dollars,0.9713226777854992
SEC,2026-06,,,2.238,0,False,holdout,03103284,at estimated nta per share pre tax nta,2.265,dollars,1.012064343163539
MOT,2026-06,,,2.1458,0,False,learn,03103238,is as follows value date nta per unit,2.1642,dollars,1.0085748904837357
