ticker,month,label,unit,truth,n_matching_labels,matched,nearest_label,nearest_value,nearest_unit,nearest_ratio,split,announcement_id
KKC,2026-06,,,2.3528,0,False,previous nta estimate,2.3358,dollars,0.9927745664739884,learn,03110692
GLS,2026-06,,,1.722,0,False,were nta per ordinary share nta before tax,1.7708,dollars,1.0283391405342626,learn,03110156
LSF,2026-06,,,4.317,0,False,per ordinary share f f nta before tax,4.3554,dollars,1.0088950660180682,learn,03109962
PIC,2026-06,,,1.207,0,False,nta after tax,1.204,dollars,0.9975144987572493,learn,03109653
SET,2026-06,,,1.985,0,False,at estimated nta per share pre tax nta,1.989,dollars,1.002015113350126,learn,03109749
LRT,2026-06,,,2.5375,0,False,unit of the trust as at was,2.5082,dollars,0.9884532019704433,learn,03109377
SET,2026-06,,,1.985,0,False,at estimated nta per share pre tax nta,1.975,dollars,0.9949622166246851,learn,03109141
PCI,2026-06,at close of business on nta per unit,dollars,1.099,1,True,,,,,holdout,03108926
ALI,2026-06,,,2.75,0,False,and approximate pre tax nta per share,2.68,dollars,0.9745454545454546,learn,03109340
RG8,2026-06,,,3.3,0,False,ordinary share for regal asian investments limited was,3.27,dollars,0.990909090909091,learn,03108773
RF1,2026-06,,,3.67,0,False,nav per unit of regal investment fund was,3.62,dollars,0.9863760217983651,learn,03108712
FPC,2026-06,,,1.6887,0,False,fund as at th amount pre tax nta,1.6994,dollars,1.0063362349736484,learn,03108608
SEC,2026-06,,,2.238,0,False,at estimated nta per share pre tax nta,2.221,dollars,0.9924039320822163,holdout,03108566
GCI,2026-06,,,2.0051,0,False,governor macquarie tower farrer place sydney nsw p,2.0,dollars,0.9974564859607999,learn,03108295
MXT,2026-06,,,2.0016,0,False,is as follows value date nta per unit,2.0105,dollars,1.0044464428457236,learn,03107927
PCI,2026-06,at close of business on nta per unit,dollars,1.099,1,True,,,,,holdout,03107904
REV,2026-06,please contact revolution private credit income trust on,dollars,2.0014,1,True,,,,,learn,03107275
KKC,2026-06,,,2.3528,0,False,nta per unit,2.32,dollars,0.986059163549813,learn,03107305
LSF,2026-06,,,4.317,0,False,per ordinary share f f nta before tax,4.4292,dollars,1.0259902710215427,learn,03106659
AMH,2026-06,,,1.08,0,False,pre tax nta per share,1.07,dollars,0.9907407407407407,learn,03106292
RG1,2026-06,,,2.65,0,False,share for regal partners global investments limited was,2.68,dollars,1.0113207547169811,learn,03106267
LSF,2026-06,,,4.317,0,False,per ordinary share f f nta before tax,4.4533,dollars,1.0315728515172573,learn,03106196
MEC,2026-06,,,1.6021,0,False,noted below dollars per share estimated nta pre tax,1.5619,dollars,0.9749079333374945,learn,03105988
SET,2026-06,,,1.985,0,False,at estimated nta per share pre tax nta,2.0,dollars,1.0075566750629723,learn,03105962
SEC,2026-06,,,2.238,0,False,at estimated nta per share pre tax nta,2.343,dollars,1.0469168900804289,holdout,03105595
SEC,2026-06,ordinaries accumulation index by post tax nta company facts,dollars,2.238,1,True,,,,,holdout,03105536
KKC,2026-06,,,2.3528,0,False,current nta estimate,2.3298,dollars,0.990224413464808,learn,03105321
OPH,2026-06,,,3.1428,0,False,quarterly company gics sector industry ticker unit price,3.11,dollars,0.9895634466081201,learn,03104894
PIA,2026-06,,,1.3778,0,False,and before tax on unrealised gains and losses,1.3417,cents,0.9737988096966178,holdout,03104849
LRT,2026-06,,,2.5375,0,False,unit of the trust as at was,2.5627,dollars,1.0099310344827586,learn,03104496
BKI,2026-06,,,2.07,0,False,per share as at below pre tax nta,2.09,dollars,1.0096618357487923,holdout,03103929
OPH,2026-06,,,3.1428,0,False,is as follows value date nav per unit,3.1325,dollars,0.9967226676848671,learn,03103995
GC1,2026-06,,,0.71,0,False,nta as at are as follows nta,0.6943,dollars,0.9778873239436621,holdout,03103810
PIC,2026-06,,,1.207,0,False,nta before tax,1.201,dollars,0.9950289975144988,learn,03103716
8IH,2026-06,,,0.0427,0,False,per share as of is s a,0.0428,dollars,1.0023419203747073,learn,03103698
ECL,2026-06,,,0.9633,0,False,cents as at nta before all taxes,0.9571999999999999,cents,0.9936676009550502,learn,03103687
GCI,2026-06,,,2.0051,0,False,governor macquarie tower farrer place sydney nsw p,2.0,dollars,0.9974564859607999,learn,03103651
CD1,2026-06,cdfunds k am com au or by calling,cents,0.61,2,True,,,,,holdout,03103588
CD1,2026-06,unit email cdfunds k am com au phone,cents,0.61,2,True,,,,,holdout,03103588
FGX,2026-06,s p asx all ordinaries accumulation index by cents,cents,1.3234,2,True,,,,,learn,03103804
FGX,2026-06,month end share price research ratings portfolio performance m,dollars,1.3234,2,True,,,,,learn,03103804
PIC,2026-06,,,1.207,0,False,nta before tax,1.201,dollars,0.9950289975144988,learn,03103291
MEC,2026-06,,,1.6021,0,False,noted below dollars per share estimated nta pre tax,1.5624,dollars,0.975220023718869,learn,03102979
LGF,2026-06,,,1.7534,0,False,f nta before tax f nta after tax,1.7722,dollars,1.0107220257784875,holdout,03102951
SET,2026-06,,,1.985,0,False,at estimated nta per share pre tax nta,2.0,dollars,1.0075566750629723,learn,03102854
REV,2026-06,is as follows value date nta per unit,dollars,2.0014,2,True,,,,,learn,03102681
REV,2026-06,please contact revolution private credit income trust on,dollars,2.0014,2,True,,,,,learn,03102681
RYD,2026-06,,,1.9803,0,False,to the provision and yield payment of tax,2.0,dollars,1.0099479876786346,holdout,03102276
WMI,2026-06,,,1.2808,0,False,fully franked dividend paid cents cents cents,1.2899,cents,1.0071049344159901,learn,03102193
AMH,2026-06,,,1.08,0,False,pre tax nta per share,1.05,dollars,0.9722222222222222,learn,03102198
SEC,2026-06,,,2.238,0,False,nta per share pre tax nta post tax nta,2.233,dollars,0.9977658623771225,holdout,03102437
MXT,2026-06,is as follows value date nta per unit,dollars,2.0016,1,True,,,,,learn,03102319
LRT,2026-06,,,2.5375,0,False,unit of the trust as at was,2.6516,dollars,1.0449655172413794,learn,03102636
HM1,2026-06,,,3.67,0,False,,,,,learn,03102089
MXT,2026-06,is as follows value date nta per unit,dollars,2.0016,1,True,,,,,learn,03102040
GFL,2026-06,,,4.428,0,False,,,,,learn,03101925
SEC,2026-06,,,2.238,0,False,at estimated nta per share pre tax nta,2.253,dollars,1.0067024128686328,holdout,03101834
PIC,2026-06,,,1.207,0,False,nta before tax,1.194,dollars,0.9892294946147472,learn,03101711
GCI,2026-06,on nta per unit as at,dollars,2.0051,1,True,,,,,learn,03101649
MRE,2026-06,,,2.5429,0,False,nta per unit set value date post tax,2.4791,dollars,0.9749105352156986,learn,03101125
ARG,2026-06,,,10.84,0,False,nta per share nta per share,10.59,dollars,0.9769372693726938,learn,03101150
MOT,2026-06,,,2.1458,0,False,is as follows value date nta per unit,2.162,dollars,1.0075496318389412,learn,03101199
SET,2026-06,,,1.985,0,False,as at nta per share pre tax nta,1.991,dollars,1.003022670025189,learn,03101221
LF1,2026-06,nta per unit,dollars,1.97,2,True,,,,,learn,03101533
LF1,2026-06,fund was as follows nta per unit,dollars,1.97,2,True,,,,,learn,03101533
REV,2026-06,please contact revolution private credit income trust on,dollars,2.0014,1,True,,,,,learn,03100720
ECP,2026-06,,,1.034,0,False,tax on on unrealised gains unrealised gains,1.02,cents,0.9864603481624759,learn,03100699
KKC,2026-06,,,2.3528,0,False,nta per unit,2.31,dollars,0.9818089085345122,learn,03100631
PIC,2026-06,,,1.207,0,False,nta before tax,1.199,dollars,0.9933719966859983,learn,03100290
AUI,2026-05,is as below weekly pre tax nta per share,dollars,13.46,1,True,,,,,holdout,03099960
ARG,2026-05,and approximate pre tax nta per share,dollars,10.59,1,True,,,,,learn,03099687
RF1,2026-05,nav per unit of regal investment fund was,dollars,3.72,1,True,,,,,learn,03099583
AFI,2026-05,,,7.76,0,False,pre tax nta per share,7.74,dollars,0.9974226804123711,learn,03099555
OPH,2026-05,prior value date nav per unit month end,dollars,3.1142,1,True,,,,,learn,03099517
PCI,2026-05,at close of business on nta per unit,dollars,1.096,1,True,,,,,holdout,03099059
PCI,2026-05,,,1.096,0,False,at close of business on nta per unit,1.102,dollars,1.0054744525547445,holdout,03098570
SEC,2026-05,,,2.271,0,False,at estimated nta per share pre tax nta,2.229,dollars,0.9815059445178337,holdout,03098255
LRT,2026-05,unit of the trust as at was,dollars,2.7184,1,True,,,,,learn,03097527
ARG,2026-05,,,10.59,0,False,and approximate pre tax nta per share,10.55,dollars,0.9962228517469311,learn,03097221
PGF,2026-05,,,2.857,0,False,nta before tax accruals,2.83,dollars,0.9905495274763738,learn,03097088
PCI,2026-05,,,1.096,0,False,at close of business on nta per unit,1.1,dollars,1.0036496350364963,holdout,03096692
SET,2026-05,,,1.991,0,False,at estimated nta per share pre tax nta,2.0,dollars,1.0045203415369162,learn,03095960
PCI,2026-05,,,1.096,0,False,at close of business on nta per unit,1.1,dollars,1.0036496350364963,holdout,03095846
MXT,2026-05,,,2.0148,0,False,is as follows value date nta per unit,2.0073,dollars,0.9962775461584275,learn,03094979
ARG,2026-05,,,10.59,0,False,and approximate pre tax nta per share,10.48,dollars,0.9896128423040604,learn,03094945
RG8,2026-05,,,3.31,0,False,ordinary share for regal asian investments limited was,3.37,dollars,1.0181268882175227,learn,03094727
SEC,2026-05,,,2.271,0,False,at estimated nta per share pre tax nta,2.238,dollars,0.9854689564068693,holdout,03094113
CD3,2026-05,,,1.52,0,False,inception year nta return last months since inception,1.56,dollars,1.0263157894736843,learn,03094068
REV,2026-05,is as follows value date nta per unit,dollars,2.0008,2,True,,,,,learn,03094009
REV,2026-05,please contact revolution private credit income trust on,dollars,2.0008,2,True,,,,,learn,03094009
KKC,2026-05,,,2.3236,0,False,at close of business nta per unit,2.312,dollars,0.9950077466001033,learn,03093522
PIC,2026-05,,,1.201,0,False,nta before tax,1.174,dollars,0.9775187343880098,learn,03093632
SET,2026-05,,,1.991,0,False,at estimated nta per share pre tax nta,2.0,dollars,1.0045203415369162,learn,03093658
WGB,2026-05,,,2.1849,0,False,companies nta nta fully franked dividend paid cents,2.1632,cents,0.9900681953407479,holdout,03093878
SB2,2026-05,,,0.813,0,False,visa regime for the period ending th,0.8,dollars,0.9840098400984011,learn,03093433
PIA,2026-05,,,1.35,0,False,pia pengana international equities limited pengana com pia acn,1.07,cents,0.7925925925925926,holdout,03093354
CDM,2026-05,,,0.876,0,False,price on the date of the announcement of,0.805,dollars,0.9189497716894978,learn,03093108
WHF,2026-05,,,5.99,0,False,investment returns per share prior month nta,5.96,dollars,0.9949916527545909,holdout,03093067
PCI,2026-05,at close of business on nta per unit,dollars,1.096,1,True,,,,,holdout,03093050
CDO,2026-05,,,2.316,0,False,opportunities fund returned a positive gross performance of,2.3,dollars,0.9930915371329879,learn,03093025
WAA,2026-05,,,1.0663,0,False,the nta figure is before the,1.0531,cents,0.9876207446309668,holdout,03093019
8IH,2026-05,,,0.0428,0,False,per share as of is s a,0.0409,dollars,0.955607476635514,learn,03092799
PIC,2026-05,,,1.201,0,False,nta before tax,1.181,dollars,0.9833472106577852,learn,03092719
MXT,2026-05,,,2.0148,0,False,is as follows value date nta per unit,2.0043,dollars,0.9947885646217988,learn,03092662
CIN,2026-05,,,45.19,0,False,,,,,learn,03092641
RF1,2026-05,,,3.72,0,False,nav per unit of regal investment fund was,3.71,dollars,0.9973118279569891,learn,03092482
OPH,2026-05,,,3.1142,0,False,is as follows value date nav per unit,3.0365,dollars,0.9750497720120739,learn,03092524
MEC,2026-05,,,1.5624,0,False,noted below dollars per share estimated nta pre tax,1.4465,dollars,0.9258192524321556,learn,03091730
MXT,2026-05,,,2.0148,0,False,is as follows value date nta per unit,2.0026,dollars,0.9939448084177089,learn,03090646
LF1,2026-05,nta per unit,dollars,1.97,2,True,,,,,learn,03090432
LF1,2026-05,fund was as follows nta per unit,dollars,1.97,2,True,,,,,learn,03090432
AUI,2026-05,,,13.46,0,False,is as below weekly pre tax nta per share,13.34,dollars,0.9910846953937592,holdout,03090362
DJW,2026-05,,,3.14,0,False,pre tax nta per share,3.22,dollars,1.0254777070063694,learn,03089948
MIR,2026-05,,,2.76,0,False,pre tax nta per share,2.77,dollars,1.0036231884057971,learn,03089890
HM1,2026-05,,,3.52,0,False,nta per share pre tax nta,3.35,dollars,0.9517045454545455,learn,03089796
GC1,2026-04,nta as at are as follows nta,dollars,0.6751,1,True,,,,,holdout,03089576
MOT,2026-04,is as follows value date nta per unit,dollars,2.1585,1,True,,,,,learn,03089569
PCI,2026-04,at close of business on nta per unit,dollars,1.096,1,True,,,,,holdout,03088636
SEC,2026-04,at estimated nta per share pre tax nta,dollars,2.263,1,True,,,,,holdout,03087906
MXT,2026-04,,,2.0009,0,False,is as follows value date nta per unit,2.0135,dollars,1.006297166275176,learn,03087791
PIC,2026-04,,,1.174,0,False,nta after tax,1.178,dollars,1.0034071550255537,learn,03087131
PCI,2026-04,,,1.096,0,False,at close of business on nta per unit,1.101,dollars,1.0045620437956204,holdout,03086980
SEC,2026-04,,,2.263,0,False,at estimated nta per share pre tax nta,2.284,dollars,1.0092797171895713,holdout,03087199
LSF,2026-04,,,4.1052,0,False,per ordinary share f f nta before tax,4.1436,dollars,1.0093539900613857,learn,03087307
MFF,2026-04,,,4.816,0,False,weekly nta per share as at approximates,4.773,dollars,0.9910714285714285,learn,03086625
DJW,2026-04,,,3.2,0,False,pre tax nta per share,3.25,dollars,1.015625,learn,03086516
BKI,2026-04,,,2.01,0,False,per share as at below pre tax nta,2.02,dollars,1.0049751243781095,holdout,03086451
MOT,2026-04,,,2.1585,0,False,is as follows value date nta per unit,2.1676,dollars,1.0042158906648135,learn,03086180
PCI,2026-04,,,1.096,0,False,at close of business on nta per unit,1.101,dollars,1.0045620437956204,holdout,03086137
PCI,2026-04,,,1.096,0,False,at close of business on nta per unit,1.1,dollars,1.0036496350364963,holdout,03085651
PIA,2026-04,,,1.3174,0,False,pia pengana international equities limited pengana com pia acn,1.07,cents,0.8122058600273266,holdout,03084993
GLS,2026-04,,,1.6668,0,False,ordinary share nta before tax nta after tax,1.7607,dollars,1.056335493160547,learn,03084987
MXT,2026-04,,,2.0009,0,False,is as follows value date nta per unit,2.0093,dollars,1.0041981108501175,learn,03084816
TGF,2026-04,,,3.4772,0,False,estimated nta pre tax,3.69,dollars,1.061198665593006,holdout,03084262
AFI,2026-04,,,7.69,0,False,error the estimated nta should have been not,7.81,dollars,1.0156046814044213,learn,03084234
MXT,2026-04,,,2.0009,0,False,is as follows value date nta per unit,2.008,dollars,1.0035484032185515,learn,03084312
MOT,2026-04,,,2.1585,0,False,is as follows value date nta per unit,2.1649,dollars,1.0029650220060227,learn,03084319
LSF,2026-04,,,4.1052,0,False,per ordinary share f f nta before tax,4.1794,dollars,1.0180746370456981,learn,03084539
MIR,2026-04,,,2.78,0,False,pre tax nta per share,2.83,dollars,1.0179856115107915,learn,03084193
DJW,2026-04,,,3.2,0,False,pre tax nta per share,3.29,dollars,1.028125,learn,03084187
HM1,2026-04,,,3.31,0,False,nta per share pre tax nta,3.29,dollars,0.9939577039274924,learn,03084082
GLS,2026-04,,,1.6668,0,False,ordinary share nta before tax nta after tax,1.7171,dollars,1.0301775857931366,learn,03082725
OPH,2026-04,,,2.9334,0,False,outside the s p asx inception date fund size benchmark,3.0,dollars,1.022704029453876,learn,03082719
CD1,2026-04,,,0.58,0,False,unit fund inception last months since inception return,0.61,dollars,1.0517241379310345,holdout,03082518
MOT,2026-04,,,2.1585,0,False,is as follows value date nta per unit,2.1638,dollars,1.0024554088487376,learn,03082440
ECL,2026-04,,,0.9466,0,False,excelsior capital limited abn,0.98,cents,1.0352841749418973,learn,03082061
