ticker,label,unit,months_supporting,months_clean,first_month,last_month,has_nav_vocab,is_rule
8IH,a based on a s pre tax and s,dollars,2,2,2025-01,2025-02,False,False
8IH,per share as of is s a,dollars,1,1,2025-11,2025-11,False,False
8IH,nta per share as of is s,dollars,1,1,2025-01,2025-01,True,False
ACQ,includes dividends nta after taxes and before taxes,dollars,1,1,2024-10,2024-10,True,False
ACQ,returns both nta after taxes including taxes on,dollars,1,1,2024-10,2024-10,True,False
ACQ,capital sirca microcap acc index companies universe asx,cents,1,1,2025-03,2025-03,False,False
ACQ,for the nta after taxes including taxes on,dollars,1,1,2025-11,2025-11,True,False
AFI,pre tax nta per share,dollars,11,11,2024-09,2026-03,True,True
AFI,share as at pre tax nta per share,dollars,11,11,2024-09,2026-03,True,True
AFI,as at before tax after tax,dollars,2,2,2025-10,2025-12,False,False
AFI,of million portfolio commonwealth bank of australia bhp,cents,1,1,2025-04,2025-04,False,False
AFI,bank westpac banking corporation csl macquarie group wesfarmers,dollars,1,1,2026-01,2026-01,False,False
AFI,com afi cm mpms mufg com page of,dollars,1,1,2026-01,2026-01,False,False
AFI,after tax cum div cum div,dollars,1,1,2025-08,2025-08,False,False
AIQ,special investments net cash incl fortress pe funds,dollars,2,2,2025-05,2025-07,False,False
AIQ,cents per unit closing aud usd cents per unit,dollars,1,1,2025-01,2025-01,False,False
ALI,and approximate pre tax nta per share,dollars,3,3,2024-09,2025-11,True,True
ALI,nta per share nta per share,dollars,3,3,2024-09,2026-01,True,True
AMH,pre tax nta per share,dollars,8,8,2024-09,2026-03,True,True
AMH,share as at pre tax nta per share,dollars,8,8,2024-09,2026-03,True,True
AMH,as at before tax after tax,dollars,2,2,2024-10,2025-04,False,False
AMH,at before tax after tax,dollars,2,2,2024-10,2025-01,False,False
AMH,before tax after tax ex div,dollars,1,1,2026-03,2026-03,False,False
AMH,after tax ex div cum div,dollars,1,1,2024-09,2024-09,False,False
AMH,com amcil cm mpms mufg com page of,dollars,1,1,2026-02,2026-02,False,False
AMH,staples as percentage of total portfolio value energy,dollars,1,1,2024-10,2024-10,False,False
ARG,and approximate pre tax nta per share,dollars,7,7,2025-08,2026-06,True,True
ARG,nta per share nta per share,dollars,3,3,2024-09,2025-12,True,True
ARG,approximate n ovember pre tax nta per share,dollars,2,2,2025-11,2025-12,True,False
ARG,earlier guidance its share price jumped more than,dollars,1,1,2024-12,2024-12,False,False
