code,company_name,sector,discount,market_cap,nta_tr_cagr_3y,nta_tr_cagr_5y
ECL,Excelsior Capital Ltd,Equity - Australia Small/Mid Cap,-0.07090210733935431,27.4,0.690001470898826,0.7538551259883668
LRT,Lowell Resources Fund,Equity - Global,-0.026600985221674867,84.36,0.8958015119983505,0.5189569316597072
PGF,PM Capital Global Opportunities Fund Limited,Equity - Global,0.11130404584129194,1619.18,0.5059535024379906,0.36533764904879873
LSX,Lion Selection Group Limited,Equity - Global,-0.180327868852459,121.76,0.630232447390538,0.36362167932273726
GC1,Glennon Small Companies Limited,Equity - Australia Small/Mid Cap,-0.45070422535211263,19.97,,0.35174423597043114
WAA,WAM Active Limited,Equity - Australia Strategy,-0.09484625378951939,169.4,0.5631084827838717,0.3069296345564805
AIQ,Alternative Investment Trust,Equity - Global Strategy,-0.04680515382592698,82.83,0.38678046832613305,0.3060155195501599
PE1,Pengana Private Equity Trust,Equity - Global Strategy,-0.2089903747696089,381.1,0.4558884396734711,0.2985827366684187
TGF,Tribeca Global Natural Resources Limited,Equity - Global Strategy,-0.25415949512335057,172.44,0.4866954241544064,0.27099700982799063
LSF,L1 Long Short Fund Limited,Equity - Global Strategy,0.09335186472087087,2913.13,0.37942112506486814,0.2535826461258361
NGE,NGE Capital Limited,Equity - Australia,-0.2295597484276729,41.37,0.3868302908076728,0.24874395321709342
RYD,Ryder Capital Limited,Equity - Australia Small/Mid Cap,-0.1263949906579811,164.32,0.6961799396169546,0.24312043083163046
MFF,MFF Capital Investments Limited,Equity - Global,0.01382488479262678,3107.74,0.35704074864982305,0.23929125401213366
FPC,Fat Prophets Global Contrarian Fund Ltd,Equity - Global,-0.21833362941907974,40.43,0.5198601627002899,0.23841848804757476
PL8,Plato Income Maximiser Limited,Equity - Australia Strategy,0.19755244755244772,1059.32,0.3879231649588658,0.23180509829651896
BTI,Bailador Technology Investments Limited,Equity - Australia Small/Mid Cap,-0.47159090909090906,157.24,0.21448803433468963,0.19758255086487653
FGG,Future Generation Global Limited,Equity - Global,0.019358741681790637,677.56,0.286901157140718,0.1932676613724189
WLE,WAM Leaders Limited,Equity - Australia,0.0017258197643881257,1925.29,0.23308668863732696,0.18661394292155034
RF1,Regal Investment Fund,Equity - Global Strategy,-0.06267029972752047,734.45,0.382320095715545,0.18661022840899438
BKI,BKI Investment Company Limited,Equity - Australia,-0.11835748792270528,1533.56,0.24124098022641532,0.18359007477735367
AUI,Australian United Investment Company Limited,Equity - Australia,-0.18399999999999994,2479.31,0.24807309864004662,0.1730264159519351
MEC,Morphic Ethical Equities Fund Limited,Equity - Global Strategy,-0.1667186817302292,36.99,0.3100403080345317,0.17159682832293804
OPH,Ophir High Conviction Fund,Equity - Australia,-0.20771286750668183,565.3,0.33966113278682086,0.16985110853198265
IBC,Ironbark Capital Limited,Equity - Australia,-0.27226027397260266,43.72,0.219414138903763,0.16819205803958465
MOT,Metrics Income Opportunities Trust,Fixed Income - Australian Dollar,-0.23338614968776206,534.22,0.20767786134830774,0.16542645656277322
WAM,WAM Capital Limited,Equity - Australia,0.21522094926350266,1792.67,0.27296563579245614,0.16348449874672882
WQG,WCM Global Growth Limited,Equity - Global Strategy,-0.11157024793388426,558.75,0.286355591922307,0.16314033656692686
ALI,Argo Global Listed Infrastructure Limited,Equity - Infrastructure,-0.050909090909090904,489.82,0.2551403184758347,0.160227542413302
SEC,Spheria Emerging Companies Limited,Equity - Australia Small/Mid Cap,0.027703306523681803,142.05,0.28565515684070436,0.15895879898099996
GVF,Staude Capital Global Value Fund Limited,Equity - Global,0.018850644890483048,278.73,0.2204148556080986,0.15774746952915078
GFL,Global Masters Fund Limited,Equity - Global,-0.34959349593495936,32.5,0.1795635469973875,0.15357017758578062
CD3,Cd Private Equity Fund III,Equity - Global Strategy,-0.44620253164556967,69.15,0.17445358391527782,0.14971181121945634
ARG,Argo Investments Limited,Equity - Australia,-0.142988929889299,6809.61,0.23126204961002936,0.1475482500908611
WMI,WAM Microcap Limited,Equity - Australia Small/Mid Cap,0.12039350405996263,412.16,0.2464357765703514,0.1448770979090167
WAX,WAM Research Limited,Equity - Australia Small/Mid Cap,0.29662749105774133,225.79,0.22340814252893998,0.14114956180086968
MXT,Metrics Master Income Trust,Fixed Income - Australian Dollar,-0.045763389288569045,2365.92,0.18312404553773134,0.13946978816826303
WHF,Whitefield Industrials Limited,Equity - Australia,-0.2274959083469723,589.51,0.19175349318962492,0.13632092666980988
TOP,Thorney Opportunities Ltd,Equity - Australia Strategy,-0.4264859228362877,95.63,,0.1353466974973903
KKC,KKR Credit Income Fund,Fixed Income - Global Dollar,-0.1329479768786126,680.55,0.17859209766178938,0.13491681537822342
WAR,WAM Strategic Value Limited,Equity - Australia Strategy,-0.1406187544967623,198.14,0.22617102757015559,0.129945420951819
CIN,Carlton Investments Limited,Equity - Australia,-0.24159755565255348,895.62,0.21046036481641095,0.1276520963012486
KAT,Katana Capital Limited,Equity - Australia Strategy,-0.10404624277456642,43.58,0.197756763607482,0.126339795793148
DJW,Djerriwarrh Investments Limited,Equity - Australia,-0.12422360248447217,771.57,0.18400377060118656,0.12476557731089968
CDM,Cadence Capital Limited,Equity - Australia,-0.10926365795724458,237.65,0.23968237224091327,0.12406726606213163
TCF,360 Capital Mortgage REIT,Fixed Income - Australian Dollar,-0.03719912472647702,51.65,0.1645803060111715,0.12366188924912513
AFI,Australian Foundation Investment Company Limited,Equity - Australia,-0.11097099621689788,8421.43,0.2092938083925333,0.12212869099030445
WGB,WAM Global Limited,Equity - Global,-0.055928411633109576,783.93,0.17625830039761847,0.10974122201013381
CD1,Cd Private Equity Fund I,Equity - Global Strategy,-0.47540983606557374,12.43,0.09412722404852777,0.10947882236882907
PIC,Perpetual Equity Investment Company Limited,Equity - Australia,-0.02236951118475572,458.46,0.14969929916038482,0.10939879666251093
PCI,Perpetual Credit Income Trust,Fixed Income - Global Dollar,-0.008189262966332933,804.57,0.1539048828249328,0.10633220203149076
