code,asat_month,status
AFI,2026-02,http_200
AMH,2025-01,http_200
GVF,2018-04,http_200
AFI,2022-02,http_200
DJW,2025-12,http_200
MLT,2021-06,http_200
MIR,2026-04,http_200
AFI,2025-08,http_200
AFI,2025-08,http_200
AFI,2024-11,http_200
MIR,2025-04,http_200
SNC,2022-09,http_200
LSX,2020-03,http_200
ARG,2017-01,http_200
LSX,2021-12,http_200
ARG,2018-10,http_200
AMH,2025-10,http_200
BEL,2019-11,http_200
GVF,2023-05,http_200
SNC,2022-03,http_200
SNC,2020-03,http_200
SNC,2019-12,http_200
DJW,2026-05,http_200
AFI,2024-01,http_200
DJW,2022-03,http_200
AMH,2021-04,http_200
DJW,2026-03,http_200
MIR,2025-02,http_200
OEQ,2026-01,http_200
SNC,2022-11,http_200
GVF,2020-04,http_200
MVT,2018-04,http_200
DJW,2026-03,http_200
MLT,2021-02,http_200
AFI,2025-10,http_200
SNC,2024-02,http_200
GVF,2020-12,http_200
AFI,2025-07,http_200
AMH,2025-04,http_200
DJW,2018-07,http_200
AFI,2021-01,http_200
LSX,2019-10,http_200
DJW,2025-12,http_200
AFI,2020-05,http_200
AFI,2024-10,http_200
OEQ,2023-06,http_200
MIR,2022-11,http_200
MIR,2025-09,http_200
AFI,2025-03,http_200
AMH,2026-06,http_200
MIR,2020-01,http_200
DJW,2024-09,http_200
AFI,2025-02,http_200
AMH,2026-05,http_200
AFI,2020-11,http_200
DJW,2026-04,http_200
LSX,2022-01,http_200
MVT,2018-06,http_200
AMH,2025-06,http_200
MIR,2024-12,http_200
MLT,2019-05,http_200
OEQ,2018-02,http_200
AMH,2018-04,http_200
BEL,2019-10,http_200
OEQ,2023-03,http_200
LSX,2016-12,http_200
SNC,2023-11,http_200
DJW,2020-12,http_200
GVF,2024-09,http_200
MIR,2025-11,http_200
DJW,2023-04,http_200
LSX,2020-08,http_200
MIR,2026-02,http_200
MVT,2017-10,http_200
ARG,2018-09,http_200
MIR,2020-09,http_200
LSX,2019-02,http_200
MVT,2018-07,http_200
DJW,2025-06,http_200
AFI,2026-03,http_200
AFI,2024-06,http_200
MIR,2023-04,http_200
DJW,2022-01,http_200
GVF,2019-03,http_200
GVF,2025-06,http_200
GVF,2026-06,http_200
OEQ,2025-07,http_200
AMH,2019-05,http_200
OEQ,2020-10,http_200
MLT,2019-09,http_200
MIR,2018-06,http_200
AFI,2022-10,http_200
MIR,2025-05,http_200
SNC,2020-04,http_200
AFI,2021-02,http_200
LSX,2026-05,http_200
BEL,2020-04,http_200
GVF,2024-05,http_200
OEQ,2021-07,http_200
LSF,2018-05,http_200
GVF,2017-08,http_200
AMH,2022-08,http_200
AFI,2025-01,http_200
DJW,2025-11,http_200
BEL,2021-08,http_200
AFI,2026-03,http_200
MIR,2017-07,http_200
GVF,2019-02,http_200
DJW,2018-05,http_200
GVF,2017-10,http_200
DJW,2021-02,http_200
AFI,2023-12,http_200
BEL,2018-10,http_200
AFI,2019-09,http_200
LSX,2019-05,http_200
AFI,2017-02,http_200
OEQ,2024-01,http_200
MIR,2025-02,http_200
AMH,2026-02,http_200
BEL,2024-07,http_200
OEQ,2018-08,http_200
AMH,2024-12,http_200
LSX,2022-05,http_200
DJW,2025-06,http_200
BEL,2020-03,http_200
AMH,2024-09,http_200
AMH,2025-07,http_200
AMH,2022-07,http_200
ARG,2018-06,http_200
OEQ,2022-08,http_200
MIR,2021-06,http_200
MIR,2026-05,http_200
SNC,2023-04,http_200
DJW,2022-02,http_200
AFI,2018-06,http_200
AMH,2026-01,http_200
MLT,2019-01,http_200
BEL,2022-05,http_200
OEQ,2021-05,http_200
MIR,2025-12,http_200
AFI,2025-12,http_200
AFI,2026-02,http_200
AMH,2024-08,http_200
DJW,2026-03,http_200
AMH,2026-05,http_200
MLT,2018-04,http_200
BEL,2021-03,http_200
MLT,2017-06,http_200
DJW,2025-08,http_200
DJW,2025-04,http_200
AMH,2025-12,http_200
DJW,2024-02,http_200
SNC,2025-10,http_200
AFI,2017-12,http_200
DJW,2024-09,http_200
MIR,2023-01,http_200
LSX,2022-08,http_200
AMH,2025-07,http_200
DJW,2025-04,http_200
AMH,2025-05,http_200
MVT,2019-02,http_200
MIR,2026-05,http_200
DJW,2025-09,http_200
GVF,2025-03,http_200
GVF,2019-04,http_200
MIR,2025-11,http_200
MIR,2026-02,http_200
DJW,2020-10,http_200
SNC,2018-06,http_200
DJW,2025-01,http_200
MIR,2025-12,http_200
AFI,2018-10,http_200
AFI,2024-08,http_200
OEQ,2021-02,http_200
BEL,2017-03,http_200
AMH,2022-10,http_200
DJW,2025-09,http_200
AFI,2019-02,http_200
AMH,2019-08,http_200
AFI,2024-10,http_200
SNC,2023-08,http_200
MIR,2017-08,http_200
GVF,2017-02,http_200
MLT,2019-07,http_200
MIR,2023-05,http_200
ARG,2019-01,http_200
LSX,2025-04,http_200
MVT,2018-08,http_200
AMH,2025-11,http_200
