obs_month,security_id
2016-12,93
2017-02,90
2017-03,90
2017-04,92
2017-05,94
2017-06,94
2017-08,95
2017-09,93
2017-10,90
2017-11,91
2019-12,108
2020-01,108
2020-02,108
2020-03,107
2020-04,109
2020-05,109
2020-06,110
2020-07,108
2020-08,107
2020-09,108
2020-10,107
2020-11,107
2020-12,101
2021-01,100
2021-02,98
2021-03,97
2021-04,99
2021-05,98
2021-07,98
2021-08,98
2021-09,98
2021-10,97
2021-11,96
2021-12,96
2022-01,97
2022-02,97
2022-03,94
2022-04,94
2022-05,94
2022-06,93
2022-07,93
2022-08,93
2022-09,92
2022-10,92
2022-11,92
2022-12,91
2023-01,90
2023-02,91
2023-03,91
2023-04,91
2023-05,90
2023-06,90
2023-07,90
2023-08,90
2023-09,88
2023-10,87
2023-11,87
2023-12,88
2024-01,83
2024-02,86
2024-03,86
2024-04,84
2024-05,87
2024-06,84
2024-07,85
2024-08,83
2024-09,80
2024-10,81
2024-11,85
2025-02,84
2025-03,84
2025-04,81
2025-05,84
2025-06,85
2025-07,84
2025-08,84
2025-09,87
2025-10,87
2025-11,87
2025-12,91
2026-01,86
2026-02,86
2026-03,87
2026-04,88
2026-05,88
2026-06,88
