strategy,one_way_bps,stamp_duty_bps,cagr_net,sharpe_net
A_absolute_discount_decile,0,0.0,0.13478296857932803,0.8627427694359782
A_absolute_discount_decile,0,50.0,0.11853714642062863,0.7733091412946135
A_absolute_discount_decile,25,0.0,0.11699163833353166,0.7647419616427135
A_absolute_discount_decile,25,50.0,0.10097566664867852,0.6752267003435695
A_absolute_discount_decile,50,0.0,0.09945216913843624,0.6666558961526705
A_absolute_discount_decile,50,50.0,0.0836631285894649,0.5770976123250665
A_absolute_discount_decile,100,0.0,0.06511604752962374,0.4703936510418698
A_absolute_discount_decile,100,50.0,0.049772242760300456,0.380865056295605
B_absolute_discount_quintile,0,0.0,0.12770283655644388,0.8489871033031827
B_absolute_discount_quintile,0,50.0,0.11222772668149616,0.7602737445890143
B_absolute_discount_quintile,25,0.0,0.11101019014941294,0.7532623998306041
B_absolute_discount_quintile,25,50.0,0.09574247586115359,0.6644301639671388
B_absolute_discount_quintile,50,0.0,0.09454141608083555,0.6574112416594807
B_absolute_discount_quintile,50,50.0,0.07947859088466225,0.5684892225468264
B_absolute_discount_quintile,100,0.0,0.062264684729913755,0.4654509762455179
B_absolute_discount_quintile,100,50.0,0.04760422617992788,0.3764370671283906
C_discount_zscore,0,0.0,0.253660707635339,1.63350896383042
C_discount_zscore,0,50.0,0.2167517177045497,1.4293506126071687
C_discount_zscore,25,0.0,0.2138537044899944,1.4130719091558275
C_discount_zscore,25,50.0,0.17801719616715195,1.2073109248920015
C_discount_zscore,50,0.0,0.1752034496616941,1.1908968290705033
C_discount_zscore,50,50.0,0.1404111374306547,0.9836434163892559
C_discount_zscore,100,0.0,0.10125186986667889,0.7418183930781782
C_discount_zscore,100,50.0,0.06846576056283071,0.5319302872009396
D_sector_neutral_zscore,0,0.0,0.22634357216987455,1.5403750439005515
D_sector_neutral_zscore,0,50.0,0.19055947509792692,1.3282550144890901
D_sector_neutral_zscore,25,0.0,0.18834369684362007,1.315077786269981
D_sector_neutral_zscore,25,50.0,0.15357313739715805,1.1015031264402169
D_sector_neutral_zscore,50,0.0,0.15142015891426341,1.0882004610595128
D_sector_neutral_zscore,50,50.0,0.11763711756493467,0.8733259082134925
D_sector_neutral_zscore,100,0.0,0.0806922002713355,0.6303716943451612
D_sector_neutral_zscore,100,50.0,0.04880852126620505,0.41338290754842116
E_discount_overshoot,0,0.0,0.2913668302205912,1.7881991108736115
E_discount_overshoot,0,50.0,0.2488440169586308,1.5653515394379325
E_discount_overshoot,25,0.0,0.24565662190550785,1.54833733784274
E_discount_overshoot,25,50.0,0.2045128693309548,1.3240031109783212
E_discount_overshoot,50,0.0,0.2014288908579167,1.306870232858911
E_discount_overshoot,50,50.0,0.1616235592382338,1.0811656259814457
E_discount_overshoot,100,0.0,0.11724726424783238,0.8196338482260607
E_discount_overshoot,100,50.0,0.08000113932314656,0.5915540138926655
