observation_month,publication_type,source,file_format,download_success,parser_success,fields_available,notes
2007-01,keyfacts,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/AIC%20Companies%20end%20Jan%2007.xls,xls,ok,,,Keyfacts 31 January 2007
2007-01,keyfacts,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/KF31Jan07.pdf,pdf,,,,Keyfacts 31 January 2007
2007-01,keyfacts,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/ManagerRankings31Jan2007.pdf,pdf,,,,Keyfacts 31 January 2007
2007-01,mir,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/CNV0701.CSV,csv,,,,MIR 31 January 2007
2007-01,mir,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/ErrataAdditional%200701.csv,csv,ok,,,MIR 31 January 2007
2007-01,mir,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/GEO0701.CSV,csv,,,,MIR 31 January 2007
2007-01,mir,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/MIR0701.CSV,csv,ok,,,MIR 31 January 2007
2007-01,mir,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/PC0701.CSV,csv,,,,MIR 31 January 2007
2007-01,mir,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/PostMIRErrataAdditional0701.csv,csv,ok,,,MIR 31 January 2007
2007-01,mir,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/WAR0701.CSV,csv,,,,MIR 31 January 2007
2007-01,monthly_statistics,https://www.theaic.co.uk/sites/default/files/2024-11/AICStats31Jan2007.pdf,pdf,,,,AIC Stats - January 2007
2007-02,keyfacts,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/AllCompanies28Feb07.xls,xls,ok,,,Keyfacts 28 February 2007
2007-02,keyfacts,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/KF28Feb07.pdf,pdf,,,,Keyfacts 28 February 2007
2007-02,keyfacts,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/ManagerRankings28Feb2007.pdf,pdf,,,,Keyfacts 28 February 2007
2007-02,mir,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/CNV0702.CSV,csv,,,,MIR 28 February 2007
2007-02,mir,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/ErrataAdditional%200702.csv,csv,ok,,,MIR 28 February 2007
2007-02,mir,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/GEO0702.CSV,csv,,,,MIR 28 February 2007
2007-02,mir,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/MIR0702.CSV,csv,ok,,,MIR 28 February 2007
2007-02,mir,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/PC0702.CSV,csv,,,,MIR 28 February 2007
2007-02,mir,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/PostMIRErrataAdditional0702.csv,csv,ok,,,MIR 28 February 2007
2007-02,mir,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/WAR0702.CSV,csv,,,,MIR 28 February 2007
2007-02,monthly_statistics,https://www.theaic.co.uk/sites/default/files/2024-11/AICStats28Feb2007.pdf,pdf,,,,AIC Stats - February 2007
2007-03,keyfacts,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/AllCompanies31Mar07.xls,xls,ok,,,Keyfacts 31 March 2007
2007-03,keyfacts,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/KF31Mar07.pdf,pdf,,,,Keyfacts 31 March 2007
2007-03,keyfacts,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/ManagerRankings31Mar2007.pdf,pdf,,,,Keyfacts 31 March 2007
2007-03,mir,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/CNV0703.CSV,csv,,,,MIR 31 March 2007
2007-03,mir,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/ErrataAdditional0703.csv,csv,ok,,,MIR 31 March 2007
2007-03,mir,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/GEO0703.CSV,csv,,,,MIR 31 March 2007
2007-03,mir,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/MIR0703.CSV,csv,ok,,,MIR 31 March 2007
2007-03,mir,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/PC0703.CSV,csv,,,,MIR 31 March 2007
2007-03,mir,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/PostMIRErrataAdditional0703.csv,csv,ok,,,MIR 31 March 2007
2007-03,mir,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/WAR0703.CSV,csv,,,,MIR 31 March 2007
2007-03,monthly_statistics,https://www.theaic.co.uk/sites/default/files/2024-11/AICStats31Mar2007.pdf,pdf,,,,AIC Stats - March 2007
2007-04,keyfacts,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/AllCompanies30Apr07.xls,xls,ok,,,Keyfacts 30 April 2007
2007-04,keyfacts,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/KF30Apr07.pdf,pdf,,,,Keyfacts 30 April 2007
2007-04,keyfacts,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/ManagerRankings30Apr2007.pdf,pdf,,,,Keyfacts 30 April 2007
2007-04,mir,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/CNV0704.CSV,csv,,,,MIR 30 April 2007
2007-04,mir,https://www.theaic.co.uk/sites/default/files/import/statistics_entry/ErrataAdditional0704.csv,csv,ok,,,MIR 30 April 2007
