signal_month,holding_month,bucket,n_members,n_with_return,fwd_return,signal
2007-01,2007-02,1,18,18,0.012293850493359397,absolute_discount
2007-01,2007-02,2,18,18,0.0031208421342886297,absolute_discount
2007-01,2007-02,3,17,16,-0.004676578776293065,absolute_discount
2007-01,2007-02,4,18,18,0.004377100931900185,absolute_discount
2007-01,2007-02,5,17,17,0.002114506283850296,absolute_discount
2007-01,2007-02,6,18,18,-0.01282857108946148,absolute_discount
2007-01,2007-02,7,17,17,-0.009263625828238626,absolute_discount
2007-01,2007-02,8,18,17,0.012905111901485558,absolute_discount
2007-01,2007-02,9,17,17,-0.007771539217500943,absolute_discount
2007-01,2007-02,10,18,18,-0.013016491438351072,absolute_discount
2007-02,2007-03,1,18,17,0.033235071092855735,absolute_discount
2007-02,2007-03,2,18,18,0.027825725192553726,absolute_discount
2007-02,2007-03,3,17,16,0.025318045590804625,absolute_discount
2007-02,2007-03,4,18,16,0.01577178987335534,absolute_discount
2007-02,2007-03,5,18,18,0.012873676856509333,absolute_discount
2007-02,2007-03,6,17,17,0.01973404912060142,absolute_discount
2007-02,2007-03,7,18,17,0.007602704147964614,absolute_discount
2007-02,2007-03,8,17,16,0.007752208228854217,absolute_discount
2007-02,2007-03,9,18,17,0.011158133725846939,absolute_discount
2007-02,2007-03,10,18,18,0.001775433320516569,absolute_discount
2007-03,2007-04,1,19,17,0.029857563365863198,absolute_discount
2007-03,2007-04,2,18,15,0.028155708647011092,absolute_discount
2007-03,2007-04,3,18,17,0.03165060618041651,absolute_discount
2007-03,2007-04,4,18,18,0.034924741037005345,absolute_discount
2007-03,2007-04,5,19,18,0.016921398391612417,absolute_discount
2007-03,2007-04,6,18,18,0.015502538708015039,absolute_discount
2007-03,2007-04,7,18,18,0.023417790644985115,absolute_discount
2007-03,2007-04,8,18,18,0.01862330498308651,absolute_discount
2007-03,2007-04,9,18,18,0.013098673952025729,absolute_discount
2007-03,2007-04,10,19,17,0.01861011850913347,absolute_discount
2007-04,2007-05,1,19,19,0.009807370611877239,absolute_discount
2007-04,2007-05,2,18,18,0.027062951692538972,absolute_discount
2007-04,2007-05,3,18,17,0.025409295260311358,absolute_discount
2007-04,2007-05,4,18,18,0.02541904097300262,absolute_discount
2007-04,2007-05,5,18,18,0.02125649905657297,absolute_discount
2007-04,2007-05,6,18,18,0.01701762597511412,absolute_discount
2007-04,2007-05,7,18,17,0.006961980604615229,absolute_discount
2007-04,2007-05,8,18,18,0.005604049482816897,absolute_discount
2007-04,2007-05,9,18,17,0.013032302260548785,absolute_discount
2007-04,2007-05,10,19,18,0.0068390606365323105,absolute_discount
2007-05,2007-06,1,18,18,-0.001482633422226086,absolute_discount
2007-05,2007-06,2,18,18,0.0019844278163981145,absolute_discount
2007-05,2007-06,3,18,18,-0.00663600953766686,absolute_discount
2007-05,2007-06,4,18,18,-0.011235275764811968,absolute_discount
2007-05,2007-06,5,18,18,-0.0140212698303285,absolute_discount
2007-05,2007-06,6,17,17,-0.01794467179522005,absolute_discount
2007-05,2007-06,7,18,18,-0.012890833838963679,absolute_discount
2007-05,2007-06,8,18,18,-0.034650984810537036,absolute_discount
2007-05,2007-06,9,18,18,-0.009335419825848882,absolute_discount
2007-05,2007-06,10,18,18,-0.023512363146918586,absolute_discount
2007-06,2007-07,1,19,17,-0.011851969129006245,absolute_discount
2007-06,2007-07,2,19,19,-0.009033093462557476,absolute_discount
2007-06,2007-07,3,19,18,0.0031131087511514746,absolute_discount
2007-06,2007-07,4,19,19,-0.008855492768481877,absolute_discount
2007-06,2007-07,5,19,18,0.006552099022165673,absolute_discount
2007-06,2007-07,6,18,16,-0.010883345284634686,absolute_discount
2007-06,2007-07,7,19,19,-0.0205587580606843,absolute_discount
2007-06,2007-07,8,19,19,-0.014391541533070066,absolute_discount
2007-06,2007-07,9,19,19,-0.02072587942355944,absolute_discount
2007-06,2007-07,10,19,18,-0.03482439512317282,absolute_discount
2007-07,2007-08,1,19,19,-0.0553672071784789,absolute_discount
2007-07,2007-08,2,18,17,-0.010296218279744696,absolute_discount
2007-07,2007-08,3,19,19,-0.023353768000777604,absolute_discount
2007-07,2007-08,4,18,17,-0.012929126261331502,absolute_discount
2007-07,2007-08,5,19,19,-0.01275971601891787,absolute_discount
2007-07,2007-08,6,18,18,-0.01541559679826654,absolute_discount
2007-07,2007-08,7,18,18,-0.009454283990623246,absolute_discount
2007-07,2007-08,8,19,19,-0.026078231497730038,absolute_discount
2007-07,2007-08,9,18,18,-0.0254773435381438,absolute_discount
2007-07,2007-08,10,19,19,-0.02512463988140143,absolute_discount
2007-08,2007-09,1,19,19,-0.01611421155860549,absolute_discount
2007-08,2007-09,2,18,18,0.03287847548816889,absolute_discount
2007-08,2007-09,3,18,18,0.047067597390276925,absolute_discount
2007-08,2007-09,4,19,19,0.05064674441320902,absolute_discount
2007-08,2007-09,5,18,17,0.02660740125369042,absolute_discount
2007-08,2007-09,6,18,18,0.01566045369074958,absolute_discount
2007-08,2007-09,7,19,19,0.01795636894173183,absolute_discount
2007-08,2007-09,8,18,18,0.026918295257573492,absolute_discount
2007-08,2007-09,9,18,18,0.031058260059863847,absolute_discount
2007-08,2007-09,10,19,18,-0.009215289301768978,absolute_discount
2007-09,2007-10,1,20,16,0.0179893764400511,absolute_discount
2007-09,2007-10,2,19,18,0.03242565015554147,absolute_discount
2007-09,2007-10,3,19,19,0.0351501740058758,absolute_discount
2007-09,2007-10,4,19,19,0.02819625626450697,absolute_discount
2007-09,2007-10,5,20,19,0.039062740010069014,absolute_discount
2007-09,2007-10,6,19,19,0.01803430359790667,absolute_discount
2007-09,2007-10,7,19,18,0.02922162641926288,absolute_discount
2007-09,2007-10,8,19,19,0.016210560252540203,absolute_discount
2007-09,2007-10,9,19,19,0.03001928176915816,absolute_discount
2007-09,2007-10,10,20,20,0.0006414749282021237,absolute_discount
2007-10,2007-11,1,19,19,-0.10935503455276664,absolute_discount
2007-10,2007-11,2,19,19,-0.09271494938172434,absolute_discount
2007-10,2007-11,3,18,18,-0.06611049761811014,absolute_discount
2007-10,2007-11,4,19,19,-0.05909298906652829,absolute_discount
2007-10,2007-11,5,19,19,-0.048754656379729595,absolute_discount
2007-10,2007-11,6,18,18,-0.06535156508056739,absolute_discount
2007-10,2007-11,7,19,19,-0.06666836797465447,absolute_discount
2007-10,2007-11,8,18,18,-0.060718460156915066,absolute_discount
2007-10,2007-11,9,19,18,-0.049483867069434646,absolute_discount
2007-10,2007-11,10,19,18,-0.06701384232082437,absolute_discount
2007-11,2007-12,1,19,19,0.04111680377493931,absolute_discount
2007-11,2007-12,2,18,18,-0.01805482325328789,absolute_discount
