signal_month,holding_month,bucket,n_members,n_with_return,fwd_return,signal
2008-12,2009-01,1,16,16,0.01670491121154749,discount_zscore
2008-12,2009-01,2,16,16,-0.0028189868037292523,discount_zscore
2008-12,2009-01,3,15,15,-0.008467141090878797,discount_zscore
2008-12,2009-01,4,16,16,-0.01770836532813711,discount_zscore
2008-12,2009-01,5,16,15,-0.032392871567799325,discount_zscore
2008-12,2009-01,6,15,15,-0.033550551552386766,discount_zscore
2008-12,2009-01,7,16,16,-0.06153784608697434,discount_zscore
2008-12,2009-01,8,15,15,-0.041671168588278205,discount_zscore
2008-12,2009-01,9,16,16,-0.03615830334092807,discount_zscore
2008-12,2009-01,10,16,16,-0.08301958636564538,discount_zscore
2009-01,2009-02,1,17,17,-0.052501517740250414,discount_zscore
2009-01,2009-02,2,17,17,-0.06197281608983458,discount_zscore
2009-01,2009-02,3,16,16,-0.06336030870837273,discount_zscore
2009-01,2009-02,4,17,17,-0.04699431712873387,discount_zscore
2009-01,2009-02,5,17,17,-0.057026732132549746,discount_zscore
2009-01,2009-02,6,16,16,-0.0733358684445064,discount_zscore
2009-01,2009-02,7,17,17,-0.06128179124074135,discount_zscore
2009-01,2009-02,8,16,16,-0.09320180134668107,discount_zscore
2009-01,2009-02,9,17,17,-0.09024933904236666,discount_zscore
2009-01,2009-02,10,17,17,-0.1032012494706277,discount_zscore
2009-02,2009-03,1,18,18,0.1312671026391996,discount_zscore
2009-02,2009-03,2,17,17,0.04734361427830746,discount_zscore
2009-02,2009-03,3,17,17,0.047352797091239934,discount_zscore
2009-02,2009-03,4,17,17,0.03378611193493855,discount_zscore
2009-02,2009-03,5,17,17,0.024665753423068634,discount_zscore
2009-02,2009-03,6,17,17,0.032736363999664224,discount_zscore
2009-02,2009-03,7,16,16,0.05785724723447345,discount_zscore
2009-02,2009-03,8,18,18,0.019759835183696686,discount_zscore
2009-02,2009-03,9,17,17,0.036137236921219035,discount_zscore
2009-02,2009-03,10,17,17,-0.006716394051546428,discount_zscore
2009-03,2009-04,1,18,18,0.16224844530134547,discount_zscore
2009-03,2009-04,2,17,17,0.1585174816939621,discount_zscore
2009-03,2009-04,3,17,17,0.155962161278897,discount_zscore
2009-03,2009-04,4,18,18,0.17036249496659198,discount_zscore
2009-03,2009-04,5,17,17,0.1223647908595305,discount_zscore
2009-03,2009-04,6,17,17,0.16926642359694957,discount_zscore
2009-03,2009-04,7,18,18,0.13177938717424795,discount_zscore
2009-03,2009-04,8,17,17,0.13092743451667688,discount_zscore
2009-03,2009-04,9,17,17,0.08611910556695217,discount_zscore
2009-03,2009-04,10,18,18,0.08357332409075006,discount_zscore
2009-04,2009-05,1,18,18,0.12712473463414733,discount_zscore
2009-04,2009-05,2,17,17,0.06800210490876737,discount_zscore
2009-04,2009-05,3,17,17,0.0533393009739907,discount_zscore
2009-04,2009-05,4,18,18,0.06300824957041673,discount_zscore
2009-04,2009-05,5,17,17,0.04698366960642016,discount_zscore
2009-04,2009-05,6,17,17,0.08036553272852874,discount_zscore
2009-04,2009-05,7,18,18,0.0736761188257176,discount_zscore
2009-04,2009-05,8,17,17,0.05026595773305772,discount_zscore
2009-04,2009-05,9,17,17,0.039701119320852546,discount_zscore
2009-04,2009-05,10,18,18,0.012720696437238955,discount_zscore
2009-05,2009-06,1,18,18,0.029216825148138875,discount_zscore
2009-05,2009-06,2,17,17,-0.0010644606448375223,discount_zscore
2009-05,2009-06,3,18,18,0.007211151530542494,discount_zscore
2009-05,2009-06,4,17,17,-0.007679083137838566,discount_zscore
2009-05,2009-06,5,18,18,-0.01047946677542645,discount_zscore
2009-05,2009-06,6,17,17,-0.03132315759648456,discount_zscore
2009-05,2009-06,7,17,17,-0.02167789024042046,discount_zscore
2009-05,2009-06,8,18,18,-0.02833630287414526,discount_zscore
2009-05,2009-06,9,17,17,-0.029483497796121888,discount_zscore
2009-05,2009-06,10,18,18,-0.04751901885965084,discount_zscore
2009-06,2009-07,1,18,18,0.05294241984858828,discount_zscore
2009-06,2009-07,2,18,18,0.04669732732928647,discount_zscore
2009-06,2009-07,3,17,17,0.04125604570367651,discount_zscore
2009-06,2009-07,4,18,18,0.05867168846771778,discount_zscore
2009-06,2009-07,5,18,18,0.06593047486217396,discount_zscore
2009-06,2009-07,6,17,17,0.05871414956089381,discount_zscore
2009-06,2009-07,7,18,18,0.050304633791116625,discount_zscore
2009-06,2009-07,8,17,17,0.0529779554238377,discount_zscore
2009-06,2009-07,9,18,18,0.06597481468264929,discount_zscore
2009-06,2009-07,10,18,18,0.04037331738998953,discount_zscore
2009-07,2009-08,1,18,18,0.09385804711547738,discount_zscore
2009-07,2009-08,2,18,18,0.1118412161066385,discount_zscore
2009-07,2009-08,3,18,18,0.0736356858842646,discount_zscore
2009-07,2009-08,4,17,17,0.07681650868554767,discount_zscore
2009-07,2009-08,5,18,18,0.07865530589056743,discount_zscore
2009-07,2009-08,6,18,18,0.06425756029766276,discount_zscore
2009-07,2009-08,7,17,17,0.05787433422936674,discount_zscore
2009-07,2009-08,8,18,17,0.04931920461008104,discount_zscore
2009-07,2009-08,9,18,18,0.06057446719454102,discount_zscore
2009-07,2009-08,10,18,18,0.02965864675973634,discount_zscore
2009-08,2009-09,1,18,18,0.09259070451657606,discount_zscore
2009-08,2009-09,2,18,18,0.1169797095883092,discount_zscore
2009-08,2009-09,3,18,17,0.08484063737480405,discount_zscore
2009-08,2009-09,4,17,17,0.06479596702425748,discount_zscore
2009-08,2009-09,5,18,17,0.04314634781271633,discount_zscore
2009-08,2009-09,6,18,17,0.06964192498257618,discount_zscore
2009-08,2009-09,7,17,17,0.042787916765401564,discount_zscore
2009-08,2009-09,8,18,18,0.04253538173985265,discount_zscore
2009-08,2009-09,9,18,18,0.05030237196266788,discount_zscore
2009-08,2009-09,10,18,18,0.05531240537306718,discount_zscore
2009-09,2009-10,1,18,18,0.005296744249609902,discount_zscore
2009-09,2009-10,2,18,18,-0.008936596372272905,discount_zscore
2009-09,2009-10,3,17,17,-0.01890335683525764,discount_zscore
2009-09,2009-10,4,18,18,-0.013760231182077217,discount_zscore
2009-09,2009-10,5,17,17,-0.028668666256135733,discount_zscore
2009-09,2009-10,6,18,18,-0.028354768612198687,discount_zscore
2009-09,2009-10,7,17,17,-0.05562022967657853,discount_zscore
2009-09,2009-10,8,18,18,-0.024340578757086475,discount_zscore
2009-09,2009-10,9,17,17,-0.020175266973049694,discount_zscore
2009-09,2009-10,10,18,17,-0.025984632017669006,discount_zscore
2009-10,2009-11,1,18,18,0.008468507635167773,discount_zscore
2009-10,2009-11,2,17,17,0.009490985462169376,discount_zscore
2009-10,2009-11,3,18,18,0.01485824659832288,discount_zscore
2009-10,2009-11,4,17,17,-0.004302092134579001,discount_zscore
2009-10,2009-11,5,18,18,0.016002206204367635,discount_zscore
2009-10,2009-11,6,17,17,0.0063214141893084275,discount_zscore
2009-10,2009-11,7,17,17,0.005628834045676601,discount_zscore
2009-10,2009-11,8,18,18,0.018434174540811102,discount_zscore
2009-10,2009-11,9,17,17,0.001877420688712217,discount_zscore
2009-10,2009-11,10,18,18,0.005209450781871646,discount_zscore
2009-11,2009-12,1,18,18,0.07665672980540733,discount_zscore
2009-11,2009-12,2,18,17,0.07173840577541173,discount_zscore
2009-11,2009-12,3,17,17,0.0347802665765878,discount_zscore
2009-11,2009-12,4,18,18,0.03383922468046195,discount_zscore
2009-11,2009-12,5,17,17,0.0268435049493623,discount_zscore
2009-11,2009-12,6,18,18,0.032723260741007225,discount_zscore
2009-11,2009-12,7,17,17,0.023312839083294127,discount_zscore
2009-11,2009-12,8,18,18,0.02424947082040781,discount_zscore
2009-11,2009-12,9,17,17,0.03679076966220389,discount_zscore
2009-11,2009-12,10,18,18,0.01893132102644545,discount_zscore
2009-12,2010-01,1,18,18,0.006744071996192418,discount_zscore
2009-12,2010-01,2,17,17,0.0046555043782504435,discount_zscore
2009-12,2010-01,3,18,18,0.0008603638470967444,discount_zscore
2009-12,2010-01,4,17,17,-0.002290738016487375,discount_zscore
2009-12,2010-01,5,18,18,-0.024617560858958998,discount_zscore
2009-12,2010-01,6,17,17,-0.013037910820349127,discount_zscore
2009-12,2010-01,7,17,17,-0.018261877836505472,discount_zscore
2009-12,2010-01,8,18,18,-0.02653820551948535,discount_zscore
2009-12,2010-01,9,17,17,-0.03850444091077951,discount_zscore
2009-12,2010-01,10,18,18,-0.052168502174192506,discount_zscore
2010-01,2010-02,1,18,18,0.019462481072071786,discount_zscore
2010-01,2010-02,2,18,18,0.029889437099942424,discount_zscore
2010-01,2010-02,3,17,16,0.01974375477892737,discount_zscore
2010-01,2010-02,4,18,18,0.013514541447859919,discount_zscore
2010-01,2010-02,5,17,17,0.017048922254672576,discount_zscore
2010-01,2010-02,6,18,18,0.018851090419744074,discount_zscore
2010-01,2010-02,7,17,17,0.017603684573789195,discount_zscore
2010-01,2010-02,8,18,18,0.03241497179049414,discount_zscore
2010-01,2010-02,9,17,17,0.028411876707719143,discount_zscore
2010-01,2010-02,10,18,18,0.01614816005027664,discount_zscore
2010-02,2010-03,1,18,18,0.09129670684462021,discount_zscore
2010-02,2010-03,2,18,18,0.08313318637744455,discount_zscore
2010-02,2010-03,3,17,17,0.06978796141284772,discount_zscore
2010-02,2010-03,4,18,17,0.06260501260589918,discount_zscore
2010-02,2010-03,5,18,18,0.07400489578888252,discount_zscore
2010-02,2010-03,6,17,17,0.06199452036737502,discount_zscore
2010-02,2010-03,7,18,18,0.08513605601863077,discount_zscore
2010-02,2010-03,8,17,17,0.06145464058427918,discount_zscore
2010-02,2010-03,9,18,17,0.06276395088349897,discount_zscore
2010-02,2010-03,10,18,18,0.049180778897060705,discount_zscore
2010-03,2010-04,1,18,18,0.012187052728115544,discount_zscore
2010-03,2010-04,2,18,18,0.02188225540314494,discount_zscore
2010-03,2010-04,3,17,17,0.0025938710965452056,discount_zscore
2010-03,2010-04,4,18,18,-0.0003291676568699664,discount_zscore
2010-03,2010-04,5,18,18,0.005549052928870701,discount_zscore
2010-03,2010-04,6,17,16,-0.004256313993079734,discount_zscore
2010-03,2010-04,7,18,18,0.006172557955483049,discount_zscore
2010-03,2010-04,8,17,17,-6.033294436881472e-05,discount_zscore
2010-03,2010-04,9,18,17,-0.0016647644366690033,discount_zscore
2010-03,2010-04,10,18,18,-0.012243602282518085,discount_zscore
2010-04,2010-05,1,18,18,-0.05309489174496095,discount_zscore
2010-04,2010-05,2,18,18,-0.047507113293740515,discount_zscore
2010-04,2010-05,3,17,17,-0.06510418468827335,discount_zscore
2010-04,2010-05,4,18,18,-0.06062583014505231,discount_zscore
2010-04,2010-05,5,18,18,-0.06513236368877647,discount_zscore
2010-04,2010-05,6,17,17,-0.05521082002078126,discount_zscore
2010-04,2010-05,7,18,18,-0.04560572999700782,discount_zscore
2010-04,2010-05,8,17,17,-0.04883687361352022,discount_zscore
2010-04,2010-05,9,18,18,-0.05072592005257061,discount_zscore
2010-04,2010-05,10,18,18,-0.07055162091396844,discount_zscore
2010-05,2010-06,1,18,18,-0.007862853273264865,discount_zscore
2010-05,2010-06,2,18,18,-0.004838412670168842,discount_zscore
2010-05,2010-06,3,17,17,-0.015844017537273145,discount_zscore
2010-05,2010-06,4,18,18,-0.0013695227979027063,discount_zscore
2010-05,2010-06,5,18,18,-0.01529204211467509,discount_zscore
2010-05,2010-06,6,17,17,-0.022480636377701355,discount_zscore
2010-05,2010-06,7,18,17,-0.027853334687602455,discount_zscore
2010-05,2010-06,8,17,17,-0.019010819124501963,discount_zscore
2010-05,2010-06,9,18,18,-0.016422186373484082,discount_zscore
2010-05,2010-06,10,18,18,-0.03383238862969158,discount_zscore
2010-06,2010-07,1,18,18,0.042292432187077976,discount_zscore
2010-06,2010-07,2,18,18,0.03092791865713728,discount_zscore
2010-06,2010-07,3,17,17,0.03643006528471654,discount_zscore
2010-06,2010-07,4,18,18,0.04589272232638156,discount_zscore
2010-06,2010-07,5,17,17,0.02385818226219254,discount_zscore
2010-06,2010-07,6,18,18,0.039201479485575744,discount_zscore
2010-06,2010-07,7,17,17,0.023743495479154175,discount_zscore
2010-06,2010-07,8,18,18,0.04590889506210177,discount_zscore
2010-06,2010-07,9,17,17,0.04629608914268748,discount_zscore
2010-06,2010-07,10,18,18,0.029353742329479165,discount_zscore
2010-07,2010-08,1,18,18,-0.0057467224218899805,discount_zscore
2010-07,2010-08,2,18,18,-0.006615663225329039,discount_zscore
2010-07,2010-08,3,17,17,-0.007651393964203407,discount_zscore
2010-07,2010-08,4,18,18,-0.008474669532088327,discount_zscore
2010-07,2010-08,5,17,17,-0.021663825345063642,discount_zscore
2010-07,2010-08,6,18,18,-0.015635400387487494,discount_zscore
2010-07,2010-08,7,17,17,-0.02177439031436068,discount_zscore
2010-07,2010-08,8,18,18,-0.0019194990019213184,discount_zscore
2010-07,2010-08,9,17,17,0.001962203339516133,discount_zscore
2010-07,2010-08,10,18,18,-0.031049973979617247,discount_zscore
2010-08,2010-09,1,18,18,0.08897236476422495,discount_zscore
2010-08,2010-09,2,18,18,0.06857401534704695,discount_zscore
2010-08,2010-09,3,17,17,0.06336068681431481,discount_zscore
2010-08,2010-09,4,18,18,0.06823359810393619,discount_zscore
2010-08,2010-09,5,17,17,0.06045983180919136,discount_zscore
2010-08,2010-09,6,18,18,0.08631498627987944,discount_zscore
2010-08,2010-09,7,17,17,0.0941434548576909,discount_zscore
2010-08,2010-09,8,18,18,0.06849905409374041,discount_zscore
2010-08,2010-09,9,17,16,0.06907526875304454,discount_zscore
2010-08,2010-09,10,18,17,0.06360360409031708,discount_zscore
2010-09,2010-10,1,18,18,0.07085196956146159,discount_zscore
2010-09,2010-10,2,17,17,0.07709855835422882,discount_zscore
2010-09,2010-10,3,17,17,0.032710185373011784,discount_zscore
2010-09,2010-10,4,18,18,0.03444885466342447,discount_zscore
2010-09,2010-10,5,17,17,0.030232601901168134,discount_zscore
2010-09,2010-10,6,17,17,0.012396732861160935,discount_zscore
2010-09,2010-10,7,18,18,0.04666889206251495,discount_zscore
2010-09,2010-10,8,17,17,0.021316683304535178,discount_zscore
2010-09,2010-10,9,17,17,0.023710083378560058,discount_zscore
2010-09,2010-10,10,18,18,0.02880438132640681,discount_zscore
2010-10,2010-11,1,18,18,0.005107957622439553,discount_zscore
2010-10,2010-11,2,17,17,-0.011057901639661883,discount_zscore
2010-10,2010-11,3,17,17,-0.004282243344246643,discount_zscore
2010-10,2010-11,4,18,18,-0.0072319016901967,discount_zscore
2010-10,2010-11,5,17,17,-0.01573754260343613,discount_zscore
2010-10,2010-11,6,17,17,-0.014463011348270001,discount_zscore
2010-10,2010-11,7,18,18,-0.018321834114342666,discount_zscore
2010-10,2010-11,8,17,17,-0.013002785309042256,discount_zscore
2010-10,2010-11,9,17,17,-0.02158343398921448,discount_zscore
2010-10,2010-11,10,18,17,-0.0073343642935215225,discount_zscore
2010-11,2010-12,1,18,18,0.08069751139003206,discount_zscore
2010-11,2010-12,2,17,17,0.07240748582059545,discount_zscore
2010-11,2010-12,3,17,17,0.07023255517828102,discount_zscore
2010-11,2010-12,4,18,18,0.07981847270119613,discount_zscore
2010-11,2010-12,5,17,16,0.08274299853569819,discount_zscore
2010-11,2010-12,6,17,17,0.06903516403458022,discount_zscore
2010-11,2010-12,7,18,18,0.06229218037397561,discount_zscore
2010-11,2010-12,8,17,17,0.041644610524677085,discount_zscore
2010-11,2010-12,9,17,17,0.0665073991011468,discount_zscore
2010-11,2010-12,10,18,18,0.05681818372466507,discount_zscore
2010-12,2011-01,1,18,18,0.0275160691234921,discount_zscore
2010-12,2011-01,2,17,17,-0.0011573509812693907,discount_zscore
2010-12,2011-01,3,17,16,0.018745430806074395,discount_zscore
2010-12,2011-01,4,17,17,-0.01970770624677811,discount_zscore
2010-12,2011-01,5,18,17,0.009936742042154563,discount_zscore
2010-12,2011-01,6,17,17,0.00886853084301162,discount_zscore
2010-12,2011-01,7,17,17,-0.012511537066357476,discount_zscore
2010-12,2011-01,8,17,16,-0.004751942654072,discount_zscore
2010-12,2011-01,9,17,17,-0.009684606483079384,discount_zscore
2010-12,2011-01,10,18,18,-0.02170324857627353,discount_zscore
2011-01,2011-02,1,17,17,0.007372630770149347,discount_zscore
2011-01,2011-02,2,17,17,-0.00042269659162378937,discount_zscore
2011-01,2011-02,3,17,17,-0.0022191006417405595,discount_zscore
2011-01,2011-02,4,17,17,-0.012187926946059479,discount_zscore
2011-01,2011-02,5,17,17,-0.001094441877281171,discount_zscore
2011-01,2011-02,6,17,17,-0.012443994507424087,discount_zscore
2011-01,2011-02,7,17,17,-0.0036789422949197116,discount_zscore
2011-01,2011-02,8,17,17,-0.005460955023589309,discount_zscore
2011-01,2011-02,9,17,17,-0.02803086836468903,discount_zscore
2011-01,2011-02,10,17,17,-0.019800680124274193,discount_zscore
2011-02,2011-03,1,18,18,0.020279891355145446,discount_zscore
2011-02,2011-03,2,17,17,0.012929247794529903,discount_zscore
2011-02,2011-03,3,17,17,0.025171128099098775,discount_zscore
2011-02,2011-03,4,17,17,0.014120985737002286,discount_zscore
2011-02,2011-03,5,17,17,0.011797402828594709,discount_zscore
2011-02,2011-03,6,17,17,0.004767472002616017,discount_zscore
2011-02,2011-03,7,16,16,0.005725266778003009,discount_zscore
2011-02,2011-03,8,18,18,0.01001731491069877,discount_zscore
2011-02,2011-03,9,17,17,-0.006622173682563054,discount_zscore
2011-02,2011-03,10,17,15,-0.011736782037870541,discount_zscore
2011-03,2011-04,1,17,17,0.02141417379240532,discount_zscore
2011-03,2011-04,2,17,17,0.019871009765872343,discount_zscore
2011-03,2011-04,3,17,17,0.01847262832411302,discount_zscore
2011-03,2011-04,4,17,17,0.019424752633344873,discount_zscore
2011-03,2011-04,5,17,17,0.024275089555232394,discount_zscore
2011-03,2011-04,6,16,16,0.021583584097656282,discount_zscore
2011-03,2011-04,7,17,17,0.020016891025768008,discount_zscore
2011-03,2011-04,8,17,17,0.021393618265474264,discount_zscore
2011-03,2011-04,9,17,17,0.030176860153675076,discount_zscore
2011-03,2011-04,10,17,16,0.010018530859034591,discount_zscore
2011-04,2011-05,1,17,17,0.007547923053125114,discount_zscore
2011-04,2011-05,2,17,17,0.015938109108849224,discount_zscore
2011-04,2011-05,3,17,17,0.003131613933846272,discount_zscore
2011-04,2011-05,4,16,16,-0.002890757329017217,discount_zscore
2011-04,2011-05,5,17,17,0.0047107280137673605,discount_zscore
2011-04,2011-05,6,17,17,-0.0024182383900528924,discount_zscore
2011-04,2011-05,7,16,16,-0.0013537434908906104,discount_zscore
2011-04,2011-05,8,17,17,-0.007587126684206051,discount_zscore
2011-04,2011-05,9,17,16,-0.017019034328647792,discount_zscore
2011-04,2011-05,10,17,15,-0.012227531827586654,discount_zscore
2011-05,2011-06,1,17,17,-0.0004933888873791014,discount_zscore
2011-05,2011-06,2,16,16,-0.007090935289132891,discount_zscore
2011-05,2011-06,3,17,17,0.012785731532301434,discount_zscore
2011-05,2011-06,4,16,16,-0.0006385227372580002,discount_zscore
2011-05,2011-06,5,17,17,0.00013599142908248067,discount_zscore
2011-05,2011-06,6,16,16,-0.0017057277734943282,discount_zscore
2011-05,2011-06,7,16,16,-0.004561987737040522,discount_zscore
2011-05,2011-06,8,17,17,0.002849852065870485,discount_zscore
2011-05,2011-06,9,16,16,-0.009496831416763343,discount_zscore
2011-05,2011-06,10,17,17,-0.011908113099866665,discount_zscore
2011-06,2011-07,1,17,17,-0.010701919631256943,discount_zscore
2011-06,2011-07,2,17,17,-0.019392612049480226,discount_zscore
2011-06,2011-07,3,16,16,-0.017390361703049667,discount_zscore
2011-06,2011-07,4,17,17,-0.01967925161330916,discount_zscore
2011-06,2011-07,5,17,17,-0.021164566942513133,discount_zscore
2011-06,2011-07,6,16,16,-0.0034410228864515738,discount_zscore
2011-06,2011-07,7,17,17,-0.010811784561384005,discount_zscore
2011-06,2011-07,8,16,16,-0.011452253746958095,discount_zscore
2011-06,2011-07,9,17,17,-0.0176921376519936,discount_zscore
2011-06,2011-07,10,17,17,-0.018042402297021247,discount_zscore
2011-07,2011-08,1,17,17,-0.06915746845730505,discount_zscore
2011-07,2011-08,2,17,17,-0.08685438195234052,discount_zscore
2011-07,2011-08,3,16,16,-0.07121471195986231,discount_zscore
2011-07,2011-08,4,17,17,-0.0637187022728333,discount_zscore
2011-07,2011-08,5,17,17,-0.07831975151826398,discount_zscore
2011-07,2011-08,6,16,15,-0.06421031997101645,discount_zscore
2011-07,2011-08,7,17,17,-0.07456075684929182,discount_zscore
