signal_month,holding_month,bucket,n_members,n_with_return,fwd_return,signal
2008-12,2009-01,1,16,16,0.021999042877743465,overshoot
2008-12,2009-01,2,16,16,-0.013397788501619642,overshoot
2008-12,2009-01,3,15,15,0.013091126025603961,overshoot
2008-12,2009-01,4,16,15,-0.04328113947946202,overshoot
2008-12,2009-01,5,16,16,-0.03102869809255694,overshoot
2008-12,2009-01,6,15,15,-0.03474060223595011,overshoot
2008-12,2009-01,7,16,16,-0.03800465595177732,overshoot
2008-12,2009-01,8,15,15,-0.05732574003749125,overshoot
2008-12,2009-01,9,16,16,-0.06473506348801505,overshoot
2008-12,2009-01,10,16,16,-0.05358230456268209,overshoot
2009-01,2009-02,1,17,17,-0.06227041343405794,overshoot
2009-01,2009-02,2,17,17,-0.03626419416838545,overshoot
2009-01,2009-02,3,16,16,-0.057828227512267065,overshoot
2009-01,2009-02,4,17,17,-0.06097381145660106,overshoot
2009-01,2009-02,5,16,16,-0.0694401265446215,overshoot
2009-01,2009-02,6,17,17,-0.04701513135421593,overshoot
2009-01,2009-02,7,16,16,-0.074001051041716,overshoot
2009-01,2009-02,8,17,17,-0.10056845071200993,overshoot
2009-01,2009-02,9,16,16,-0.10249879802416305,overshoot
2009-01,2009-02,10,17,17,-0.09388191780520821,overshoot
2009-02,2009-03,1,18,18,0.10123501404904549,overshoot
2009-02,2009-03,2,17,17,0.06839002553224714,overshoot
2009-02,2009-03,3,17,17,0.03715893026436196,overshoot
2009-02,2009-03,4,17,17,0.05123956079515404,overshoot
2009-02,2009-03,5,17,17,0.04173777105493789,overshoot
2009-02,2009-03,6,17,17,0.04098239040156011,overshoot
2009-02,2009-03,7,16,16,0.04443032719393043,overshoot
2009-02,2009-03,8,18,18,0.028493915836497623,overshoot
2009-02,2009-03,9,17,17,0.029481207634813968,overshoot
2009-02,2009-03,10,17,17,-0.01849646893788693,overshoot
2009-03,2009-04,1,18,18,0.1916301204982077,overshoot
2009-03,2009-04,2,17,17,0.15862602123679562,overshoot
2009-03,2009-04,3,17,17,0.14323851319013492,overshoot
2009-03,2009-04,4,18,18,0.1592714273449815,overshoot
2009-03,2009-04,5,17,17,0.1464903811998355,overshoot
2009-03,2009-04,6,17,17,0.14600374802095767,overshoot
2009-03,2009-04,7,18,18,0.13650340142152972,overshoot
2009-03,2009-04,8,17,17,0.11216321341123164,overshoot
2009-03,2009-04,9,17,17,0.0890452857840991,overshoot
2009-03,2009-04,10,18,18,0.08661614612313501,overshoot
2009-04,2009-05,1,18,18,0.12071788999099661,overshoot
2009-04,2009-05,2,17,17,0.07237017055845602,overshoot
2009-04,2009-05,3,17,17,0.06592658736582001,overshoot
2009-04,2009-05,4,18,18,0.06071232840359823,overshoot
2009-04,2009-05,5,17,17,0.0705414170589579,overshoot
2009-04,2009-05,6,17,17,0.044157727602739845,overshoot
2009-04,2009-05,7,18,18,0.08042168208234482,overshoot
2009-04,2009-05,8,17,17,0.05215518392957735,overshoot
2009-04,2009-05,9,17,17,0.024448499710875697,overshoot
2009-04,2009-05,10,18,18,0.023232770311038584,overshoot
2009-05,2009-06,1,18,18,0.04511340665766786,overshoot
2009-05,2009-06,2,17,17,0.0014662072721429392,overshoot
2009-05,2009-06,3,18,18,-0.009230527145997869,overshoot
2009-05,2009-06,4,17,17,0.0010574103900792928,overshoot
2009-05,2009-06,5,18,18,-0.020876052915514684,overshoot
2009-05,2009-06,6,17,17,-0.022635531964596712,overshoot
2009-05,2009-06,7,17,17,-0.020159350577283502,overshoot
2009-05,2009-06,8,18,18,-0.03539149254231491,overshoot
2009-05,2009-06,9,17,17,-0.028613071300262746,overshoot
2009-05,2009-06,10,18,18,-0.050624579495953705,overshoot
2009-06,2009-07,1,18,18,0.051689087233759506,overshoot
2009-06,2009-07,2,18,18,0.05606430054387947,overshoot
2009-06,2009-07,3,17,17,0.03496296421471491,overshoot
2009-06,2009-07,4,18,18,0.0667953379036242,overshoot
