market,year,panel_rows,securities,with_discount,rows_used,securities_used,months_covered,pct_rows_used
ASX,2016,100,100,93,93,93,1,93.0
ASX,2017,1264,119,1117,1109,112,12,87.7
ASX,2018,1368,127,1261,1253,122,12,91.6
ASX,2019,1407,127,1338,1318,122,12,93.7
ASX,2020,1371,118,1323,1289,113,12,94.0
ASX,2021,1262,115,1209,1173,109,12,92.9
ASX,2022,1180,105,1126,1122,100,12,95.1
ASX,2023,1125,95,1076,1073,91,12,95.4
ASX,2024,1084,96,1022,1008,92,12,93.0
ASX,2025,1106,97,1047,1019,93,12,92.1
ASX,2026,658,96,620,610,90,7,92.7
UK,2005,5,3,5,0,0,0,0.0
UK,2006,85,52,85,0,0,0,0.0
UK,2007,4658,443,3162,2211,202,12,47.5
UK,2008,5133,472,3050,2262,202,12,44.1
UK,2009,5126,472,2807,2261,200,12,44.1
UK,2010,5112,472,2656,2188,195,12,42.8
UK,2011,5108,461,2579,2167,189,12,42.4
UK,2012,5029,449,2455,2129,189,12,42.3
UK,2013,4932,441,2437,2091,185,12,42.4
UK,2014,5029,449,2530,2120,185,12,42.2
UK,2015,5049,445,2549,2146,189,12,42.5
UK,2016,4944,441,2519,2158,193,12,43.6
UK,2017,4889,441,2498,2190,200,12,44.8
UK,2018,4877,442,2479,2209,199,12,45.3
UK,2019,4904,427,2422,2205,192,12,45.0
UK,2020,4876,423,2417,2212,195,12,45.4
UK,2021,4788,429,2330,2151,186,12,44.9
UK,2022,4685,402,2275,2099,181,12,44.8
UK,2023,4495,388,2157,1981,170,12,44.1
UK,2024,4170,368,1980,1850,165,12,44.4
UK,2025,3716,327,1805,1688,153,12,45.4
UK,2026,2267,292,1121,1051,137,8,46.4
