month,market,security_id,company_name,sector_raw,sector_canon,segment,discount,share_price,nav_per_share,market_cap_local,currency,eligible,exclusion_reason
2021-04,UK,SEDOL:454351,Montanaro European Smaller Companies,European Smaller Companies,European Smaller Companies,Europe Equity,4979.196681500827,8695274.0,1745.97,1512826.3782324,GBP,True,premium above +1.00 ceiling
2021-04,UK,SEDOL:600756,Montanaro UK Smaller Companies,UK Smaller Companies,UK Smaller Companies,UK Equity,125022.44189535538,20000000.0,159.97,33475958.0,GBP,True,premium above +1.00 ceiling
2022-02,UK,SEDOL:B1FL3C7,Invesco Perpetual UK Smaller Companies,UK Smaller Companies,UK Smaller Companies,UK Equity,345.56666881484824,215107.0,620.68,0.0,GBP,True,premium above +1.00 ceiling
2022-03,UK,SEDOL:3216473,JPMorgan Russian Securities,Country Specialist,Country Specialist,Specialist - Other,2.281762775433662,140.0,42.66,56.6106464,GBP,True,premium above +1.00 ceiling
2022-04,UK,SEDOL:3216473,JPMorgan Russian Securities,Country Specialist,Country Specialist,Specialist - Other,1.2848034006376197,107.5,47.05,43.4688892,GBP,True,premium above +1.00 ceiling
2022-04,UK,SEDOL:BFYYL32,M&G Credit Income,Debt - Loans & Bonds,Debt - Loans & Bonds,Debt & Fixed Income,1.0916666666666668,1.004,0.48,1.41386314088,GBP,True,premium above +1.00 ceiling
2022-05,UK,SEDOL:3216473,JPMorgan Russian Securities,Country Specialist,Country Specialist,Specialist - Other,1.0331079505712286,87.2,42.89,35.260345472000004,GBP,True,premium above +1.00 ceiling
2023-01,UK,SEDOL:3216473,"JPMorgan Emerging Europe, Middle East & Africa",Global Emerging Markets,Global Emerging Markets,Emerging & Frontier Equity,1.0655667452324833,96.4,46.67,38.980473664,GBP,True,premium above +1.00 ceiling
2023-02,UK,SEDOL:3216473,"JPMorgan Emerging Europe, Middle East & Africa",Global Emerging Markets,Global Emerging Markets,Emerging & Frontier Equity,1.3877327491785323,109.0,45.65,44.07543184,GBP,True,premium above +1.00 ceiling
2023-03,UK,SEDOL:3216473,"JPMorgan Emerging Europe, Middle East & Africa",Global Emerging Markets,Global Emerging Markets,Emerging & Frontier Equity,1.2756897675429069,104.75,46.03,42.35689436,GBP,True,premium above +1.00 ceiling
2023-04,UK,SEDOL:3216473,"JPMorgan Emerging Europe, Middle East & Africa",Global Emerging Markets,Global Emerging Markets,Emerging & Frontier Equity,1.3734244819483012,111.1,46.81,44.924591535999994,GBP,True,premium above +1.00 ceiling
2023-05,UK,SEDOL:3216473,"JPMorgan Emerging Europe, Middle East & Africa",Global Emerging Markets,Global Emerging Markets,Emerging & Frontier Equity,1.4632189032545697,110.5,44.86,44.681974479999994,GBP,True,premium above +1.00 ceiling
