market,segment,first_month,last_month,months,avg_funds,max_funds,avg_discount,median_of_monthly_means,widest_month_discount,narrowest_month_discount,volatility_of_discount,widest_month,narrowest_month,latest_month,latest_discount,latest_n_funds,market_latest_month,is_current,latest_vs_own_average_pp,avg_discount_pct,median_of_monthly_means_pct,widest_month_discount_pct,narrowest_month_discount_pct,latest_discount_pct,volatility_of_discount_pct
ASX,Global Equity,2016-12,2026-07,116,29.620689655172413,35,-0.14435776446360435,-0.1594311450330394,-0.263682182882712,-0.008643351320768971,0.05678142978767123,2020-04,2017-12,2026-07,-0.1390085348243199,30,2026-07,True,0.5349229639284442,-14.435776446360435,-15.94311450330394,-26.3682182882712,-0.864335132076897,-13.900853482431991,5.678142978767123
ASX,Asia Pacific Equity,2017-08,2025-05,90,4.344444444444444,6,-0.09392622346720042,-0.08264925847583754,-0.41776068965020324,0.24665678012902936,0.13699738161864491,2023-09,2024-10,2025-05,-0.3133156880912716,3,2026-07,False,-21.938946462407117,-9.392622346720042,-8.264925847583754,-41.77606896502032,24.665678012902937,-31.33156880912716,13.699738161864492
ASX,Australia Equity,2016-12,2026-07,116,51.91379310344828,67,-0.08332296964053748,-0.07727225628947065,-0.17717326798873897,-0.028273595339100094,0.03228882354859747,2020-04,2022-09,2026-07,-0.08414184763113562,42,2026-07,True,-0.08188779905981408,-8.332296964053748,-7.727225628947066,-17.7173267988739,-2.8273595339100095,-8.414184763113562,3.2288823548597465
ASX,Japan Equity,2016-12,2017-07,8,4.0,4,-0.05472066059334438,-0.052024672504039804,-0.08691000432959106,-0.0171974783697999,0.025006996103837553,2017-04,2017-03,2017-07,-0.048095247178274375,4,2026-07,False,0.6625413415070003,-5.472066059334438,-5.202467250403981,-8.691000432959106,-1.7197478369799901,-4.809524717827437,2.500699610383755
ASX,Debt & Fixed Income,2016-12,2026-07,115,7.834782608695652,13,-0.039372868692856756,-0.03238567005517787,-0.21330950724782627,0.02785774782092565,0.04117510570825397,2017-07,2019-08,2026-07,-0.05687793882197552,13,2026-07,True,-1.7505070129118763,-3.9372868692856757,-3.238567005517787,-21.330950724782628,2.785774782092565,-5.6877938821975516,4.117510570825397
UK,Private Equity,2007-03,2014-03,19,3.4210526315789473,5,-0.28791240303090515,-0.273606595467342,-0.666386987613116,-0.04311998800996386,0.1679488986129597,2009-03,2007-03,2014-03,-0.17148322619369058,3,2026-08,False,11.642917683721457,-28.791240303090515,-27.3606595467342,-66.6386987613116,-4.3119988009963865,-17.148322619369058,16.79488986129597
UK,Specialist - Financials,2007-01,2012-05,65,3.6923076923076925,4,-0.2604205083908457,-0.2524947961223641,-0.4580251730373796,-0.059687692702771335,0.08574581540746878,2009-02,2007-01,2012-05,-0.3331223308358759,3,2026-08,False,-7.270182244503021,-26.042050839084567,-25.24947961223641,-45.80251730373796,-5.968769270277133,-33.312233083587586,8.574581540746879
UK,Property,2007-03,2021-09,55,3.3454545454545452,5,-0.14260217357213484,-0.14902446696561686,-0.3330968004075022,0.020016145568635513,0.07531645942772273,2008-12,2017-04,2021-09,-0.04270772003925186,3,2026-08,False,9.989445353288298,-14.260217357213484,-14.902446696561686,-33.30968004075022,2.0016145568635513,-4.270772003925186,7.531645942772274
UK,Specialist - Environmental,2007-06,2025-02,187,3.0427807486631018,5,-0.11786719565542213,-0.12033363443510219,-0.2772363618024501,0.028264893129025193,0.057982263177099605,2024-03,2007-07,2025-02,-0.0866693965270684,3,2026-08,False,3.119779912835373,-11.786719565542212,-12.033363443510218,-27.72363618024501,2.8264893129025195,-8.66693965270684,5.79822631770996
UK,Specialist - Other,2007-01,2009-06,17,3.823529411764706,6,-0.10461950646830943,-0.1071808624063146,-0.12508627491494229,-0.0687512813783365,0.016195536496776488,2007-09,2007-10,2009-06,-0.08527678255951003,3,2026-08,False,1.9342723908799404,-10.461950646830944,-10.71808624063146,-12.508627491494229,-6.8751281378336495,-8.527678255951002,1.6195536496776488
