ticker,date,headline,amount,unit,currency,amount_gbx,ex_date,pay_date,confidence,period,title
AAS,2023-02-14,Second Interim Dividend,1.6,p,GBX,1.6,2023-02-23,2023-03-21,high,second interim,Second Interim Dividend
AAS,2023-08-10,Fourth Interim Dividend,1.61,p,GBX,1.61,2023-08-24,2023-09-20,high,fourth interim,Fourth Interim Dividend
AAS,2023-11-14,First Interim Dividend,1.6,p,GBX,1.6,2023-11-23,2023-12-20,high,first interim,First Interim Dividend
AAS,2024-08-14,Fourth Interim Dividend,1.62,p,GBX,1.62,2024-08-23,2024-09-20,high,fourth interim,Fourth Interim Dividend
ADIG,2008-08-19,Dividend Declaration - Replac,,,,,,,,,Dividend Declaration - Replac
ADIG,2010-02-24,Dividend Declaration,1.442,pence,GBX,1.442,,2010-04-09,medium,quarterly,Dividend Declaration
ADIG,2011-01-25,Dividend Declaration,1.442,pence,GBX,1.442,,2011-04-08,medium,quarterly,Dividend Declaration
ADIG,2014-08-01,Dividend Declaration,1.53,pence,GBX,1.53,,2014-07-11,medium,quarterly,Dividend Declaration
ADIG,2017-03-30,Dividend Declaration - Second Interim,1.635,pence,GBX,1.635,2017-04-06,2017-04-28,high,second interim,Dividend Declaration - Second Interim
ADIG,2018-12-17,Fourth Interim Dividend,1.31,pence,GBX,1.31,2018-12-27,2019-01-25,high,fourth interim,Fourth Interim Dividend
ADIG,2019-09-09,Third Interim Dividend,1.34,pence,GBX,1.34,2019-09-19,2019-10-11,high,third interim,Third Interim Dividend
ADIG,2022-02-22,First Interim Dividend,1.4,pence,GBX,1.4,2022-03-03,2022-03-31,high,first interim,First Interim Dividend
ADIG,2022-12-15,Fourth Interim Dividend,1.4,pence,GBX,1.4,2022-12-22,2023-01-19,high,fourth interim,Fourth Interim Dividend
ADIG,2023-03-02,First Interim Dividend,1.42,pence,GBX,1.42,2023-03-09,2023-04-03,high,first interim,First Interim Dividend
ADIG,2025-09-25,Interim Dividend,1.5,pence,GBX,1.5,2025-10-02,2025-10-30,high,interim,Interim Dividend
AEI,2014-02-14,fourth Quarterly Dividend - correction to details,,,,,,,,,fourth Quarterly Dividend - correction to details
AEI,2015-02-11,Dividend Declaration,3.2,pence,GBX,3.2,,2015-03-20,medium,quarterly,Dividend Declaration
AEI,2015-08-24,Dividend Declaration,3.4,pence,GBX,3.4,2015-09-03,2015-09-25,high,quarterly,Dividend Declaration
AEI,2016-08-23,Dividend Declaration,3.6,pence,GBX,3.6,2016-09-01,2016-09-23,high,quarterly,Dividend Declaration
AEI,2026-02-11,First Interim Dividend,5.7,pence,GBX,5.7,2026-02-26,2026-03-27,high,first interim,First Interim Dividend
ANII,2020-09-24,Interim dividend for year ended 31 March 2020,1.0,pence,GBX,1.0,2020-10-01,2020-10-30,high,interim,Interim dividend for year ended 31 March 2020
ARR,2007-05-31,Dividend Declaration,,,,,,,,,Dividend Declaration
ARR,2008-06-03,Dividend Declaration,,,,,,,,,Dividend Declaration
ASL,2012-01-25,Dividend Declaration,,,,,,,,,Dividend Declaration
ASL,2012-07-18,Dividend Declaration,,,,,,,,,Dividend Declaration
ASL,2019-01-25,Dividend Declaration,20.75,p,GBX,20.75,2019-02-07,2019-03-07,high,final,Dividend Declaration
ASL,2023-07-26,Dividend Declaration,12.95,p,GBX,12.95,2023-08-03,2023-08-25,high,interim,Dividend Declaration
ASL,2024-01-31,Dividend Declaration,28.55,p,GBX,28.55,2024-02-08,2024-03-08,high,final,Dividend Declaration
