year,total_return,nav_growth,discount_change,distributions,months,avg_coverage_weight,residual
2012,0.05775863777516688,0.040205408571382106,0.017630796660152548,0.0,7.0,1.0,-7.756745636777751e-05
2013,0.056370496391084934,0.010524448642875939,0.045602025626305887,0.0,4.0,1.0,0.00024402212190310912
2014,0.33284014953226526,0.2774283580673724,0.039891626109626266,0.0013870827915041179,12.0,1.0,0.014133082563762445
2015,0.17570569796682745,0.10159184318534886,0.04769414351910739,0.019838098136390172,12.0,0.9740740740740742,0.006581613125981017
2016,0.12514697281082854,0.08515402045859544,0.02497260640320964,0.012247831656283813,12.0,1.0,0.002772514292739642
2017,0.36109838955726103,0.16930033259540456,0.15077100475187644,0.01318119834166916,12.0,1.0,0.0278458538683109
2018,-0.06233233363900681,-0.13104812743804206,0.06016865401724347,0.017579059717747893,7.0,1.0,-0.009031919935956118
2019,0.35457307235569413,0.21024513452222093,0.07033655291886665,0.044809357725551925,12.0,1.0,0.029182027189054605
2020,0.31901246329698285,0.14786483845519904,0.0968543245757223,0.04692651751066322,11.0,1.0,0.027366782755398278
2021,0.08532126673337692,0.01412973223831493,0.060958927599859436,0.008820979589326546,6.0,1.0,0.0014116273058760176
2022,-0.23873735418755648,-0.25923516752841735,0.010265233768890658,0.015599246843628435,12.0,0.9880952380952381,-0.005366667271658215
2023,0.0825147454602364,0.06129423896660868,0.0023298201264703167,0.01972777941054509,12.0,0.9947916666666666,-0.0008370930433876794
2024,0.06295461329275742,-0.026349265210380612,0.08500577973314716,0.013188608333996992,12.0,1.0,-0.00889050956400611
2025,0.29681426735000294,0.11953834172958766,0.13053082042025133,0.034032568792256544,12.0,0.9895833333333334,0.012712536407907427
2026,0.06709202520589774,0.0035075894553557863,0.055635610321367546,0.009641717259535847,7.0,1.0,-0.0016928918303614343
