security_id,company_name,total_contribution,n_episodes,months_held
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,0.22098019328442978,6,35
SEDOL:338530,Worldwide Healthcare,0.1878313957517347,9,53
SEDOL:2894108,Hansa Investment Company,0.17423265553116082,2,8
SEDOL:455934,International Biotechnology,0.1734143115840753,8,20
SEDOL:295958,Standard Life UK Smaller Companies,0.13709175831320583,9,61
NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,0.13338625184052572,1,20
SEDOL:294502,Edinburgh Dragon,0.12969070569516564,2,15
NAME:biotech growth|ordinary share,Biotech Growth,0.11864906421925676,5,63
SEDOL:BYSRMH1,CC Japan Income & Growth Trust,0.11141040769895405,5,18
SEDOL:806372,Aberdeen Smaller Companies High Income,0.10221469910012514,2,47
SEDOL:294502,Asia Dragon,0.09967779336812764,2,9
SEDOL:B0CRWN5,Schroder Oriental Income,0.09711810134991428,4,13
SEDOL:B44ZTP6,Aberdeen Latin American Income,0.09596021858944807,4,30
SEDOL:332855,Fidelity Japan,0.065702414181116,3,4
SEDOL:914327,JPMorgan Global Growth & Income,0.06416529175376612,8,46
SEDOL:871079,Schroder Asian Total Return,0.061871756015755466,3,18
SEDOL:346607,F&C Investment Trust,0.05745091643818218,7,23
SEDOL:422002,Polar Capital Technology,0.05505617977528088,2,14
SEDOL:BF50VS4,Ashoka India Equity,0.05248389937019853,6,17
SEDOL:781606,Finsbury Growth & Income,0.05121464656227825,2,13
SEDOL:B0N8MF9,BlackRock Energy and Resources Income,0.046496274878037404,3,29
SEDOL:343501,JPMorgan Chinese,0.04589392838196427,2,25
NAME:abrdn new dawn|ordinary share,Aberdeen New Dawn,0.0424198570754696,2,15
SEDOL:882929,Templeton Emerging Markets,0.04206113951366365,2,11
SEDOL:610841,Schroder UK Mid Cap,0.037389515221902814,2,28
SEDOL:906506,Henderson Smaller Companies,0.034195446685847446,4,29
NAME:north american income|ordinary share,North American Income,0.03053719722169987,3,8
