month,action,security_id,company_name,weight_change_pct,price_gbx_at_signal,entry_discount,entry_z,dividend_gbx_per_share,income_per_100_invested
2012-05,BUY,NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,20.0,324.75,-0.17670173659525923,-0.6465752579874844,,
2012-05,BUY,NAME:abrdn new dawn|ordinary share,Aberdeen New Dawn,20.0,809.5,-0.10705421653521585,-0.9739457292052478,,
2012-05,BUY,SEDOL:294502,Asia Dragon,20.0,238.2,-0.09498480243161089,-0.8705197823916239,,
2012-05,BUY,SEDOL:332231,Fidelity Asian Values,20.0,187.75,-0.09579079175496041,-1.0681654079749274,,
2012-05,BUY,SEDOL:338530,Worldwide Healthcare Trust,20.0,787.0,-0.09396514010729662,-0.9216602039731948,,
2012-06,SELL,SEDOL:332231,Fidelity Asian Values,-20.0,,,,,
2012-06,BUY,SEDOL:422002,Polar Capital Technology,20.0,356.0,-0.049170695227157446,-0.06413205471272292,,
2012-07,SELL,NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,-20.0,,,,,
2012-07,BUY,NAME:abrdn new dawn|ordinary share,Aberdeen New Dawn,12.57,776.5,-0.13081925741853884,-1.8369026481810469,,
2012-07,BUY,SEDOL:294502,Asia Dragon,13.55,237.0,-0.09087421842034604,-0.5649732444622269,,
2012-07,BUY,SEDOL:338530,Worldwide Healthcare Trust,13.88,815.5,-0.08087820931857626,-0.09403553283196606,,
2012-07,SELL,SEDOL:422002,Polar Capital Technology,-20.0,,,,,
2012-08,BUY,NAME:abrdn new dawn|ordinary share,Aberdeen New Dawn,17.25,816.0,-0.11919950778796018,-1.291487442119972,,
2012-08,BUY,SEDOL:294502,Asia Dragon,16.63,243.5,-0.09988170930060614,-1.0785763484781397,,
2012-08,SELL,SEDOL:338530,Worldwide Healthcare Trust,-33.88,,,,,
2012-09,SELL,NAME:abrdn new dawn|ordinary share,Aberdeen New Dawn,-49.82,,,,,
2012-09,BUY,SEDOL:294502,Asia Dragon,49.82,237.3,-0.1038181200196382,-1.242485803568006,,
2013-09,BUY,NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,16.67,860.5,-0.05438521302431898,-1.1718871099795058,,
2013-09,BUY,NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,16.67,372.0,-0.17316796692671876,-0.9097490631510228,,
2013-09,BUY,NAME:biotech growth|ordinary share,Biotech Growth,16.67,400.0,-0.05702633253966383,-0.5129804333695936,,
2013-09,SELL,SEDOL:294502,Asia Dragon,-100.0,,,,,
2013-09,BUY,SEDOL:295958,abrdn UK Smaller Companies Growth,16.67,290.5,-0.040462427745664775,-0.7029315513721979,,
2013-09,BUY,SEDOL:455934,International Biotechnology,16.67,269.0,-0.13588178605846457,-0.15086912075248643,,
2013-09,BUY,SEDOL:B0CRWN5,Schroder Oriental Income,16.67,177.0,-0.022477494891478433,-1.6834847625798894,,
2013-10,SELL,NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,-16.67,,,,,
2013-10,BUY,NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,17.58,400.0,-0.15499503559583416,-0.4537756088308462,,
2013-10,BUY,NAME:biotech growth|ordinary share,Biotech Growth,16.85,421.0,-0.04156991303555979,-0.12936102148744633,,
2013-10,BUY,SEDOL:295958,abrdn UK Smaller Companies Growth,15.57,294.0,-0.02578036980581877,-0.15872962007282573,,
2013-10,SELL,SEDOL:455934,International Biotechnology,-16.67,,,,,
2013-10,SELL,SEDOL:B0CRWN5,Schroder Oriental Income,-16.67,,,,,
2013-11,BUY,NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,17.21,414.0,-0.16034559688476047,-0.5562550719197287,,
2013-11,SELL,NAME:biotech growth|ordinary share,Biotech Growth,-33.52,,,,,
2013-11,BUY,SEDOL:295958,abrdn UK Smaller Companies Growth,16.31,305.0,-0.03100775193798444,-0.35368507583884445,,
2013-12,SELL,NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,-3.2,377.38,-0.15408410293194663,-0.3903288843521022,,
2013-12,BUY,SEDOL:295958,abrdn UK Smaller Companies Growth,3.2,316.0,-0.029006882989183858,-0.25056712225302596,,
2014-01,BUY,NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,51.74,352.5,-0.157665838271841,-0.46503482240300925,,
2014-01,SELL,SEDOL:295958,abrdn UK Smaller Companies Growth,-51.74,,,,,
2014-05,BUY,NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,20.0,844.5,-0.04565487625720421,-1.1801351424182753,,
2014-05,SELL,NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,-80.0,392.0,-0.14663880181121558,-0.19315722843867325,,
2014-05,BUY,NAME:biotech growth|ordinary share,Biotech Growth,20.0,444.0,-0.04624836208192806,-0.4102646363363662,,
2014-05,BUY,SEDOL:295958,abrdn UK Smaller Companies Growth,20.0,307.5,-0.04205607476635509,-0.5841794377492957,,
2014-05,BUY,SEDOL:B0CRWN5,Schroder Oriental Income,20.0,175.0,-0.011634474189540334,-0.7212153744921644,,
2014-06,SELL,NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,-3.33,900.5,-0.012089696331402444,-0.33137079776801465,,
2014-06,SELL,NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,-3.33,380.0,-0.15897572095699708,-0.5183008702137141,,
2014-06,SELL,NAME:biotech growth|ordinary share,Biotech Growth,-3.33,461.0,-0.06840456704051734,-1.057890679522915,,
2014-06,SELL,SEDOL:295958,abrdn UK Smaller Companies Growth,-3.33,299.63,-0.05515262361251261,-1.0329128512904506,,
2014-06,BUY,SEDOL:455934,International Biotechnology,16.67,278.13,-0.17678920262830766,-1.7044536244306334,,
2014-06,BUY,SEDOL:806372,abrdn Smaller Companies Income,16.67,197.5,-0.15384944946660384,-0.5202226549110329,,
2014-06,SELL,SEDOL:B0CRWN5,Schroder Oriental Income,-20.0,,,,,
2014-07,BUY,NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,3.33,907.5,-0.004453903198911702,-0.15718284992196183,,
2014-07,SELL,NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,-16.67,,,,,
2014-07,BUY,NAME:biotech growth|ordinary share,Biotech Growth,3.33,494.5,-0.059617761719121476,-0.827052994013978,,
2014-07,BUY,SEDOL:295958,abrdn UK Smaller Companies Growth,3.33,281.25,-0.07898614795166525,-1.7829137120372756,,
2014-07,BUY,SEDOL:455934,International Biotechnology,3.33,299.0,-0.15486588088979347,-0.8561668921826538,,
2014-07,SELL,SEDOL:806372,abrdn Smaller Companies Income,-16.67,,,,,
2014-07,BUY,SEDOL:906506,Henderson Smaller Companies,20.0,513.5,-0.17048979064357705,-0.0037170014106037647,,
2014-08,SELL,NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,-3.33,946.0,-0.006792864867134929,-0.2268387778269844,,
2014-08,SELL,NAME:biotech growth|ordinary share,Biotech Growth,-3.33,476.0,-0.09966142730144323,-1.817281289467518,,
2014-08,SELL,SEDOL:295958,abrdn UK Smaller Companies Growth,-3.33,271.0,-0.10321321023197327,-2.3782011089293875,,
2014-08,BUY,SEDOL:338530,Worldwide Healthcare Trust,16.67,1300.0,-0.06591077292290892,-0.33174940500434474,,
2014-08,SELL,SEDOL:455934,International Biotechnology,-3.33,289.75,-0.16981834851870947,-1.335972551726316,,
2014-08,BUY,SEDOL:806372,abrdn Smaller Companies Income,16.67,196.0,-0.12131265130458169,-0.11936871119164633,,
2014-08,SELL,SEDOL:906506,Henderson Smaller Companies,-20.0,,,,,
2014-09,SELL,NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,-4.17,953.5,-0.03309874865637741,-0.8531365574060187,,
2014-09,BUY,NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,12.5,434.25,-0.15107618321506067,-0.4040713994422168,,
2014-09,SELL,NAME:biotech growth|ordinary share,Biotech Growth,-4.17,551.0,-0.07541027620230234,-1.1319758984267847,,
2014-09,SELL,SEDOL:295958,abrdn UK Smaller Companies Growth,-4.17,286.0,-0.08271593059431037,-1.6094104143777734,,
2014-09,SELL,SEDOL:338530,Worldwide Healthcare Trust,-4.17,1425.0,-0.060646011865524097,-0.12391814357048232,,
2014-09,SELL,SEDOL:455934,International Biotechnology,-4.17,314.5,-0.2008842362028661,-2.213907646192383,,
2014-09,BUY,SEDOL:643610,BlackRock Smaller Companies,12.5,800.5,-0.1276250258824555,-0.027228025689008256,,
2014-09,SELL,SEDOL:806372,abrdn Smaller Companies Income,-4.17,197.0,-0.13611647079459743,-0.32901698196430623,,
2014-10,BUY,NAME:aberdeen asia focus|ordinary share,Aberdeen Asian Smaller Companies,4.17,984.0,-0.006050566167335014,-0.18445261928351836,,
2014-10,BUY,NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,4.17,435.0,-0.15839572813279934,-0.577407991689377,,
2014-10,BUY,NAME:biotech growth|ordinary share,Biotech Growth,4.17,567.0,-0.054889737135999095,-0.58406307988933,,
2014-10,BUY,SEDOL:295958,abrdn UK Smaller Companies Growth,4.17,275.0,-0.0802983177820139,-1.4308996035763695,,
2014-10,SELL,SEDOL:338530,Worldwide Healthcare Trust,-12.5,,,,,
2014-10,BUY,SEDOL:455934,International Biotechnology,4.17,321.25,-0.19552750857686618,-1.8762481357625485,,
2014-10,SELL,SEDOL:643610,BlackRock Smaller Companies,-12.5,,,,,
2014-10,BUY,SEDOL:806372,abrdn Smaller Companies Income,4.17,192.25,-0.13985951411569952,-0.41142831170307725,,
