security_id,ticker,names,first_month,last_month
NAME:albany|ordinary share,,['Albany'],2007-01,2012-07
NAME:asset management|ordinary share,,['Asset Management'],2007-01,2010-12
NAME:barramundi|ordinary share,,['Barramundi'],2012-03,2012-07
NAME:private equity investor|ordinary share,,['Private Equity Investor'],2007-01,2014-08
SEDOL:152417,,['Blue Planet Worldwide Financials'],2007-01,2012-05
SEDOL:156828,,['F&C UK Select'],2007-01,2010-05
SEDOL:167518,,['Advance UK'],2007-01,2010-02
SEDOL:278175,,['Allianz Dresdner Endowment Policy 2010'],2007-03,2009-09
SEDOL:297437,,"[""Directors' Dealing"", 'Eaglet']",2008-05,2009-11
SEDOL:3038332,,['Active Capital'],2007-01,2009-08
SEDOL:3066894,,['SR Europe'],2007-01,2012-03
SEDOL:309019,,['Electric & General'],2007-01,2011-07
SEDOL:3095531,,['New Star Private Equity'],2008-12,2009-04
SEDOL:3098314,,['Resources Investment Trust'],2007-01,2008-02
SEDOL:3148639,,['Charter European'],2007-01,2012-01
SEDOL:323406,,['Invesco Perpetual European Absolute'],2007-01,2009-09
SEDOL:329200,,['Graphite Enterprise'],2007-03,2011-01
SEDOL:341947,,"['Eclectic', 'Eclectic (AIM)']",2007-01,2010-12
SEDOL:371922,,"['Gartmore Fledgling', 'Henderson Fledgling', 'Miton Income Opportunities']",2007-01,2013-08
SEDOL:453110,,['INVESCO Japan Discovery'],2007-01,2007-08
SEDOL:493990,,['Allianz Dresdner Second Endowment 2009'],2007-03,2009-09
SEDOL:529914,,['Life Offices Opportunities'],2007-03,2008-09
SEDOL:532309,,['Gartmore Smaller Companies'],2007-01,2008-12
SEDOL:615200,,['Gartmore Irish Growth'],2007-01,2011-02
SEDOL:634874,,['New Zealand'],2007-02,2008-01
SEDOL:659941,,['Old Mutual South Africa'],2007-01,2007-01
SEDOL:682958,,['Perpetual Japanese'],2007-01,2008-11
SEDOL:732518,,"['RENN Universal Growth', 'Renaissance US Growth']",2007-01,2014-11
SEDOL:735250,,['Aberdeen Development Capital'],2011-09,2012-03
SEDOL:736639,,['RIT Capital Partners'],2007-01,2012-08
SEDOL:890632,,['Framlington Innovative Growth'],2007-01,2010-08
SEDOL:911544,,['SVM UK Active'],2007-01,2011-04
SEDOL:958477,,['Close Finsbury EuroTech'],2007-01,2007-02
SEDOL:973793,,"['BlackRock New Energy', 'BlackRock New Energy Technology', 'Merrill Lynch New Energy Technology']",2007-01,2014-01
SEDOL:B05KL90,,['F&C Commercial Property'],2007-03,2010-03
SEDOL:B06FN10,,['Prodesse'],2007-03,2010-03
SEDOL:B06GDT1,,['Alternative Investment Strategies'],2007-01,2013-09
SEDOL:B07BP66,,['Gartmore Growth Opportunities'],2007-01,2010-11
SEDOL:B09LK25,,['Ecofin Water & Power Opportunities'],2009-04,2009-06
SEDOL:B0BZVZ5,,['Anglo & Overseas'],2007-01,2011-02
SEDOL:B0GYJV9,,['Investec Capital Accumulator'],2007-01,2010-03
SEDOL:B0K32V3,,['Principle Capital'],2007-02,2009-08
SEDOL:B0LM0M6,,['INVESCO English & International'],2007-01,2010-08
SEDOL:B0S49V7,,['Tribune UK Tracker'],2007-01,2007-08
SEDOL:B104VL6,,['Melchior Japan'],2007-01,2010-10
SEDOL:B17MXW8,,['Henderson Global Property Companies'],2007-01,2011-03
SEDOL:B19Z2J5,,['UK Commercial Property'],2008-03,2011-06
SEDOL:B1B9C40,,['Blue Planet Financials Growth & Income'],2007-04,2012-05
SEDOL:B1LP1B8,,['International Biotechnology C shares'],2007-02,2007-04
SEDOL:B1N92H1,,['Gartmore Growth Opportunities C shares'],2007-03,2007-04
SEDOL:B1NNWQ2,,['Cambium Global Timberland (AIM)'],2007-10,2009-07
SEDOL:B1P8HX7,,['Midas Income & Growth C shares'],2007-03,2007-03
SEDOL:B1RZDH2,,['JPMorgan Progressive Multi-Strategy (AIM)'],2007-08,2009-09
SEDOL:B1YW2J1,,['TR Property Sigma'],2007-07,2012-11
SEDOL:B1Z9707,,['Jupiter Green C shares'],2007-07,2007-10
SEDOL:B235SB2,,['Impax Environmental Markets C shares'],2007-09,2007-11
SEDOL:B29LSW5,,['Juridica Investments (AIM)'],2008-04,2009-09
SEDOL:B29MWP9,,['Utilico Emerging Markets C shares (AIM)'],2007-12,2008-02
SEDOL:B3KHF28,,['Standard Life UK Smaller Cos Continuation shares'],2009-02,2009-05
SEDOL:B3WQ8G8,,['CATCo Reinsurance Opportunities'],2013-02,2013-02
SEDOL:B40HG88,,['BlackRock Hedge Selector Cash'],2009-10,2013-01
SEDOL:B42J3Y7,,['BlackRock Hedge Selector UK Emerging'],2009-10,2014-10
SEDOL:B4M5KX3,,"['Impax Asian Enviromental Markets', 'Impax Asian Environmental Markets']",2011-03,2013-06
SEDOL:B4N5LG2,,['HarbourVest Senior Loans Europe'],2010-05,2010-05
SEDOL:B7GHFN1,,['Aberdeen Latin American Income C shares'],2012-02,2012-03
SEDOL:B7ZZ0Y2,,['Diverse Income Trust C shares'],2012-07,2014-09
SEDOL:B841RZ8,,"['Aberdeen Asian Income C Shares', 'Aberdeen Asian Income C shares']",2012-11,2013-01
