feature,n_with,n_without,mean_fwd_with,mean_fwd_without,difference,t_welch,p_value,universe
discount_stance,51,43,0.003567487637067808,0.008252097835614172,-0.004684610198546364,-0.45426132065208086,0.6507147979383876,documented
buyback_commitment,63,31,0.0042140909396118625,0.008751430555687749,-0.004537339616075886,-0.4038867587097879,0.6877658651857723,documented
continuation_vote,20,74,-0.002429490758867934,0.007910430967557112,-0.010339921726425047,-0.8380176184577358,0.40832011034234716,documented
winddown_path,22,72,0.004755409716260212,0.006002264759224208,-0.001246855042963996,-0.08797204252436977,0.9305005016748767,documented
activist_presence,2,92,-0.004363635000000001,0.005929449417628999,,,,documented
manager_status,15,79,-0.004138778491489817,0.007580553845496392,-0.011719332336986209,-0.8526616088992847,0.40374777032188924,documented
fee_direction,33,61,-0.0013125854730055547,0.009509793393951659,-0.010822378866957213,-1.1041957118370562,0.27255869390713044,documented
nav_marking,72,22,0.004995407539213911,0.008050578799930276,-0.003055171260716365,-0.21945550023061128,0.8277941248022813,documented
going_concern_language,2,92,0.054836626630504925,0.004642487208270194,,,,documented
distribution_stance,55,39,0.006392684342883606,0.004748318911878698,0.001644365431004908,0.15511946890364856,0.8771026835983875,documented
hf_buyback_active,1954,3902,0.01864107206763037,0.020579306866370547,-0.0019382347987401752,-1.0488308547797134,0.2943117383047204,all_funds
hf_holder_churn,732,5124,0.017287223093036715,0.020310472854922865,-0.00302324976188615,-1.0855927647301409,0.27793385126528897,all_funds
hf_strategic_review,168,5688,0.017509771216959596,0.0200041259930166,-0.002494354776057004,-0.47137827888058853,0.6379479505516703,all_funds
hf_continuation,108,5748,0.013529533145640071,0.020052874153270443,-0.006523341007630372,-1.0972588497986522,0.2748720131938834,all_funds
hf_windup,168,5688,0.024243120449244027,0.019805250699236047,0.00443786975000798,0.4294092633116527,0.6681705606985054,all_funds
