security_id,ticker,end_month,status,rows_indexed
SEDOL:BF01NH5,PRSR,2025-12,details,1443
SEDOL:B933LL6,WKOF,2025-11,details,1855
SEDOL:BP2RHT1,FVV,2025-10,details,27
SEDOL:B9CBV55,NBDX,2025-09,details,691
SEDOL:BF345X1,SUPR,2025-06,details,505
SEDOL:BYV8MN7,SHED,2025-05,details,1644
SEDOL:BNCB5T5,BGLF,2024-12,not_found,0
SEDOL:BK6RLF6,AERI,2024-11,details,419
SEDOL:717429,KAY,2024-11,details,700
SEDOL:483247,AADV,2024-11,details,850
SEDOL:203962,AAVC,2024-11,details,722
SEDOL:BDHF5B4,TV2V,2024-10,details,0
SEDOL:B1FQG45,BGHL,2024-10,details,5456
SEDOL:BL594H3,WWW,2024-10,details,86
SEDOL:BN497V3,ROOF,2024-09,details,133
SEDOL:BFYT9H7,SONG,2024-06,not_found,0
SEDOL:BYPBD51,ASIZ,2024-06,identity_mismatch,0
SEDOL:BD8HBD3,CIVSHP-OR,2023-12,not_found,0
SEDOL:3387528,API,2023-12,details,1650
SEDOL:BYZV3G2,POLN,2023-12,details,572
SEDOL:BLN7H03,REW,2023-10,details,6
SEDOL:BNGMZB6,EPIC,2023-09,details,609
NAME:atlantis japan growth|ordinary share,AJG,2023-08,details,4750
SEDOL:BYSQV48,TPOB,2023-03,not_found,0
SEDOL:BNCBFM8,TPOA,2023-03,not_found,0
SEDOL:BYYJCZ9,FCIF,2023-02,not_found,443
SEDOL:BTC2K73,AXI,2023-02,details,1829
SEDOL:B1NP514,BHMG,2023-01,details,3195
SEDOL:532707,BLP,2023-01,not_found,443
SEDOL:BLNNFZ2,HEIC,2022-12,not_found,0
SEDOL:3408021,JPEI,2022-11,not_found,443
SEDOL:3408009,JPEC,2022-11,not_found,443
SEDOL:852814,JPE,2022-11,not_found,443
SEDOL:BLSNND1,FEET,2022-10,not_found,443
SEDOL:BGSH2G4,TPVC,2022-10,not_found,0
SEDOL:B640GZ4,FTSV,2022-08,details,220
SEDOL:BYSJJR6,PU12,2022-05,not_found,0
SEDOL:BDR0575,JEFI,2022-05,not_found,443
SEDOL:BMGWM18,RHMC,2022-04,not_found,0
SEDOL:BF8NW87,CIP,2022-04,not_found,50
SEDOL:BCKFVJ4,GRIT,2022-01,identity_mismatch,50
SEDOL:308544,ELTA,2021-12,not_found,0
SEDOL:B8460Z4,DIGS,2021-11,not_found,443
SEDOL:B4M2G81,GV1O,2021-10,details,184
NAME:aberdeen new thai|ordinary share,ANW,2021-10,not_found,443
SEDOL:BQVBS54,PU11,2021-09,not_found,0
SEDOL:B03KMY4,VEN,2021-09,not_found,0
SEDOL:B13YVW4,HTCF,2021-08,details,2446
SEDOL:BN56JF1,SLFR,2021-08,identity_mismatch,0
SEDOL:BZ184P0,SLFX,2021-08,identity_mismatch,0
SEDOL:B2QQPT9,BHGG,2021-06,not_found,0
SEDOL:B2QQPS8,BHGU,2021-06,not_found,0
SEDOL:BMC7TN8,CCRD,2021-06,not_found,0
SEDOL:358572,IVI,2021-03,not_found,443
SEDOL:703376,JUKG,2021-02,not_found,443
SEDOL:B6ZS1P2,DP3F,2021-02,not_found,0
SEDOL:BLP57Y9,ACI,2021-02,not_found,0
SEDOL:BZ6CSD3,DP2K,2021-02,not_found,0
SEDOL:679842,PLI,2020-10,not_found,443
SEDOL:BTLJYS4,GVP,2020-09,not_found,443
SEDOL:BYMYC34,HWSL,2020-08,not_found,0
SEDOL:0121600,HAST,2020-08,not_found,443
SEDOL:0827124,ADAM,2020-04,not_found,0
SEDOL:B4N1RV7,BC12,2020-04,not_found,0
SEDOL:B588594,BCAP,2020-04,not_found,0
SEDOL:BZ0RY03,JZCP,2020-03,details,640
SEDOL:290481,JZCP,2020-03,details,640
SEDOL:B4TC8Z5,FCO,2019-11,not_found,0
SEDOL:BFG3QX2,PUMX,2019-09,not_found,0
SEDOL:BRK9BQ8,FFWD,2019-08,not_found,0
SEDOL:569512,MCP,2019-08,not_found,443
SEDOL:BF00L12,FA14,2019-03,identity_mismatch,0
SEDOL:BBBSB40,BRFC,2018-12,details,0
SEDOL:BDZZT36,CSHC,2018-11,details,0
SEDOL:B0BN1P9,BEEP,2018-10,not_found,443
SEDOL:981536,WTR,2018-10,not_found,443
SEDOL:596286,MTH,2018-08,not_found,443
SEDOL:B29KPN2,TPV1,2018-08,not_found,0
SEDOL:B73D8H7,PUM9,2018-07,identity_mismatch,0
SEDOL:BDVK708,AEWL,2018-06,not_found,505
SEDOL:BD884W6,RMDC,2018-06,not_found,0
SEDOL:B7TT4M6,BCAI,2018-06,not_found,0
SEDOL:B1XCHB9,APEF,2018-06,not_found,0
SEDOL:B05N8X2,ATI,2018-04,not_found,0
SEDOL:B576CP4,D4LC,2018-03,identity_mismatch,0
SEDOL:B4MGR24,DO1B,2018-03,identity_mismatch,0
SEDOL:B1GDYS5,HHVT,2018-02,not_found,0
SEDOL:B3B3WB3,TPF,2018-01,not_found,0
SEDOL:B54ST29,TPO,2017-12,not_found,0
SEDOL:B61K7Y3,FTVP,2017-11,not_found,0
SEDOL:B4V7FP7,DP3D,2017-11,not_found,0
SEDOL:B45M5X6,FTVI,2017-11,not_found,0
SEDOL:B5BB891,D4OO,2017-10,not_found,0
SEDOL:B6QM2B6,OCV4,2017-10,not_found,0
SEDOL:BJT3251,KWE,2017-09,not_found,0
SEDOL:B40PR12,PUM8,2017-09,not_found,0
SEDOL:B1FBT07,YATRA,2017-08,not_found,0
SEDOL:B3RNDW5,CLCC,2017-06,not_found,0
SEDOL:B1YW310,LEF,2017-06,not_found,0
SEDOL:B1NPGZ5,BHME,2017-05,not_found,0
SEDOL:B083776,FTD,2017-05,not_found,0
SEDOL:531005,LSLI,2017-03,not_found,443
SEDOL:3036745,MIG2,2017-02,identity_mismatch,0
SEDOL:B2PKXF4,NCE,2017-02,not_found,443
SEDOL:B628S54,DREF,2016-11,not_found,0
SEDOL:B0YZHK9,BAV,2016-10,not_found,0
SEDOL:B8N2KC0,PCTZ,2016-09,not_found,0
SEDOL:B3D74S4,DP2C,2016-09,not_found,0
SEDOL:B41RMC3,PUMA,2016-08,not_found,0
SEDOL:B1GJYK5,EDGC,2016-08,not_found,0
SEDOL:B44VMB1,EDGH,2016-08,details,119
SEDOL:B5B6VC0,EDGI,2016-08,not_found,0
SEDOL:B3K3HN1,ELTZ,2016-07,not_found,0
SEDOL:BYM91M1,OAPD,2016-06,not_found,0
SEDOL:B4Z6HJ8,ECWZ,2016-06,not_found,0
SEDOL:721163,JZCP,2016-05,details,640
SEDOL:BGCZJW9,JPSL,2016-05,not_found,443
SEDOL:318402,HGL,2016-03,not_found,443
SEDOL:3109528,BNS,2016-02,not_found,0
SEDOL:B13YXH3,BABU,2016-01,not_found,0
SEDOL:572316,RSB,2015-12,not_found,0
SEDOL:3353820,PEW,2015-12,not_found,0
SEDOL:B3SD2L6,OVC2,2015-12,not_found,0
SEDOL:B03CKY6,FTN,2015-11,not_found,0
SEDOL:B29LSW5,JIL,2015-10,not_found,0
SEDOL:B1FB3X8,JRIC,2015-10,not_found,0
SEDOL:3612110,VNIL,2015-10,not_found,0
SEDOL:3612102,VNI,2015-10,not_found,0
SEDOL:B0FXL33,DABU,2015-09,not_found,0
SEDOL:B0FXK92,DABE,2015-09,not_found,0
SEDOL:636911,TCT,2015-09,not_found,443
SEDOL:B1NB0H3,DPV6,2015-06,not_found,0
SEDOL:B1G3RS6,PTF,2014-10,not_found,0
SEDOL:B3ZY353,TP10,2014-09,identity_mismatch,0
SEDOL:B3YSKP5,TP5B,2014-08,not_found,0
SEDOL:B3BVWS4,TP5,2014-08,not_found,0
SEDOL:B59YCM3,IEVD,2010-08,not_found,0
SEDOL:B598LZ1,IE1D,2010-08,not_found,0
SEDOL:789235,SVI,2008-06,not_found,0
