decile,n,resolved,rate,mean_p,lift
1,1906,164.0,0.08604407135362015,0.04079340943370553,1.2153326431222224
2,1905,118.0,0.06194225721784777,0.05019044331312021,0.8749056849732181
3,1905,82.0,0.04304461942257218,0.050643339667118877,0.6079853065068126
4,1906,56.0,0.02938090241343127,0.05064333966711887,0.4149916342368564
5,1905,129.0,0.06771653543307087,0.050643339667118877,0.9564646895046198
6,1905,101.0,0.05301837270341207,0.050643339667118877,0.7488599506974155
7,1906,255.0,0.13378803777544596,0.05064409519303597,1.889694048757114
8,1905,100.0,0.05249343832020997,0.053682354085689554,0.7414454957400154
9,1905,176.0,0.09238845144356955,0.055977053917440935,1.304944072502427
10,1906,168.0,0.08814270724029381,0.1205888266103945,1.2449749027105694
