decile,n,resolved,rate,mean_p,lift
1,2401,162.0,0.06747188671386922,0.00939419011395793,1.05032112106337
2,2400,95.0,0.03958333333333333,0.01686717714555563,0.6161856895806311
3,2400,133.0,0.05541666666666667,0.017254487229040202,0.8626599654128837
4,2401,186.0,0.07746772178259059,0.017254487229040202,1.2059242501097953
5,2400,92.0,0.03833333333333333,0.017254487229040202,0.5967271941201902
6,2400,148.0,0.06166666666666667,0.018665401977004174,0.9599524427150886
7,2401,90.0,0.037484381507705125,0.021631976319326,0.5835117339240945
8,2400,153.0,0.06375,0.02328932682286072,0.9923832684824903
9,2400,175.0,0.07291666666666667,0.03242666587043992,1.1350789018590575
10,2401,308.0,0.1282798833819242,0.0831419323822003,1.9969068227624567
