security_id,date,catalyst_class,weight,direction,headline,url
SEDOL:295958,2026-09-18,scheme_merger_rollover,5,positive,Proposed combination with AUSC,https://www.investegate.co.uk/announcement/rns/abrdn-uk-smaller-companies-growth-trust--ausc/proposed-combination-with-ausc/9778562
SEDOL:295958,2026-09-18,scheme_merger_rollover,5,positive,Proposed Reconstruction and Rollover,https://www.investegate.co.uk/announcement/rns/abrdn-uk-smaller-companies-growth-trust--ausc/proposed-reconstruction-and-rollover/9778563
SEDOL:741600,2026-09-18,scheme_merger_rollover,5,positive,Proposed combination with AUSC,https://www.investegate.co.uk/announcement/rns/jpmorgan-uk-small-cap-growth-income--jugi/proposed-combination-with-ausc/9778562
SEDOL:BJP5HK1,2026-09-17,liquidation_wind_down,5,positive,Company update: Managed Wind Down,https://www.investegate.co.uk/announcement/rns/home-reit--home/company-update-managed-wind-down-/9776208
SEDOL:BD6H5D3,2026-09-09,takeover_offer,5,positive,Tender Offer for Largest Portfolio Holding,https://www.investegate.co.uk/announcement/rns/avi-japan-opportunity-trust--ajot/tender-offer-for-largest-portfolio-holding/9764000
SEDOL:BJVKW83,2026-08-27,liquidation_wind_down,5,positive,Result of EGM and Entry into Voluntary Liquidation,https://www.investegate.co.uk/announcement/rns/jpmorgan-global-core-real-assets-limited-npv-eur---jare/result-of-egm-and-entry-into-voluntary-liquidation/9743834
SEDOL:B01RDH7,2026-09-21,tender_offer,4,positive,Tender Offer,https://www.investegate.co.uk/announcement/prn/blackrock-greater-europe-inv-trust--brge/tender-offer/9782952
SEDOL:BYRGPD6,2026-09-16,tender_offer,4,positive,Receipt of Funds and Final Return of Capital,https://www.investegate.co.uk/announcement/rns/alternative-liquidity-fund-limited--alf/receipt-of-funds-and-final-return-of-capital/9776036
SEDOL:B28XHD6,2026-09-16,tender_offer,4,positive,Tender Offer Timing Update,https://www.investegate.co.uk/announcement/rns/harbourvest-global-private-equity-limited-a-shs--hvpe/tender-offer-timing-update/9773858
SEDOL:604877,2026-09-16,tender_offer,4,positive,Conditional Tender Offer - Performance Update,https://www.investegate.co.uk/announcement/rns/aberdeen-new-india-investment-trust--anii/conditional-tender-offer-performance-update/9773862
SEDOL:BZCNLL9,2026-09-16,tender_offer,4,positive,Completion of Quarterly Tender Offer,https://www.investegate.co.uk/announcement/rns/ct-healthcare-trust-plc--ctht/completion-of-quarterly-tender-offer/9775872
SEDOL:3197794,2026-09-11,tender_offer,4,positive,Publication of Tender Offer Circular,https://www.investegate.co.uk/announcement/prn/lindsell-train-inv-trust--lti/publication-of-tender-offer-circular/9766938
SEDOL:783613,2026-09-02,tender_offer,4,positive,Conditional Tender Offer,https://www.investegate.co.uk/announcement/rns/scottish-oriental-smaller-companies-trust--sst/conditional-tender-offer/9750382
SEDOL:B28XHD6,2026-09-22,discount_control,3,positive,Share Buyback Update,https://www.investegate.co.uk/announcement/rns/harbourvest-global-private-equity-limited-a-shs--hvpe/share-buyback-update/9785379
SEDOL:BRGCGK0,2026-09-15,discount_control,3,positive,Extension of Share Buyback Program,https://www.investegate.co.uk/announcement/rns/river-uk-micro-cap-limited--rmmc/extension-of-share-buyback-program/9773754
NAME:global smaller companies trust|ordinary share,2026-09-15,discount_control,3,positive,Statement re Share Buyback Authority,https://www.investegate.co.uk/announcement/rns/the-global-smaller-companies-trust--gsct/statement-re-share-buyback-authority/9773694
SEDOL:3096169,2026-09-11,strategic_review,3,positive,CORRECTION:  Strategic Review,https://www.investegate.co.uk/announcement/prn/blackrock-income-and-growth-investment-trust--brig/correction-strategic-review/9768518
SEDOL:3096169,2026-09-11,strategic_review,3,positive,Strategic Review,https://www.investegate.co.uk/announcement/prn/blackrock-income-and-growth-investment-trust--brig/strategic-review/9766923
SEDOL:BGHVZM4,2026-09-18,substantial_holder,2,positive,TR-1 Notification of Major Holdings,https://www.investegate.co.uk/announcement/rns/sdcl-efficiency-income-trust--seit/tr-1-notification-of-major-holdings/9780512
SEDOL:B0DQY35,2026-09-16,substantial_holder,2,positive,Holding(s) in Company - City of London,https://www.investegate.co.uk/announcement/rns/utilico-emerging-markets-ltd-di---uem/holding-s-in-company-city-of-london/9775994
SEDOL:BGHVZM4,2026-09-15,substantial_holder,2,positive,TR-1 Notification of Major Holdings,https://www.investegate.co.uk/announcement/rns/sdcl-efficiency-income-trust--seit/tr-1-notification-of-major-holdings/9771441
SEDOL:BFFK7H5,2026-09-14,substantial_holder,2,positive,TR-1: Notification of Major Holdings,https://www.investegate.co.uk/announcement/rns/odyssean-investment-trust--oit/tr-1-notification-of-major-holdings/9771353
SEDOL:392105,2026-09-08,substantial_holder,2,positive,Holding(s) in Company & Update on Hg Shareholding,https://www.investegate.co.uk/announcement/rns/hgcapital-trust--hgt/holding-s-in-company-update-on-hg-shareholding/9761183
SEDOL:BFFK7H5,2026-09-02,substantial_holder,2,positive,Notification of Major Holdings,https://www.investegate.co.uk/announcement/rns/odyssean-investment-trust--oit/notification-of-major-holdings/9751978
SEDOL:BGHVZM4,2026-08-28,substantial_holder,2,positive,TR-1 Notification of Major Holdings,https://www.investegate.co.uk/announcement/rns/sdcl-efficiency-income-trust--seit/tr-1-notification-of-major-holdings/9745661
SEDOL:BFFK7H5,2026-08-25,substantial_holder,2,positive,Holding(s) in Company - Replacement,https://www.investegate.co.uk/announcement/rns/odyssean-investment-trust--oit/holding-s-in-company-replacement-/9739377
SEDOL:B1XHV78,2026-09-21,realisation,1,positive,Sale of 2028 ZDP shares,https://www.investegate.co.uk/announcement/rns/uil-limited-di---utl/sale-of-2028-zdp-shares/9783065
SEDOL:1610140,2026-09-21,realisation,1,positive,Sale of 2028 ZDP shares,https://www.investegate.co.uk/announcement/rns/uil-finance-limited--utlh/sale-of-2028-zdp-shares/9783065
SEDOL:BNKVP75,2026-09-02,realisation,1,positive,Disposal of Six Brazilian Solar PV Assets,https://www.investegate.co.uk/announcement/rns/vh-global-energy-infrastructure-plc--enrg/disposal-of-six-brazilian-solar-pv-assets-/9750412
SEDOL:BNKVP75,2026-09-01,realisation,1,positive,Disposal of US Liquid Storage Assets,https://www.investegate.co.uk/announcement/rns/vh-global-energy-infrastructure-plc--enrg/disposal-of-us-liquid-storage-assets/9747212
SEDOL:453530,2026-09-16,manager_exit,-2,negative,RETIREMENT OF PORTFOLIO MANAGER,https://www.investegate.co.uk/announcement/mfn/invesco-asia-dragon-trust-plc--iad/retirement-of-portfolio-manager/9774214
SEDOL:914327,2026-09-02,manager_exit,-2,negative,Retirement of Portfolio Manager,https://www.investegate.co.uk/announcement/rns/jpmorgan-global-growth-income--jggi/retirement-of-portfolio-manager-/9751184
SEDOL:BWD2415,2026-08-26,offer_withdrawn,-3,negative,No Intention to Bid Statement,https://www.investegate.co.uk/announcement/rns/aew-uk-reit--aewu/no-intention-to-bid-statement-/9739892
SEDOL:BDVK708,2026-08-26,offer_withdrawn,-3,negative,No Intention to Bid Statement,https://www.investegate.co.uk/announcement/rns/alternative-income-reit--aire/no-intention-to-bid-statement-/9739892
SEDOL:667438,2026-09-17,suspension,-4,negative,Suspension - Pacific Assets Trust PLC,https://www.investegate.co.uk/announcement/rns/pacific-assets-trust--pac/suspension-pacific-assets-trust-plc/9777074
SEDOL:BJVKW83,2026-08-24,suspension,-4,negative,Suspension of shares from trading on main market,https://www.investegate.co.uk/announcement/rns/jpmorgan-global-core-real-assets-limited-npv-eur---jare/suspension-of-shares-from-trading-on-main-market/9737224
ASX:ECL,2026-08-28,tender_offer,4,positive,Completion of Capital Return & Request to Defer Delisting,https://announcements.asx.com.au/asxpdf/20260828/pdf/073f85sb4dc3xx.pdf
ASX:TGF,2026-09-09,discount_control,3,positive,Continuation of On-Market Share Buy-Back,https://announcements.asx.com.au/asxpdf/20260909/pdf/073xh1fj2dvqbh.pdf
ASX:GC1,2026-09-16,substantial_holder,2,positive,Change in substantial holding,https://announcements.asx.com.au/asxpdf/20260916/pdf/07455nf7r35nbb.pdf
ASX:SNC,2026-09-09,substantial_holder,2,positive,Change in substantial holding,https://announcements.asx.com.au/asxpdf/20260909/pdf/073x990vy2zvl8.pdf
ASX:MA1,2026-09-08,distribution_policy,2,positive,Revised Distribution - August 2026,https://announcements.asx.com.au/asxpdf/20260908/pdf/073vp9dy6l79km.pdf
ASX:LGF,2026-09-04,substantial_holder,2,positive,Change in substantial holding,https://announcements.asx.com.au/asxpdf/20260904/pdf/073r891fh7kx54.pdf
ASX:SET,2026-09-04,substantial_holder,2,positive,Change in substantial holding from HUB,https://announcements.asx.com.au/asxpdf/20260904/pdf/073r4lpfhcg1jy.pdf
ASX:IBC,2026-09-01,substantial_holder,2,positive,Change in substantial holding,https://announcements.asx.com.au/asxpdf/20260902/pdf/073m6gcw0wt5s2.pdf
ASX:UWC,2026-08-31,substantial_holder,2,positive,Change in substantial holding,https://announcements.asx.com.au/asxpdf/20260831/pdf/073jlkldxn9rkg.pdf
ASX:LGF,2026-08-25,substantial_holder,2,positive,Becoming a substantial holder,https://announcements.asx.com.au/asxpdf/20260825/pdf/0736bghx0pv0y6.pdf
ASX:LGF,2026-08-25,substantial_holder,2,positive,Becoming a substantial holder,https://announcements.asx.com.au/asxpdf/20260825/pdf/0736bdbnh0kg91.pdf
ASX:LGF,2026-08-25,substantial_holder,2,positive,Becoming a substantial holder,https://announcements.asx.com.au/asxpdf/20260825/pdf/0736b82zx6202q.pdf
ASX:BSN,2026-08-31,realisation,1,positive,Sale Of Marshall Uranium Project in Canada Completed,https://announcements.asx.com.au/asxpdf/20260901/pdf/073kl0z0mbsgnl.pdf
