security_id,name,market,sector,last_seen,months_missing,review_action
ASX:ALR,Aberdeen Leaders Limited,AU,Equity - Australia,2018-02,100,
ASX:AEG,Absolute Equity Performance Fund Limited,AU,Equity - Australia Strategy,2022-08,46,
ASX:BSN,Bisan Limited,AU,Equity - Australia,2019-12,78,
ASX:CIE,Contango Income Generator  Limited,AU,Equity - Australia,2021-05,61,
ASX:CTN,Contango Microcap Limited,AU,Equity - Australia Small/Mid Cap,2017-09,105,
ASX:EAF,Evans & Partners Asia Fund,AU,Equity - Asia,2020-11,67,
ASX:PAI,Platinum Asia Investments Limited,AU,Equity - Asia,2025-06,12,
ASX:PMC,Platinum Capital Limited,AU,Equity - Global,2025-10,8,
ASX:VG1,VGI Partners Global Investments Limited,AU,Equity - Global,2025-09,9,
SEDOL:BDVK708,AEW UK Long Lease REIT,UK,Property Specialist,2018-06,97,
SEDOL:B1W59J1,Aberdeen Frontier Markets,UK,Global Emerging Markets,2020-07,72,
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,UK,Country Specialist,2021-10,57,
SEDOL:558167,Albion Technology & General VCT,UK,VCT,2026-07,0,
SEDOL:B3KJH95,Bailiwick Investments,UK,Flexible Investment,2026-04,3,"confirm delisting, or add to universe/manual.yaml to keep tracking"
SEDOL:BDGKMY2,BioPharma Credit,UK,Debt - Direct Lending,2026-07,0,
SEDOL:B0BN1P9,BlackRock Emerging Europe,UK,European Emerging Markets,2018-10,93,
SEDOL:532707,Blue Planet Investment Trust,UK,Global,2023-01,42,
SEDOL:636911,Cayenne Trust,UK,Global,2015-09,130,
SEDOL:B62DS15,Channel Islands Property,UK,Property - UK Commercial,2026-07,0,
SEDOL:BWBSDM9,Chenavari Toro Income Fund,UK,Debt - Structured Finance,2026-07,0,
SEDOL:BMC7TM7,Cordiant Digital Infrastructure,UK,Infrastructure,2026-07,0,
SEDOL:BJFLFT4,Custodian Property Income REIT,UK,Property - UK Commercial,2026-07,0,
SEDOL:BF0SCX5,Downing Strategic Micro-Cap,UK,UK Smaller Companies,2025-01,18,
SEDOL:B1GCL25,Dunedin Smaller Companies,UK,UK Smaller Companies,2018-09,94,
SEDOL:3133691,Establishment Investment Trust,UK,Flexible Investment,2019-06,85,
SEDOL:BLSNND1,Fundsmith Emerging Equities,UK,Global Emerging Markets,2022-10,45,
SEDOL:B8460Z4,GCP Student Living,UK,Property - UK Residential,2021-11,56,
SEDOL:BD8P074,Gabelli Merchant Partners,UK,Hedge Funds,2026-07,0,
SEDOL:BTLJYS4,Gabelli Value Plus+,UK,North America,2020-09,70,
SEDOL:B1Z4070,Gulf Investment Fund,UK,Global Emerging Markets,2024-09,22,
SEDOL:B0T4LH6,HICL Infrastructure,UK,Infrastructure,2026-07,0,
SEDOL:0121600,Henderson Alternative Strategies,UK,Flexible Investment,2020-08,71,
SEDOL:318402,Henderson Global,UK,Global,2016-03,124,
SEDOL:BFMYZ98,Henderson International Income C shares,UK,Global Equity Income,2017-07,108,
NAME:independent investment trust|ordinary share,Independent Investment Trust,UK,UK All Companies,2022-10,45,
SEDOL:B05NYM3,Invesco Enhanced Income,UK,Debt - Loans & Bonds,2021-04,63,
SEDOL:358572,Invesco Income Growth,UK,UK Equity Income,2021-03,64,
SEDOL:B07V0H2,JPEL Private Equity,UK,Private Equity,2026-07,0,
SEDOL:B602HS4,JPMorgan Brazil,UK,Country Specialist: Latin America,2020-10,69,
SEDOL:3408009,JPMorgan Elect Managed Cash,UK,Liquidity Funds,2022-11,44,
SEDOL:852814,JPMorgan Elect Managed Growth,UK,Global,2022-11,44,
SEDOL:3408021,JPMorgan Elect Managed Income,UK,UK Equity Income,2022-11,44,
SEDOL:B17XWW4,JPMorgan European Income,UK,Europe,2022-01,54,
SEDOL:B96SW59,JPMorgan Global Convertibles Income,UK,Debt - Loans & Bonds,2019-09,82,
SEDOL:BJVKW83,JPMorgan Global Core Real Assets,UK,Flexible Investment,2026-07,0,
SEDOL:BGCZJW9,JPMorgan Senior Secured Loan,UK,Sector Specialist: Debt,2016-05,122,
SEDOL:BDR0575,Jupiter Emerging & Frontier Income,UK,Global Emerging Markets,2022-05,50,
SEDOL:703376,Jupiter UK Growth,UK,UK All Companies,2021-02,65,
SEDOL:981536,Lazard World Trust Fund,UK,Global,2018-10,93,
SEDOL:BMF1L08,Literacy Capital,UK,Private Equity,2026-07,0,
SEDOL:531005,London & St Lawrence,UK,Global Equity Income,2017-03,112,
SEDOL:569512,Martin Currie Asia Unconstrained,UK,Asia Pacific Income,2019-08,83,
SEDOL:596286,Mithras,UK,Private Equity,2018-08,95,
SEDOL:BWFGQ20,Miton UK Microcap C shares,UK,UK Smaller Companies,2016-06,121,
SEDOL:B2PKXF4,New City Energy,UK,Sector Specialist: Commodities & Natural Resources,2017-02,113,
SEDOL:7013105,Oakley Capital Investments,UK,Private Equity,2026-07,0,
SEDOL:B28C2R2,Partners Group Private Equity,UK,Private Equity,2026-07,0,
SEDOL:679842,Perpetual Income & Growth,UK,UK Equity Income,2020-10,69,
SEDOL:B248KJ2,Phoenix Spree Deutschland,UK,Property - Europe,2026-07,0,
SEDOL:3051801,ProVen Growth and Income VCT,UK,VCT,2026-07,0,
SEDOL:BD20L05,RDL Realisation,UK,Debt - Direct Lending,2019-05,86,
SEDOL:BKTRRM2,RTW Biotech Opportunities,UK,Biotechnology & Healthcare,2026-07,0,
SEDOL:BYZKH01,Ranger Direct Lending C shares,UK,Sector Specialist: Debt,2017-02,113,
SEDOL:BJHPS39,Riverstone Credit Opportunities Income,UK,Debt - Direct Lending,2026-07,0,
SEDOL:BGHVZM4,SDCL Efficiency Income,UK,Renewable Energy Infrastructure,2026-07,0,
SEDOL:BYYJCZ9,SME Credit Realisation Fund,UK,Debt - Direct Lending,2023-02,41,
SEDOL:BMPHJ80,Sanditon Investment,UK,UK All Companies,2019-11,80,
SEDOL:BYT2554,ScotGems,UK,Global Emerging Markets,2022-08,47,
SEDOL:782609,Scottish Investment Trust,UK,Global,2022-07,48,
SEDOL:BKPG013,Seraphim Space Investment Trust,UK,Growth Capital,2026-07,0,
SEDOL:BW6HS59,Seraphim Space Investment Trust C shares,UK,Growth Capital,2026-07,0,
SEDOL:B1RMC54,Tetragon Financial Group,UK,Flexible Investment,2026-07,0,
SEDOL:461823,Threadneedle UK Select Trust,UK,UK All Companies,2017-05,110,
SEDOL:BDTYGZ0,Triple Point Venture VCT Venture shares,UK,VCT,2026-07,0,
SEDOL:BDFC164,Tufton Assets,UK,Leasing,2026-07,0,
SEDOL:BJCWFX4,US Solar Fund,UK,Renewable Energy Infrastructure,2026-07,0,
SEDOL:B0HW611,Ukraine Opportunity,UK,Country Specialists: Europe,2015-10,129,
SEDOL:B1GHHH7,Volta Finance,UK,Debt - Structured Finance,2026-07,0,
