security_id,name,market,verdict,gates_passed,gate1_dislocation,gate2_catalyst,gate3_return,data_fully_sound,z_adj,discount_est,basis,staleness_days,catalyst_class,catalyst_date,catalyst_headline,catalyst_weight,irr_central,irr_discount_only,g_used,g_source,hurdle,evaluated_at,why,driver,scope,window_days,delta_d,price_ret,nav_ret,sector_delta,sector_n,volume_ratio
ASX:BTI,Bailador Technology Investments Limited,AU,WATCH,2,True,False,True,True,-4.39,-0.5841,0,10,,,,,0.2998,0.1063,0.1245,panel_tr_cagr,0.15,2026-09-20T23:37:57+00:00,"Discount widened 12.0pt over 18d (-46.4% → -58.4%): price -5.7%, NAV +21.5% → NAV-led; sector median -1.9pt (n=15) → idiosyncratic; volume 0.4× its 60d average",NAV-led,idiosyncratic,18,-0.11961200000000005,-0.05670103662920378,0.2145824983078657,-0.018736,15,0.367129132638502
ASX:MXT,Metrics Master Income Trust,AU,WATCH,2,True,False,True,True,-3.69,-0.1192,1,2,,,,,0.2235,0.0278,0.1268,panel_tr_cagr,0.15,2026-09-20T23:37:57+00:00,"Discount widened 6.5pt over 18d (-5.4% → -11.9%): price -7.6%, NAV -0.7% → price-led; sector median -6.4pt (n=6) → sector-wide; volume 1.2× its 60d average",price-led,sector-wide,18,-0.065499,-0.07571800721406063,-0.006988486934761062,-0.0644325,6,1.2459375519776277
SEDOL:BYSX150,Residential Secure Income REIT,UK,WATCH,2,True,False,True,True,-3.23,-0.884,0,124,,,,,0.5529,0.4824,0.0476,market_median,0.15,2026-09-20T23:37:57+00:00,"Discount widened 1.8pt over 21d (-86.9% → -88.7%): price -13.4%, NAV +0.0% → price-led; sector: too few peers with history (n=2); volume 3.3× its 60d average; 3 holder notices in 30d, churn",price-led,unknown,21,-0.017571883460584137,-0.13414633295353062,0.0,,2,3.258787900701618
ASX:MOT,Metrics Income Opportunities Trust,AU,WATCH,2,True,False,True,True,-2.39,-0.2652,1,2,,,,,0.2803,0.0559,0.1438,panel_tr_cagr,0.15,2026-09-20T23:37:57+00:00,"Discount widened 1.1pt over 18d (-25.4% → -26.5%): price -2.2%, NAV -0.7% → price-led; sector median -6.5pt (n=6) → sector-wide; volume 1.5× its 60d average",price-led,sector-wide,18,-0.011073999999999973,-0.021671805829548196,-0.006926292572361881,-0.06498050000000001,6,1.532665526375422
ASX:ECP,ECP Emerging Growth Limited,AU,WATCH,2,True,False,True,True,-2.27,-0.3627,0,8,,,,,0.1899,0.0433,0.0739,panel_tr_cagr,0.15,2026-09-20T23:37:57+00:00,"Discount widened 5.7pt over 18d (-30.6% → -36.3%): price -12.2%, NAV -4.3% → price-led; sector median -1.9pt (n=15) → partly sector; volume 0.4× its 60d average",price-led,partly sector,18,-0.056836,-0.12162166516044115,-0.04328031042740044,-0.018736,15,0.3503704955150543
ASX:TCF,360 Capital Mortgage REIT,AU,WATCH,2,True,False,True,True,-2.11,-0.1619,0,6,,,,,0.2298,0.0284,0.116,panel_tr_cagr,0.15,2026-09-20T23:37:57+00:00,"Discount widened 6.4pt over 18d (-9.8% → -16.2%): price -7.6%, NAV -0.5% → price-led; sector median -6.5pt (n=6) → sector-wide; volume 1.2× its 60d average",price-led,sector-wide,18,-0.064403,-0.0759259846311855,-0.004916088889037495,-0.06498050000000001,6,1.2202616028743654
ASX:CAM,Clime Capital Limited,AU,WATCH,2,True,False,True,True,-2.03,-0.1879,0,15,,,,,0.2154,0.0388,0.1093,panel_tr_cagr,0.15,2026-09-20T23:37:57+00:00,"Discount narrowed 0.6pt over 18d (-19.4% → -18.8%): price -2.2%, NAV -2.9% → mixed; sector median +0.2pt (n=19) → idiosyncratic; volume 0.4× its 60d average",mixed,idiosyncratic,18,0.005982000000000015,-0.02189778925938224,-0.029103362244477737,0.001567999999999986,19,0.38238588944824237
SEDOL:BYWYZ46,Sure Ventures,UK,WATCH,2,True,False,True,True,-1.69,-0.7668,3,59,,,,,0.5395,0.3387,0.15,sector_median,0.15,2026-09-20T23:37:57+00:00,"Discount widened 2.1pt over 21d (-74.6% → -76.7%): price -8.3%, NAV +0.0% → price-led; sector: too few peers with history (n=3)",price-led,unknown,21,-0.021197218924877137,-0.08333333333333337,0.0,,3,
SEDOL:914327,JPMorgan Global Growth & Income,UK,WATCH,2,True,True,False,True,-1.57,-0.0378,0,1,manager_exit,2026-09-02,Retirement of Portfolio Manager,-2.0,0.1007,0.0088,0.0781,own_nav_history,0.15,2026-09-20T23:37:57+00:00,"Discount widened 1.3pt over 21d (-1.0% → -2.3%): price -4.7%, NAV -3.4% → mixed; sector median -0.8pt (n=5) → sector-wide; volume 1.3× its 60d average",mixed,sector-wide,21,-0.013008928219992555,-0.046511627906976716,-0.03381274407086399,-0.008272453713198513,5,1.331988285619379
SEDOL:BGHVZM4,SDCL Efficiency Income,UK,WATCH,2,False,True,True,True,-1.34,-0.5296,0,124,substantial_holder,2026-09-18,TR-1 Notification of Major Holdings,2.0,0.1671,0.1141,0.0476,market_median,0.15,2026-09-20T23:37:57+00:00,"Discount narrowed 0.0pt over 21d (-53.0% → -53.0%): price +0.0%, NAV +0.0% → flat; sector median +0.4pt (n=10) → flat; volume 0.5× its 60d average",flat,flat,21,0.0,0.0,0.0,0.004214979197880997,10,0.5362934093384321
SEDOL:BD6H5D3,AVI Japan Opportunity Trust,UK,WATCH,2,False,True,True,True,-1.23,-0.0535,0,2,takeover_offer,2026-09-09,Tender Offer for Largest Portfolio Holding,5.0,0.1514,0.006,0.1211,own_nav_history,0.15,2026-09-20T23:37:57+00:00,"Discount narrowed 0.7pt over 21d (-5.0% → -4.4%): price +4.4%, NAV +3.7% → mixed; sector: too few peers with history (n=2); volume 1.9× its 60d average",mixed,unknown,21,0.006573336011377107,0.044378698224851965,0.037199370645088825,,2,1.9332260183057421
ASX:TGF,Tribeca Global Natural Resources Limited,AU,WATCH,2,False,True,True,False,-0.24,-0.2436,0,6,discount_control,2026-09-09,Continuation of On-Market Share Buy-Back,3.0,0.2138,0.0106,0.15,panel_tr_cagr,0.15,2026-09-20T23:37:57+00:00,"Discount widened 2.0pt over 18d (-22.3% → -24.4%): price -6.3%, NAV -3.8% → mixed; sector median +1.8pt (n=16) → idiosyncratic; volume 1.3× its 60d average",mixed,idiosyncratic,18,-0.02043800000000001,-0.06315783661818364,-0.037843810705445846,0.018154999999999998,16,1.2573094207266946
ASX:SNC,Sandon Capital Investments Limited,AU,WATCH,2,False,True,True,False,0.19,-0.0951,0,15,substantial_holder,2026-09-09,Change in substantial holding,2.0,0.1605,-0.0072,0.1074,panel_tr_cagr,0.15,2026-09-20T23:37:57+00:00,"Discount widened 6.6pt over 18d (-3.0% → -9.5%): price +1.4%, NAV +8.7% → NAV-led; sector median -1.9pt (n=15) → idiosyncratic; volume 0.3× its 60d average",NAV-led,idiosyncratic,18,-0.06550199999999999,0.013698616715036138,0.08707933499137965,-0.018736,15,0.31360468486566606
ASX:MA1,MA Credit Income Trust,AU,WATCH,2,False,True,True,False,1.87,-0.0352,1,2,distribution_policy,2026-09-08,Revised Distribution - August 2026,2.0,0.1998,-0.0172,0.1281,panel_tr_cagr,0.15,2026-09-20T23:37:57+00:00,"Discount widened 0.9pt over 18d (-2.6% → -3.5%): price -1.3%, NAV -0.3% → price-led; sector median -0.8pt (n=5) → sector-wide; volume 1.1× its 60d average",price-led,sector-wide,18,-0.009127000000000003,-0.012755150449419217,-0.003415652173913153,-0.007566,5,1.058762191513281
ASX:IBC,Ironbark Capital Limited,AU,WATCH,2,False,True,True,True,3.63,-0.0337,0,6,substantial_holder,2026-09-01,Change in substantial holding,2.0,0.1524,-0.034,0.143,panel_tr_cagr,0.15,2026-09-20T23:37:57+00:00,"Discount narrowed 22.2pt over 5d (-25.6% → -3.4%): price -1.1%, NAV -23.9% → NAV-led; sector median +0.2pt (n=19) → idiosyncratic; volume 0.5× its 60d average",NAV-led,idiosyncratic,5,0.222136,-0.011494241848790776,-0.23873715903550574,0.001567999999999986,19,0.4590549198067658
ASX:MRE,Metrics Real Estate Multi-Strategy Fund,AU,WATCH,1,False,False,True,False,-2.6,-0.3487,0,15,,,,,0.2274,0.0591,0.116,sector_median,0.15,2026-09-20T23:37:57+00:00,"Discount widened 6.4pt over 18d (-28.4% → -34.9%): price -8.5%, NAV +0.5% → price-led; sector median -6.5pt (n=6) → sector-wide; volume 0.8× its 60d average",price-led,sector-wide,18,-0.06446200000000002,-0.08516488249010101,0.005387549648039558,-0.06495100000000001,6,0.8056702213836654
SEDOL:B01RDH7,BlackRock Greater Europe,UK,WATCH,1,True,False,False,True,-2.13,-0.0843,0,2,,,,,0.088,0.0064,0.0606,own_nav_history,0.15,2026-09-20T23:37:57+00:00,"Discount narrowed 0.0pt over 21d (-7.2% → -7.1%): price -4.5%, NAV -4.5% → mixed; sector: too few peers with history (n=3); volume 1.0× its 60d average",mixed,unknown,21,0.0004531726046597129,-0.04470198675496684,-0.04516813180057788,,3,0.9783694928670372
SEDOL:B1Z2SL4,Crystal Amber Fund,UK,WATCH,1,True,False,False,True,-2.13,-0.5528,0,59,,,,,0.1281,0.0939,0.0313,own_nav_history,0.15,2026-09-20T23:37:57+00:00,"Discount widened 4.8pt over 21d (-50.5% → -55.3%): price -8.6%, NAV +1.2% → price-led; sector median -0.3pt (n=16) → idiosyncratic; volume 4.9× its 60d average",price-led,idiosyncratic,21,-0.04826534200338206,-0.08620689655172409,0.012415285608519788,-0.003365290311675484,16,4.888473378534239
SEDOL:B0BDCB2,Strategic Equity Capital,UK,WATCH,1,True,False,False,True,-2.01,-0.1158,0,2,,,,,0.0474,0.0074,0.018,own_nav_history,0.15,2026-09-20T23:37:57+00:00,"Discount widened 2.6pt over 21d (-8.3% → -10.9%): price +5.0%, NAV +8.0% → mixed; sector median -0.8pt (n=15) → partly sector; volume 2.0× its 60d average",mixed,partly sector,21,-0.025891322266092698,0.050000000000000044,0.08049638161247574,-0.007824093579896552,15,1.9595662388827444
ASX:LF1,La Trobe Private Credit Fund,AU,WATCH,1,False,False,True,False,-1.89,-0.0561,0,15,,,,,0.1884,0.0101,0.1161,sector_median,0.15,2026-09-20T23:37:57+00:00,"Discount widened 2.6pt over 18d (-3.0% → -5.6%): price -3.1%, NAV -0.5% → price-led; sector median -0.8pt (n=5) → idiosyncratic; volume 0.8× its 60d average",price-led,idiosyncratic,18,-0.025664999999999997,-0.03141358315606413,-0.005076142131979711,-0.007566,5,0.8014416265287267
