security_id,market,name,price,price_source,nav_anchor,anchor_date,anchor_source,nav_prev,nav_jump,unit_check_status,data_quality_reason,z_adj
ASX:HCF,AU,H&G High Conviction Limited,0.029999999329447746,yahoo:HCF.AX,4.12,2026-07-31,asx_ann:03122969,0.011,373.54545454545456,suspect_scale,nav_jump_37355%_vs_prior,-1.7068
ASX:WAR,AU,WAM Strategic Value Limited,1.1349999904632568,yahoo:WAR.AX,1.76,2026-08-10,asx_ann:03123923,1.2509,0.40698696938204504,ok,nav_jump_41%_vs_prior,-3.4603
ASX:TEK,AU,Thorney Technologies Ltd,0.10000000149011612,yahoo:TEK.AX,2.0,2026-07-31,asx_ann:03124570,0.219,8.132420091324201,suspect_scale,nav_jump_813%_vs_prior,-6.0533
ASX:ALI,AU,Argo Global Listed Infrastructure Limited,2.5,yahoo:ALI.AX,5.0,2026-08-24,asx_ann:03129550,2.75,0.8181818181818182,ok,nav_jump_82%_vs_prior,-10.4444
ASX:CD3,AU,Cd Private Equity Fund III,0.8299999833106995,yahoo:CD3.AX,0.26,2026-07-31,asx_ann:03127085,1.58,0.8354430379746836,extreme,nav_jump_84%_vs_prior,32.4386
ASX:GC1,AU,Glennon Small Companies Limited,0.41999998688697815,yahoo:GC1.AX,0.0763,2026-08-27,asx_ann:03132480,0.71,0.8925352112676056,extreme,nav_jump_89%_vs_prior,12.3097
ASX:AIX,AU,AI Private Opportunities Trust,9.449999809265137,yahoo:AIX.AX,,,,,,no_data,nav_not_positive,
ASX:IBC,AU,Ironbark Capital Limited,0.4300000071525574,yahoo:IBC.AX,0.0,2026-08-14,asx_ann:03125205,,,no_data,nav_not_positive,
ASX:NEW,AU,New Energy Solar,,none,,,,,,no_data,nav_not_positive,
ASX:GLS,AU,L1 Global Long Short Fund Limited,2.0899999141693115,yahoo:GLS.AX,0.02,2026-09-04,own_nav_history:2026-09-04,1.722,0.9883855981416957,suspect_scale,nav_unit_mismatch_0x_vs_prior,1844.6529
ASX:PCX,AU,Pengana Global Private Credit Trust,1.9800000190734863,yahoo:PCX.AX,0.019825,2026-08-31,own_nav_history:2026-08-31,1.9825,0.99,suspect_scale,nav_unit_mismatch_0x_vs_prior,5029.1885
ASX:BHD,AU,Benjamin Hornigold Limited,0.2549999952316284,yahoo:BHD.AX,20.26,2026-08-14,asx_ann:03125294,0.2828,70.64073550212164,suspect_scale,nav_unit_mismatch_72x_vs_prior,-6.4955
ASX:8EC,AU,8IP Emerging Companies Limited,1.3530000000000002,aggregator_panel,0.7352,2021-08-31,own_nav_history:2021-08-31,0.7562,0.02777043110288286,extreme,stale_panel_price_only,0.2341
ASX:AWQ,AU,Arowana Australasian Value Opportunities Fund Limited,1.07,aggregator_panel,1.07,2017-10-31,own_nav_history:2017-10-31,1.1672727272727275,0.08333333333333343,ok,stale_panel_price_only,2.7336
ASX:AYF,AU,Australian Enhanced Income Fund,5.2,aggregator_panel,5.453591549295775,2020-08-31,aggregator_panel:2020-08,5.833113043478261,0.06506328462240439,ok,stale_panel_price_only,0.0359
ASX:BAF,AU,Blue Sky Alternatives Access Fund Limited,0.905,aggregator_panel,1.11428125,2020-08-31,aggregator_panel:2020-08,1.2661509933774835,0.1199459970981565,ok,stale_panel_price_only,0.6285
ASX:CMI,AU,CMI Limited,1.415,aggregator_panel,0.6197,2018-12-31,own_nav_history:2018-12-31,1.2092807692307692,0.48754663452210945,extreme,stale_panel_price_only,9.8052
ASX:CIE,AU,Contango Income Generator  Limited,0.62,aggregator_panel,0.775,2021-06-30,own_nav_history:2021-06-30,0.741,0.04588394062078277,ok,stale_panel_price_only,-3.3496
ASX:D2O,AU,Duxton Water Limited,1.48,aggregator_panel,1.2288484848484849,2019-03-31,aggregator_panel:2019-03,1.5482876712328766,0.20631772268135898,ok,stale_panel_price_only,3.2066
ASX:EMF,AU,Emerging Markets Masters Fund,1.46,aggregator_panel,1.5116161616161614,2018-05-31,aggregator_panel:2018-05,1.9429906542056077,0.22201573211674241,ok,stale_panel_price_only,-2.2219
ASX:HHV,AU,Hunter Hall Global Value Limited,1.155,aggregator_panel,1.1701075949367088,2017-10-31,aggregator_panel:2017-10,1.2407592920353983,0.05694230746625253,ok,stale_panel_price_only,0.8516
ASX:HGV,AU,Hygrovest Limited,0.039,aggregator_panel,0.10970000000000002,2024-08-31,aggregator_panel:2024-08,0.09861428571428571,0.11241489207590928,ok,stale_panel_price_only,-0.5933
ASX:MMJ,AU,MMJ Group Holdings Limited,0.066,aggregator_panel,0.1607913043478261,2021-10-31,aggregator_panel:2021-10,0.1551615384615385,0.036283256418491346,ok,stale_panel_price_only,-0.9227
ASX:MHH,AU,Magellan High Conviction Trust,1.71,aggregator_panel,1.8111,2021-08-27,own_nav_history:2021-08-27,1.9185872204472842,0.05602415115755102,ok,stale_panel_price_only,0.144
ASX:PMC,AU,Platinum Capital Limited,1.683,aggregator_panel,1.6346,2025-11-28,own_nav_history:2025-11-28,1.6334,0.0007346638912697992,ok,stale_panel_price_only,1.7059
ASX:USF,AU,Us Select Private Opportunities Fund,1.94,aggregator_panel,1.88,2017-09-30,aggregator_panel:2017-09,1.9193617021276594,0.02050770424564903,ok,stale_panel_price_only,-0.1182
ASX:USG,AU,Us Select Private Opportunities Fund II,2.17,aggregator_panel,2.098349056603773,2017-09-30,aggregator_panel:2017-09,2.12,0.010212709149163718,ok,stale_panel_price_only,0.6406
ASX:USP,AU,Us Select Private Opportunities Fund Iii,1.56,aggregator_panel,1.5706122448979594,2017-09-30,aggregator_panel:2017-09,1.4206711409395971,0.10554244373486384,ok,stale_panel_price_only,-1.6995
ASX:VG8,AU,VGI Partners Asian Investments Limited,1.94,aggregator_panel,2.4014054054054053,2022-09-30,aggregator_panel:2022-09,2.31005291005291,0.03954562900050751,ok,stale_panel_price_only,-0.6233
ASX:VG1,AU,VGI Partners Global Investments Limited,1.9,aggregator_panel,2.23,2025-09-30,aggregator_panel:2025-09,2.05,0.08780487804878058,ok,stale_panel_price_only,-0.5954
ASX:ABW,AU,Aurora Absolute Return Fund,0.19,aggregator_panel,0.1425,2021-02-25,own_nav_history:2021-02-25,0.145,0.017241379310344845,ok,stale_panel_price_only,1.748
ASX:AIB,AU,Aurora Global Income Trust,0.1,aggregator_panel,0.1145,2023-08-31,aggregator_panel:2023-08,0.1145,0.0,ok,stale_panel_price_only,0.1262
ASX:ALF,AU,Australian Leaders Fund Limited,1.005,aggregator_panel,1.0828382352941175,2021-01-31,aggregator_panel:2021-01,1.0946341463414637,0.010776121946105065,ok,stale_panel_price_only,2.2298
ASX:AQF,AU,Australian Governance Masters Index Fund Limited,1.85,aggregator_panel,2.035,2018-05-31,aggregator_panel:2018-05,1.7626943005181348,0.15448265726043506,ok,stale_panel_price_only,-2.6559
ASX:AUF,AU,Asian Masters Fund Limited,1.26,aggregator_panel,1.4143873517786563,2018-03-31,aggregator_panel:2018-03,1.2560915492957747,0.12602250414918387,ok,stale_panel_price_only,-2.65
ASX:AUP,AU,Aurora Property Buy-Write Income Trust,2.99,aggregator_panel,3.51,2022-04-28,own_nav_history:2022-04-28,3.4519,0.016831310292882064,ok,stale_panel_price_only,1.1525
ASX:AYD,AU,Australian Masters Yield Fund No 1 Limited,1.2898400366306302,aggregator_panel,1.177966155902463,2017-04-30,aggregator_panel:2017-04,9.949759999999998,0.881608585945544,ok,stale_panel_price_only,
ASX:AYJ,AU,Australian Masters Yield Fund No 3 Limited,0.158157,aggregator_panel,0.15999954871663116,2018-02-28,aggregator_panel:2018-02,14.820512820512821,0.9892041826990509,ok,stale_panel_price_only,1.0379
ASX:AYK,AU,Australian Masters Yield Fund No 4 Limited,21.4,aggregator_panel,0.03,2019-10-31,own_nav_history:2019-10-31,24.49552988448016,0.9987752867506243,suspect_scale,stale_panel_price_only,7837.4407
