security_id,name,market,basis,staleness_days,z_adj,z_status,z_source,g_used,irr_central,nav_ok,z_ok,growth_ok,irr_ok,signal_complete,blockers
ASX:TCF,360 Capital Mortgage REIT,AU,0.0,7.0,-2.2368,computed,aggregator_panel,0.116,0.2316,True,True,True,True,True,
ASX:8IH,8I Holdings Ltd,AU,0.0,8.0,-0.3233,within_error_band,aggregator_panel,0.0172,0.0932,True,True,True,True,True,
ASX:AIX,AI Private Opportunities Trust,AU,3.0,37.0,,insufficient_history_1m,aggregator_panel,0.1351,0.1321,True,False,True,True,False,z:insufficient_history_1m
ASX:AMH,AMCIL Limited,AU,1.0,2.0,-0.7522,computed,aggregator_panel,0.1063,0.1502,True,True,True,True,True,
ASX:ACQ,Acorn Capital Investment Fund Limited,AU,1.0,37.0,0.3799,within_error_band,aggregator_panel,0.0997,0.1742,True,True,True,True,True,
ASX:AIQ,Alternative Investment Trust,AU,0.0,16.0,0.3045,within_error_band,aggregator_panel,0.15,0.1757,True,True,True,True,True,
ASX:ALI,Argo Global Listed Infrastructure Limited,AU,0.0,6.0,-10.2659,computed,aggregator_panel,0.1384,0.3218,True,True,True,True,True,
ASX:ARG,Argo Investments Limited,AU,0.0,6.0,-0.6971,computed,aggregator_panel,0.1487,0.2066,True,True,True,True,True,
ASX:AFI,Australian Foundation Investment Company Limited,AU,1.0,2.0,-1.0023,computed,aggregator_panel,0.1381,0.2015,True,True,True,True,True,
ASX:AUI,Australian United Investment Company Limited,AU,0.0,7.0,0.1703,within_error_band,aggregator_panel,0.15,0.1822,True,True,True,True,True,
ASX:BKI,BKI Investment Company Limited,AU,1.0,2.0,-0.8046,computed,aggregator_panel,0.15,0.1991,True,True,True,True,True,
ASX:BTI,Bailador Technology Investments Limited,AU,0.0,11.0,-4.3922,computed,aggregator_panel,0.1245,0.2998,True,True,True,True,True,
ASX:BHD,Benjamin Hornigold Limited,AU,0.0,6.0,-6.4857,computed,aggregator_panel,0.15,1.5739,True,True,True,True,True,
ASX:BEL,Bentley Capital Limited,AU,1.0,60.0,-0.2268,within_error_band,aggregator_panel,-0.05,-0.0988,True,True,True,True,True,
ASX:CDM,Cadence Capital Limited,AU,1.0,37.0,2.3176,computed,aggregator_panel,0.1167,0.1551,True,True,True,True,True,
ASX:CDO,Cadence Opportunities Fund Limited,AU,0.0,11.0,1.4487,computed,aggregator_panel,0.0878,0.1024,True,True,True,True,True,
ASX:CIN,Carlton Investments Limited,AU,1.0,37.0,0.1783,within_error_band,aggregator_panel,0.1406,0.1725,True,True,True,True,True,
ASX:CD1,Cd Private Equity Fund I,AU,0.0,16.0,17.9744,computed,aggregator_panel,0.1021,-0.0769,True,True,True,True,True,
ASX:CD2,Cd Private Equity Fund II,AU,0.0,16.0,-1.8687,within_error_band,aggregator_panel,0.0875,0.133,True,True,True,True,True,
ASX:CD3,Cd Private Equity Fund III,AU,0.0,16.0,29.9979,computed,aggregator_panel,0.1319,-0.16,True,True,True,True,True,
ASX:CAM,Clime Capital Limited,AU,0.0,16.0,-2.0268,computed,aggregator_panel,0.1093,0.2154,True,True,True,True,True,
ASX:DJW,Djerriwarrh Investments Limited,AU,1.0,2.0,-0.3516,within_error_band,aggregator_panel,0.1271,0.1747,True,True,True,True,True,
ASX:DN1,Dominion Income Trust 1,AU,0.0,13.0,-1.0939,within_error_band,aggregator_panel,0.116,0.1781,True,True,True,True,True,
ASX:ECP,ECP Emerging Growth Limited,AU,0.0,9.0,-2.9589,computed,aggregator_panel,0.0739,0.2039,True,True,True,True,True,
ASX:ECL,Excelsior Capital Ltd,AU,0.0,16.0,213.5372,computed,aggregator_panel,0.15,-0.4768,True,True,True,True,True,
ASX:FPC,Fat Prophets Global Contrarian Fund Ltd,AU,0.0,16.0,-1.1186,within_error_band,aggregator_panel,0.15,0.1901,True,True,True,True,True,
ASX:FSI,Flagship Investments Limited,AU,0.0,13.0,-0.9388,within_error_band,aggregator_panel,0.0767,0.1702,True,True,True,True,True,
ASX:FGX,Future Generation Australia Limited,AU,1.0,37.0,1.4473,within_error_band,aggregator_panel,0.1285,0.159,True,True,True,True,True,
ASX:FGG,Future Generation Global Limited,AU,1.0,37.0,3.0289,computed,aggregator_panel,0.1323,0.1281,True,True,True,True,True,
ASX:GC1,Glennon Small Companies Limited,AU,0.0,6.0,10.7672,computed,aggregator_panel,0.15,-0.114,True,True,True,True,True,
ASX:GFL,Global Masters Fund Limited,AU,0.0,9.0,-0.6221,within_error_band,aggregator_panel,0.1358,0.1631,True,True,True,True,True,
ASX:GCI,Gryphon Capital Income Trust,AU,1.0,2.0,-37.6331,computed,aggregator_panel,0.1037,0.7768,True,True,True,True,True,
ASX:HCF,H&G High Conviction Limited,AU,0.0,16.0,-1.7068,history_stale_2026-02,aggregator_panel,0.15,2.0618,True,True,True,True,True,
ASX:HM1,Hearts and Minds Investments Limited,AU,1.0,37.0,-0.4227,within_error_band,aggregator_panel,0.1351,0.2171,True,True,True,True,True,
ASX:IBC,Ironbark Capital Limited,AU,0.0,7.0,3.6307,computed,aggregator_panel,0.143,0.1524,True,True,True,True,True,
ASX:KKC,KKR Credit Income Fund,AU,0.0,6.0,-0.5528,within_error_band,aggregator_panel,0.1219,0.1965,True,True,True,True,True,
ASX:KIT,Kapstream Investment Trust,AU,0.0,6.0,,insufficient_history_5m,aggregator_panel,0.1161,0.6931,True,False,True,True,False,z:insufficient_history_5m
ASX:KAT,Katana Capital Limited,AU,0.0,16.0,0.8523,within_error_band,aggregator_panel,0.1063,0.1104,True,True,True,True,True,
ASX:GLS,L1 Global Long Short Fund Limited,AU,3.0,12.0,1774.5925,computed_growing_9m,aggregator_panel,0.1287,-0.4347,True,True,True,True,True,
ASX:LGF,L1 Gold Fund Limited,AU,3.0,37.0,,insufficient_history_4m,aggregator_panel,0.1351,0.0858,True,False,True,True,False,z:insufficient_history_4m
ASX:LSF,L1 Long Short Fund Limited,AU,0.0,7.0,2.771,computed,aggregator_panel,0.15,0.1528,True,True,True,True,True,
ASX:LF1,La Trobe Private Credit Fund,AU,0.0,16.0,-1.6766,within_error_band,aggregator_panel,0.1161,0.1872,True,True,True,True,True,
ASX:LSX,Lion Selection Group Limited,AU,0.0,16.0,-0.0414,within_error_band,aggregator_panel,0.15,0.1326,True,True,True,True,True,
ASX:LRT,Lowell Resources Fund,AU,0.0,5.0,-0.6276,within_error_band,aggregator_panel,0.15,0.2251,True,True,True,True,True,
ASX:MA1,MA Credit Income Trust,AU,1.0,2.0,1.8051,history_stale_2021-04,aggregator_panel,0.1281,0.2006,True,True,True,True,True,
ASX:MFF,MFF Capital Investments Limited,AU,1.0,2.0,6.3069,computed,aggregator_panel,0.15,0.0963,True,True,True,True,True,
ASX:MOT,Metrics Income Opportunities Trust,AU,1.0,2.0,-2.3511,computed,aggregator_panel,0.1438,0.2793,True,True,True,True,True,
ASX:MXT,Metrics Master Income Trust,AU,1.0,2.0,-3.8767,computed,aggregator_panel,0.1268,0.2252,True,True,True,True,True,
ASX:MRE,Metrics Real Estate Multi-Strategy Fund,AU,0.0,16.0,-2.832,computed_growing_22m,aggregator_panel,0.116,0.2342,True,True,True,True,True,
ASX:MIR,Mirrabooka Investments Limited,AU,1.0,2.0,-1.5286,computed,aggregator_panel,0.1009,0.1634,True,True,True,True,True,
ASX:MEC,Morphic Ethical Equities Fund Limited,AU,0.0,7.0,2416.8216,computed,aggregator_panel,0.1382,-0.3772,True,True,True,True,True,
ASX:NGE,NGE Capital Limited,AU,0.0,16.0,-0.38,within_error_band,aggregator_panel,0.15,0.1511,True,True,True,True,True,
ASX:NCC,Naos Emerging Opportunities Company Limited,AU,0.0,16.0,0.0502,within_error_band,aggregator_panel,0.0945,0.1651,True,True,True,True,True,
ASX:NAC,Naos Ex-50 Opportunities Company Limited,AU,0.0,16.0,-0.8482,within_error_band,aggregator_panel,0.1329,0.245,True,True,True,True,True,
