ticker,name,sector,date,usable,close_raw,price_pence,price_ccy,nav_pence,nav_pence_adj,split_factor,nav_date,published_at,nav_age_days,nav_stale,discount,discount_fresh,disc_z,quality,is_vct,security_id
RESI,Residential Secure Income REIT,Property - UK Residential,2026-09-22,True,7.9,7.9,GBp,62.6,62.6,1.0,2025-12-31,2026-02-20,265.0,False,-0.873802,-0.873802,-3.453307,ok,False,SEDOL:BYSX150
SURE,Sure Ventures,Technology & Technology Innovation,2026-09-21,True,27.5,27.5,GBp,117.94,117.94,1.0,2026-06-30,2026-06-30,83.0,False,-0.766831,-0.766831,-1.708131,ok,False,SEDOL:BYWYZ46
OTV2,Octopus Titan VCT,VCT,2026-09-22,True,17.5,17.5,GBp,45.1,45.1,1.0,2026-06-30,2026-09-11,84.0,False,-0.611973,-0.611973,-1.049751,ok,True,SEDOL:B28V934
LMS,LMS Capital,Private Equity,2026-09-21,True,15.6,15.6,GBp,36.0,36.0,1.0,2025-12-31,2026-02-16,264.0,False,-0.566667,-0.566667,0.649546,ok,False,SEDOL:B12MHD2
CRS,Crystal Amber Fund,Flexible Investment,2026-09-22,True,78.5,78.5,GBp,177.77,177.77,1.0,2026-06-30,2026-09-04,84.0,False,-0.558418,-0.558418,-2.358396,ok,False,SEDOL:B1Z2SL4
RGL,Regional REIT,Property - UK Commercial,2026-09-22,True,89.199997,89.199997,GBp,190.7,190.7,1.0,2026-06-30,2026-09-08,84.0,False,-0.53225,-0.53225,-0.376188,ok,False,SEDOL:BYV2ZQ3
RSE,Riverstone Energy,Commodities & Natural Resources,2026-09-22,True,585.0,585.0,GBp,1209.0,1209.0,1.0,2026-03-31,2026-05-18,175.0,False,-0.516129,-0.516129,-1.632198,ok,False,SEDOL:BBHXCL3
DGI9,Digital 9 Infrastructure,Infrastructure,2026-09-22,True,4.44,4.44,GBp,8.6,8.6,1.0,2026-06-30,2026-08-19,84.0,False,-0.483721,-0.483721,0.579348,ok,False,SEDOL:BMDKH43
CHRY,Chrysalis Investments,Growth Capital,2026-09-22,True,68.0,68.0,GBp,131.09,131.09,1.0,2026-06-30,2026-09-02,84.0,False,-0.481272,-0.481272,-1.054393,ok,False,SEDOL:BGJYPP4
MVI,Marwyn Value Investors,UK Smaller Companies,2026-09-21,True,141.0,141.0,GBp,259.935,259.935,1.0,2026-08-31,2026-09-02,21.0,False,-0.457557,-0.457557,1.219398,ok,False,SEDOL:B1DSZV3
SERE,Schroder European Real Estate,Property - Europe,2026-09-22,True,60.0,60.0,GBp,109.3,109.3,1.0,2026-06-30,2026-09-17,84.0,False,-0.451052,-0.451052,-0.688414,ok,False,SEDOL:BY7R8K7
UTLH,UIL,Flexible Investment,2026-09-21,True,150.5,150.5,GBp,267.33,267.33,1.0,2026-09-18,2026-09-20,3.0,False,-0.437025,-0.437025,,ok,False,SEDOL:1610140
API,abrdn Property Income Trust,Property - UK Commercial,2026-09-22,True,1.7,1.7,GBp,2.98,2.98,1.0,2026-06-30,2026-09-18,84.0,False,-0.42953,-0.42953,-0.049027,ok,False,SEDOL:3387528
WINV,Worsley Investors,UK Smaller Companies,2026-09-22,True,28.200001,28.200001,GBp,49.1,49.1,1.0,2026-06-30,2026-09-02,84.0,False,-0.425662,-0.425662,-0.398175,ok,False,SEDOL:B06T260
HAN,Hansa Investment Company,Flexible Investment,2026-09-22,True,330.0,330.0,GBp,549.2,549.2,1.0,2026-09-18,2026-09-22,4.0,False,-0.399126,-0.399126,0.111849,ok,False,SEDOL:787972
HANA,Hansa Investment Company,Flexible Investment,2026-09-22,True,334.0,334.0,GBp,549.2,549.2,1.0,2026-09-18,2026-09-22,4.0,False,-0.391843,-0.391843,,ok,False,SEDOL:2894108
VSL,VPC Specialty Lending Investments,Debt - Direct Lending,2026-09-22,True,12.6,12.6,GBp,20.6,20.6,1.0,2026-06-30,2026-09-01,84.0,False,-0.388349,-0.388349,0.482069,ok,False,SEDOL:BVG6X43
SBO,Schroder British Opportunities,Growth Capital,2026-09-22,True,66.0,66.0,GBp,107.16,107.16,1.0,2026-09-21,2026-09-22,1.0,False,-0.384099,-0.384099,-1.161912,ok,False,SEDOL:BN7JZR2
PSH,Pershing Square Holdings,North America,2026-09-22,True,3706.0,3706.0,GBp,5942.0,5942.0,1.0,2026-09-02,2026-09-04,20.0,False,-0.376304,-0.376304,-1.20043,ok,False,SEDOL:BPFJTF4
NAS,North Atlantic Smaller Companies,North American Smaller Companies,2026-09-22,True,418.0,418.0,GBp,649.15,649.15,1.0,2026-08-31,2026-09-13,22.0,False,-0.356081,-0.356081,-0.140475,ok,False,SEDOL:643900
OCI,Oakley Capital Investments,Private Equity,2026-09-22,True,520.0,520.0,GBp,782.0,782.0,1.0,2026-06-30,2026-09-10,84.0,False,-0.335038,-0.335038,-0.30626,ok,False,SEDOL:7013105
BOOK,Literacy Capital,Private Equity,2026-09-22,True,315.0,315.0,GBp,472.6,472.6,1.0,2026-06-30,2026-09-03,84.0,False,-0.333474,-0.333474,-1.364648,ok,False,SEDOL:BMF1L08
NESF,NextEnergy Solar Fund,Renewable Energy Infrastructure,2026-09-22,True,49.0,49.0,GBp,73.2,73.2,1.0,2026-03-31,2026-09-02,175.0,False,-0.330601,-0.330601,-0.22674,ok,False,SEDOL:BJ0JVY0
RMII,RM Infrastructure Income,Debt - Direct Lending,2026-09-22,True,49.549999,49.549999,GBp,73.33,73.33,1.0,2026-07-29,2026-07-29,55.0,False,-0.324287,-0.324287,-2.401137,ok,False,SEDOL:BYMTBG5
CTPE,CT Private Equity Trust,Private Equity,2026-09-22,True,473.0,473.0,GBp,695.07,695.07,1.0,2026-06-30,2026-08-28,84.0,False,-0.319493,-0.319493,-0.163675,ok,False,SEDOL:3073827
ICGT,ICG Enterprise Trust,Private Equity,2026-09-22,True,1402.0,1402.0,GBp,2045.0,2045.0,1.0,2026-01-31,2026-05-07,234.0,False,-0.314425,-0.314425,-1.077152,ok,False,SEDOL:329200
GSF,Gore Street Energy Storage,Renewable Energy Infrastructure,2026-09-22,True,49.400002,49.400002,GBp,71.94,71.94,1.0,2026-06-30,2026-09-16,84.0,False,-0.313317,-0.313317,1.873227,ok,False,SEDOL:BG0P0V7
EJFZ,EJF Investments,Debt - Structured Finance,2026-09-22,True,118.5,118.5,GBp,172.0,172.0,1.0,2026-08-31,2026-09-21,22.0,False,-0.311047,-0.311047,0.434161,ok,False,SEDOL:BK1WV90
ORIT,Octopus Renewables Infrastructure Trust,Renewable Energy Infrastructure,2026-09-22,True,60.0,60.0,GBp,86.18,86.18,1.0,2026-06-30,2026-09-01,84.0,False,-0.303783,-0.303783,-0.306266,ok,False,SEDOL:BJM0293
NBPE,Neuberger Private Equity Partners,Private Equity,2026-09-22,True,1444.0,1444.0,GBp,2070.0,2070.0,1.0,2026-06-30,2026-09-04,84.0,False,-0.302415,-0.302415,-0.903587,ok,False,SEDOL:B1ZBD49
ENRG,VH Global Energy Infrastructure,Renewable Energy Infrastructure,2026-09-22,True,69.400002,69.400002,GBp,98.84,98.84,1.0,2026-06-30,2026-09-04,84.0,False,-0.297855,-0.297855,-0.450459,ok,False,SEDOL:BNKVP75
PIN,Pantheon International,Private Equity,2026-09-22,True,376.0,376.0,GBp,517.9,517.9,1.0,2026-05-31,2026-08-04,114.0,False,-0.273991,-0.273991,0.556052,ok,False,SEDOL:414850
LIVE,Living REIT,Property - UK Residential,2026-09-22,True,75.300003,75.300003,GBp,103.56,103.56,1.0,2025-12-31,2026-03-26,265.0,False,-0.272885,-0.272885,-0.990605,ok,False,SEDOL:BF0P7H5
FSFL,Foresight Solar Fund,Renewable Energy Infrastructure,2026-09-22,True,70.5,70.5,GBp,94.9,94.9,1.0,2026-06-30,2026-09-01,84.0,False,-0.257113,-0.257113,0.292603,ok,False,SEDOL:BD3QJR5
HVPE,HarbourVest Global Private Equity,Private Equity,2026-09-22,True,3290.0,3290.0,GBp,4390.0,4390.0,1.0,2026-07-31,2026-09-01,53.0,False,-0.250569,-0.250569,1.638706,ok,False,SEDOL:B28XHD6
HGT,HgCapital Trust,Private Equity,2026-09-22,True,399.0,399.0,GBp,530.7,530.7,1.0,2025-12-31,2026-09-14,265.0,False,-0.248163,-0.248163,-1.250827,ok,False,SEDOL:392105
BSRT,Baker Steel Resources Trust,Commodities & Natural Resources,2026-09-22,True,138.0,138.0,GBp,180.7,180.7,1.0,2026-08-31,2026-09-07,22.0,False,-0.236303,-0.236303,1.521031,ok,False,SEDOL:B6686L2
SBSI,Schroder BSC Social Impact,Flexible Investment,2026-09-21,True,78.5,78.5,GBp,101.06,101.06,1.0,2026-03-31,2026-06-22,174.0,False,-0.223234,-0.223234,0.325873,ok,False,SEDOL:BF78131
RCP,RIT Capital Partners,Flexible Investment,2026-09-22,True,2505.0,2505.0,GBp,3221.0,3221.0,1.0,2026-08-31,2026-09-11,22.0,False,-0.222291,-0.222291,-0.188234,ok,False,SEDOL:736639
INOV,Schroders Capital Global Innovation Trust,Growth Capital,2026-09-22,True,16.85,16.85,GBp,21.66,21.66,1.0,2026-03-31,2026-05-07,175.0,False,-0.222068,-0.222068,1.686238,ok,False,SEDOL:BVG1CF2
UTL,UIL,Flexible Investment,2026-09-22,True,207.0,207.0,GBp,264.92,264.92,1.0,2026-09-21,2026-09-21,1.0,False,-0.218632,-0.218632,1.312001,ok,False,SEDOL:B00KTN5
TRIG,Renewables Infrastructure Group,Renewable Energy Infrastructure,2026-09-22,True,79.099998,79.099998,GBp,101.1,101.1,1.0,2026-06-30,2026-09-08,84.0,False,-0.217606,-0.217606,0.705466,ok,False,SEDOL:BBHX2H9
CGL,Castelnau Group,Flexible Investment,2026-09-21,True,89.5,89.5,GBp,113.0,113.0,1.0,2026-07-23,2026-09-04,60.0,False,-0.207965,-0.207965,-1.08796,ok,False,SEDOL:BMWWJM2
EJFI,EJF Investments,Debt - Structured Finance,2026-09-22,True,137.0,137.0,GBp,172.0,172.0,1.0,2026-08-31,2026-09-21,22.0,False,-0.203488,-0.203488,1.046904,ok,False,SEDOL:BF0D1M2
VOF,VinaCapital Vietnam Opportunity,Country Specialist,2026-09-22,True,427.5,427.5,GBp,536.0,536.0,1.0,2026-09-18,2026-09-22,4.0,False,-0.202425,-0.202425,0.234598,ok,False,SEDOL:3351642
ABD,abrdn New Dawn Investment Trust,Asia Pacific,2023-11-08,True,2.26,225.999999,GBp,272.07,272.07,1.0,2023-10-31,2023-11-06,8.0,False,-0.169331,-0.169331,-3.097262,ok,False,NAME:abrdn new dawn|ordinary share
FGEN,Foresight Environmental Infrastructure,Renewable Energy Infrastructure,2026-09-22,True,87.800003,87.800003,GBp,104.7,104.7,1.0,2026-06-30,2026-09-01,84.0,False,-0.161414,-0.161414,1.40988,ok,False,SEDOL:BJL5FH8
UKW,Greencoat UK Wind,Renewable Energy Infrastructure,2026-09-22,True,112.900002,112.900002,GBp,134.1,134.1,1.0,2026-06-30,2026-07-30,84.0,False,-0.158091,-0.158091,0.709694,ok,False,SEDOL:B8SC6K5
BAF,British & American,Global Equity Income,2026-09-22,True,8.0,8.0,GBp,9.5,9.5,1.0,2026-09-08,2026-09-09,14.0,False,-0.157895,-0.157895,-0.826121,ok,False,NAME:british and american|ordinary share
GOT,Global Opportunities Trust,Flexible Investment,2026-09-22,True,339.0,339.0,GBp,401.8,401.8,1.0,2026-09-18,2026-09-22,4.0,False,-0.156297,-0.156297,0.719597,ok,False,SEDOL:3386257
GRID,Gresham House Energy Storage,Renewable Energy Infrastructure,2026-09-22,True,96.800003,96.800003,GBp,114.56,114.56,1.0,2026-03-31,2026-05-22,175.0,False,-0.155028,-0.155028,-0.271831,ok,False,SEDOL:BFX3K77
RMMC,River UK Micro Cap,UK Smaller Companies,2026-09-22,True,252.0,252.0,GBp,298.15,298.15,1.0,2026-09-18,2026-09-22,4.0,False,-0.154788,-0.154788,-0.018044,ok,False,SEDOL:BRGCGK0
RECI,Real Estate Credit Investments,Property - Debt,2026-09-22,True,118.0,118.0,GBp,138.8,138.8,1.0,2026-08-31,2026-09-22,22.0,False,-0.149856,-0.149856,-0.143289,ok,False,SEDOL:B0HW536
LTI,Lindsell Train Investment Trust,Global,2026-09-22,True,5.76,576.000023,GBP,673.64,673.64,1.0,2026-09-17,2026-09-18,5.0,False,-0.144944,-0.144944,-1.417928,ok,False,SEDOL:3197794
RIII,Rights & Issues,Split Capital Trust,2026-09-21,True,2500.0,2500.0,GBp,2920.02,2920.02,1.0,2026-09-21,2026-09-21,0.0,False,-0.143841,-0.143841,0.581236,ok,False,NAME:rights and issues|preference
GABI,GCP Asset Backed Income,Debt - Direct Lending,2026-09-22,True,60.5,60.5,GBp,70.22,70.22,1.0,2025-12-31,2026-07-17,265.0,False,-0.138422,-0.138422,0.983993,ok,False,SEDOL:BYXX8B0
JMF,JPMorgan MidCap,UK All Companies,2024-02-28,True,912.0,912.0,GBp,1057.73,1057.73,1.0,2024-02-23,2024-02-23,5.0,False,-0.137776,-0.137776,-6.271988,ok,False,SEDOL:235761
GCP,GCP Infrastructure Investments,Infrastructure,2026-09-22,True,85.099998,85.099998,GBp,98.6,98.6,1.0,2026-06-30,2026-09-01,84.0,False,-0.136917,-0.136917,2.57795,ok,False,SEDOL:B6173J1
CORD,Cordiant Digital Infrastructure,Infrastructure,2026-09-22,True,126.5,126.5,GBp,146.0,146.0,1.0,2026-03-31,2026-06-19,175.0,False,-0.133562,-0.133562,-0.14143,ok,False,SEDOL:BMC7TM7
VEIL,Ventus VCT D shares,VCT Specialist: Environmental,2026-09-22,True,734.0,734.0,GBp,836.0,836.0,1.0,2026-09-21,2026-09-21,1.0,False,-0.12201,-0.12201,1.28785,ok,True,SEDOL:BFXW773
HRI,Herald Investment Trust,Global Smaller Companies,2026-09-22,True,2930.0,2930.0,GBp,3329.82,3329.82,1.0,2026-09-18,2026-09-22,4.0,False,-0.120073,-0.120073,-0.600666,ok,False,SEDOL:422864
FTV,Foresight VCT,VCT,2026-09-21,True,61.0,61.0,GBp,69.3,69.3,1.0,2026-03-31,2026-06-04,174.0,False,-0.119769,-0.119769,0.474228,ok,True,SEDOL:B1M27S7
FTF,Foresight Enterprise VCT,VCT,2026-09-21,True,42.599998,42.599998,GBp,48.2,48.2,1.0,2026-03-31,2026-06-11,174.0,False,-0.116183,-0.116183,0.444982,ok,True,SEDOL:B07YBS9
ARR,Aurora UK Alpha,UK All Companies,2026-09-22,True,248.0,248.0,GBp,279.25,279.25,1.0,2026-09-18,2026-09-22,4.0,False,-0.111907,-0.111907,-0.738216,ok,False,NAME:aurora uk alpha|ordinary share
GCL,Geiger Counter,Commodities & Natural Resources,2026-09-22,True,55.799999,55.799999,GBp,62.81,62.81,1.0,2026-09-18,2026-09-22,4.0,False,-0.111606,-0.111606,1.742561,ok,False,SEDOL:B15FW33
AFL,Artemis UK Future Leaders,UK Smaller Companies,2026-09-22,True,388.5,388.5,GBp,436.17,436.17,1.0,2026-09-18,2026-09-22,4.0,False,-0.109292,-0.109292,0.7792,ok,False,SEDOL:B1FL3C7
BEMO,Barings Emerging EMEA Opportunities,Global Emerging Markets,2026-09-22,True,865.0,865.0,GBp,970.04,970.04,1.0,2026-09-18,2026-09-22,4.0,False,-0.108284,-0.108284,1.045884,ok,False,SEDOL:3227334
VNH,VietNam Holding,Country Specialist,2026-09-22,True,331.5,331.5,GBp,370.3,370.3,1.0,2026-09-21,2026-09-22,1.0,False,-0.10478,-0.10478,-1.071445,ok,False,SEDOL:BJQZ9H1
ANII,Aberdeen New India Investment Trust,India / Indian Subcontinent,2026-09-22,True,718.0,718.0,GBp,798.02,798.02,1.0,2026-09-18,2026-09-22,4.0,False,-0.100273,-0.100273,1.02641,ok,False,SEDOL:604877
BGS,Baillie Gifford Shin Nippon,Japanese Smaller Companies,2026-09-22,True,172.199997,172.199997,GBp,191.1,191.1,1.0,2026-09-21,2026-09-22,1.0,False,-0.098901,-0.098901,0.688358,ok,False,NAME:baillie gifford shin nippon|ordinary share
BGFD,Baillie Gifford Japan Trust,Japan,2026-09-22,True,1082.0,1082.0,GBp,1197.47,1197.47,1.0,2026-09-21,2026-09-22,1.0,False,-0.096428,-0.096428,0.66704,ok,False,NAME:baillie gifford japan|ordinary share
ATS,Artemis Alpha Trust,UK All Companies,2024-11-28,True,369.0,369.0,GBp,408.37,408.37,1.0,2024-11-28,2024-11-28,0.0,False,-0.096408,-0.096408,0.44794,ok,False,SEDOL:435594
ASL,Aberforth Smaller Companies,UK Smaller Companies,2026-09-22,True,1750.0,1750.0,GBp,1936.56,1936.56,1.0,2026-09-18,2026-09-22,4.0,False,-0.096336,-0.096336,0.698387,ok,False,NAME:aberforth smaller companies|ordinary share
