ticker,name,status,rows_indexed,nav_announcements,top_headlines,nav_bearing_reports
AEET,Parvus Energy Efficiency Trust,details,64,1,,0
AIC,Achilles Investment Company,details,39,18,,0
ALF,Alternative Liquidity Fund,details,514,84,,0
BAF,British & American,details,388,213,,0
BAIL,Bailiwick Investments,not_found,0,0,,0
BBOX,Tritax Big Box REIT,details,2769,0,Form 8.3 - Tritax Big Box REIT plc(675) | Form 8.5 (EPT/NON-RI)-Tritax Big Box REIT plc(179) | Form 8.5 (EPT/RI)-Tritax Big Box REIT plc(105) | Form 8.5 (EPT/NON-RI) Tritax Big Box REIT Plc(97) | Holding(s) in Company(93),19
BHMU,BH Macro,details,1002,183,,0
BOOK,Literacy Capital,details,139,1,,0
BPCR,BioPharma Credit,not_found,0,0,,0
BSRT,Baker Steel Resources Trust,details,455,165,,0
CBA,Ceiba Investments,details,123,14,,0
CGI,Canadian General Investments,details,3700,3179,,0
CGL,Castelnau Group,details,138,49,,0
CHIB,CT UK High Income Trust,details,880,755,,0
CHRY,Chrysalis Investments,details,660,11,,0
CIP,Channel Islands Property,not_found,0,0,,0
CORD,Cordiant Digital Infrastructure,details,235,0,Holding(s) in Company(27) | Director/PDMR Shareholding(21) | Investment Manager Share Purchases(20) | Transaction in Own Shares(17) | Total Voting Rights(12),15
CREI,Custodian Property Income REIT,details,1114,29,,0
CRS,Crystal Amber Fund,details,1214,205,,0
CTPE,CT Private Equity Trust,details,387,1,,0
CVCE,CVC Income & Growth,details,656,274,,0
CVCG,CVC Income & Growth,details,1924,722,,0
DGI9,Digital 9 Infrastructure,details,205,1,,0
EJFI,EJF Investments,details,419,108,,0
ENRG,VH Global Energy Infrastructure,details,470,22,,0
FAIR,Fair Oaks Income 2021,details,1115,151,,0
FGEN,Foresight Environmental Infrastructure,details,558,34,,0
FSFL,Foresight Solar Fund,details,1186,33,,0
GMP,Gabelli Merchant Partners,not_found,0,0,,0
GRID,Gresham House Energy Storage,details,372,2,,0
GROW,Molten Ventures,details,1297,0,Transaction in Own Shares(297) | Holding(s) in Company(112) | Form 8 (DD) - Molten Ventures plc(58) | Form 8.3 - Molten Ventures plc(56) | Form 8.5 (EPT/RI) - Molten Ventures Plc(54),29
GSF,Gore Street Energy Storage,details,288,6,,0
HGT,HgCapital Trust,details,1050,2,,0
HICL,HICL Infrastructure,details,1408,4,,0
HVPE,HarbourVest Global Private Equity,details,1089,138,,0
ICGT,ICG Enterprise Trust,details,732,0,Transaction in Own Shares(265) | ICG Enterprise Trust Plc: Transaction in Own (93) | ICG Enterprise Trust Plc: Notification of Sha(32) | Voting Rights and Capital(28) | Share Buybacks(19),24
IGC,India Capital Growth Fund,details,3359,2785,,0
INPP,International Public Partnerships,details,1344,1,,0
JARA,JPMorgan Global Core Real Assets,not_found,0,0,,0
LABS,Life Science REIT,details,1486,0,Form 8.3 - Life Science REIT plc(346) | Form 8.3 - Life Science REIT Plc(150) | Form 8.5 (EPT/RI)(149) | Holding(s) in Company(137) | Form 8.5 (EPT/RI) - Life Science REIT plc(89),8
LIVE,Living REIT,details,447,6,,0
MNTN,Schiehallion Fund,details,376,105,,0
MVI,Marwyn Value Investors,details,2044,1360,,0
NBPE,Neuberger Private Equity Partners,details,547,6,,0
NESF,NextEnergy Solar Fund,details,795,22,,0
PEY,Partners Group Private Equity,not_found,0,0,,0
PIN,Pantheon International,details,1350,54,,0
PINT,Pantheon Infrastructure,details,212,8,,0
PPET,Patria Private Equity,details,1038,53,,0
PSDL,Phoenix Spree Deutschland,details,464,0,Transaction in Own Shares(233) | Notification of Major Holdings(19) | Holding(s) in Company(12) | Directorate Change(9) | Total Voting Rights(9),24
PSH,Pershing Square Holdings,details,867,86,,0
RCOI,Riverstone Credit Opportunities Income,details,247,0,Holding(s) in Company(45) | Transaction in Own Shares(30) | Portfolio Update(19) | Quarterly Dividend Declaration(10) | Investment and Quarterly Update(9),32
RESI,Residential Secure Income REIT,details,374,10,,0
RGL,Regional REIT,details,320,0,Director/PDMR Shareholding(50) | Holding(s) in Company(32) | Result of AGM(11) | Dividend Declaration(10) | Total Voting Rights(8),27
RMMC,River UK Micro Cap,details,3337,2940,,0
RTW,RTW Biotech Opportunities,not_found,0,0,,0
SBSI,Schroder BSC Social Impact,details,299,8,,0
SEIT,SDCL Efficiency Income,details,492,0,Holding(s) in Company(131) | Transaction in Own Shares(82) | TR-1 Notification of Major Holdings(35) | Director/PDMR Shareholding(31) | Interim Dividend Declaration(21),45
SEQI,Sequoia Economic Infrastructure Income,details,1347,45,,0
SHIP,Tufton Assets,not_found,0,0,,0
SREI,Schroder Real Estate,details,3188,15,,0
SSIC,Seraphim Space Investment Trust C shares,not_found,0,0,,0
SSIT,Seraphim Space Investment Trust,details,249,0,Transaction in Own Shares(36) | Holding(s) in Company(32) | Notice of Results(18) | Director/PDMR Shareholding(17) | Total Voting Rights(7),5
SYNC,Syncona,details,1600,68,,0
TFG,Tetragon Financial Group,not_found,0,0,,0
THRL,Target Healthcare REIT,details,403,53,,0
TORO,Chenavari Toro Income Fund,not_found,0,0,,0
TRIG,Renewables Infrastructure Group,details,1174,13,,0
USF,US Solar Fund,not_found,0,0,,0
UTLI,UIL,details,0,0,,0
VNH,VietNam Holding,details,3626,2389,,0
VOF,VinaCapital Vietnam Opportunity,details,4039,2027,,0
VTA,Volta Finance,not_found,0,0,,0
