ticker,name,sector,nav_route,is_vct,nav_rows_extracted,nav_announcements_indexed,readiness
AAEV,Albion Enterprise VCT,VCT,registry,True,0,0.0,indexed_no_nav_announcements
AAIF,Aberdeen Asian Income Fund,Asia Pacific Equity Income,registry,False,4019,5161.0,archived
AAS,Aberdeen Asia Focus,Asia Pacific Smaller Companies,registry,False,3792,4964.0,archived
AATG,Albion Technology & General VCT,VCT,registry,True,0,0.0,indexed_no_nav_announcements
AEET,Parvus Energy Efficiency Trust,Renewable Energy Infrastructure,announcements_only,False,0,1.0,indexed_not_archived
AEI,Aberdeen Equity Income Trust,UK Equity Income,registry,False,3994,5152.0,archived
AFL,Artemis UK Future Leaders,UK Smaller Companies,registry,False,3606,5165.0,archived
AGT,AVI Global Trust,Global,registry,False,4191,5194.0,archived
AGVI,Aberforth Geared Value & Income Trust,UK Smaller Companies,registry,False,545,546.0,archived
AIC,Achilles Investment Company,Flexible Investment,announcements_only,False,18,18.0,archived
AIE,Ashoka India Equity,India / Indian Subcontinent,registry,False,2036,2044.0,archived
AJOT,AVI Japan Opportunity Trust,Japanese Smaller Companies,registry,False,1981,1989.0,archived
ALF,Alternative Liquidity Fund,Hedge Funds,announcements_only,False,2,84.0,archived
ALW,Alliance Witan,Global,registry,False,3020,5178.0,archived
ANII,Aberdeen New India Investment Trust,India / Indian Subcontinent,registry,False,4008,5177.0,archived
ARR,Aurora UK Alpha,UK All Companies,registry,False,1179,2957.0,archived
ASL,Aberforth Smaller Companies,UK Smaller Companies,registry,False,3849,3926.0,archived
ASLI,abrdn European Logistics Income,Property - Europe,announcements_only,False,16,16.0,archived
ATR,Schroder Asian Total Return,Asia Pacific,registry,False,4619,5152.0,archived
ATT,Allianz Technology Trust,Technology & Technology Innovation,registry,False,4609,5202.0,archived
ATY,Athelney Trust,UK Smaller Companies,registry,False,219,241.0,archived
AUSC,Aberdeen UK Smaller Companies Growth,UK Smaller Companies,registry,False,4000,5141.0,archived
AWEM,Ashoka WhiteOak Emerging Markets,Global Emerging Markets,announcements_only,False,834,844.0,archived
BAF,British & American,Global Equity Income,announcements_only,False,198,213.0,archived
BAIL,Bailiwick Investments,Flexible Investment,announcements_only,False,0,,no_listing_index
BASC,Brown Advisory US Smaller Companies,North American Smaller Companies,registry,False,4576,5275.0,archived
BBOX,Tritax Big Box REIT,Property - UK Logistics,announcements_only,False,0,0.0,indexed_no_nav_announcements
BEMO,Barings Emerging EMEA Opportunities,Global Emerging Markets,registry,False,1176,19702.0,archived
BERI,BlackRock Energy and Resources Income,Commodities & Natural Resources,registry,False,4637,6074.0,archived
BFSP,Blackfinch Spring VCT,VCT,announcements_only,True,0,7.0,indexed_not_archived
BGCG,Baillie Gifford China Growth,China / Greater China,registry,False,4944,5207.0,archived
BGEU,Baillie Gifford European Growth,Europe,registry,False,2668,5222.0,archived
BGFD,Baillie Gifford Japan Trust,Japan,registry,False,4961,5310.0,archived
BGS,Baillie Gifford Shin Nippon,Japanese Smaller Companies,registry,False,4961,5314.0,archived
BGUK,Baillie Gifford UK Growth,UK All Companies,registry,False,4570,5046.0,archived
BHMU,BH Macro,Hedge Funds,announcements_only,False,158,183.0,archived
BIOG,Biotech Growth Trust,Biotechnology & Healthcare,registry,False,2470,5176.0,archived
BIPS,Invesco Bond Income Plus,Debt - Loans & Bonds,registry,False,3426,3610.0,archived
