ticker,symbol,mode,status,rows,first,last,price_ccy
3IN,3IN.L,tail,ok,21,2026-08-03,2026-09-01,GBp
AA4,AA4.L,full,no_history,0,,,
AADV,AADV.L,full,ok,4795,2006-01-03,2024-12-20,GBp
AAEV,AAEV.L,tail,ok,21,2026-08-03,2026-09-01,GBp
AAIF,AAIF.L,tail,ok,21,2026-08-03,2026-09-01,GBp
AAM,AAM.L,full,no_history,0,,,
AAS,AAS.L,tail,ok,21,2026-08-03,2026-09-01,GBp
AATG,AATG.L,tail,ok,21,2026-08-03,2026-09-01,GBp
AAVC,AAVC.L,full,ok,4795,2006-01-03,2024-12-20,GBp
ABD,ABD.L,full,ok,4511,2006-01-03,2023-11-08,GBp
ACD,ACD.L,full,ok,2969,2006-01-03,2018-05-02,
ACI,ACI.L,full,no_history,0,,,
ACIC,ACIC.L,full,no_history,0,,,
ADAM,ADAM.L,full,ok,4261,2009-10-19,2026-09-01,GBp
ADIG,ADIG.L,full,ok,1,2026-04-10,2026-04-10,GBp
AEET,AEET.L,tail,ok,25,2026-07-28,2026-09-01,GBp
AEFS,AEFS.L,full,no_history,0,,,
AEI,AEI.L,tail,ok,21,2026-08-03,2026-09-01,GBp
AEIT,AEIT.L,full,no_history,0,,,
AERI,AERI.L,full,ok,1830,2019-06-05,2026-09-01,EUR
AEWL,AEWL.L,full,no_history,0,,,
AEWU,AEWU.L,tail,ok,25,2026-07-28,2026-09-01,GBp
AFL,AFL.L,tail,ok,21,2026-08-03,2026-09-01,GBp
AFMC,AFMC.L,full,no_history,0,,,
AGIT,AGIT.L,full,no_history,0,,,
AGOL,AGOL.L,full,no_history,0,,,
AGOU,AGOU.L,full,no_history,0,,,
AGT,AGT.L,tail,ok,21,2026-08-03,2026-09-01,GBp
AGVI,AGVI.L,tail,ok,21,2026-08-03,2026-09-01,GBp
AIC,AIC.L,tail,ok,21,2026-08-03,2026-09-01,GBp
AIE,AIE.L,tail,ok,21,2026-08-03,2026-09-01,GBp
AIF,AIF.L,full,no_history,0,,,
AIFZ,AIFZ.L,full,no_history,0,,,
AJG,AJG.L,full,no_history,0,,,
AJIT,AJIT.L,full,no_history,0,,,
AJOT,AJOT.L,tail,ok,21,2026-08-03,2026-09-01,GBp
ALAI,ALAI.L,full,ok,3240,2010-08-13,2023-06-14,GBp
ALF,ALF.L,tail,ok,21,2026-08-03,2026-09-01,USD
ALPH,ALPH.L,full,no_history,0,,,
ALW,ALW.L,tail,ok,21,2026-08-03,2026-09-01,GBp
