market,market_code,ticker,name,security_id,isin,sedol,asx_code,sector,share_type,research_eligible,monitoring_eligible,live_status,live_status_reason,live_status_source,aggregator_status,exclusion_reason,identity_status,identity_ok,identity_reason,identity_incumbent_id,identity_incumbent_name,identity_claimants,identity_same_name,price,price_unit,price_raw,price_raw_ccy,price_unit_note,price_date,price_source,price_age_days,price_age_trading_days,price_is_fresh,price_is_fallback_panel,ticker_status,price_error,nav,nav_unit,nav_stored_raw,nav_effective_date,nav_announcement_date,nav_source,nav_basis,nav_basis_label,nav_age_days,nav_is_published,nav_kind,nav_est_error,nav_staleness_days,nav_rederived,nav_parser_status,nav_announcement_unparsed,nav_parse_failed_recorded,nav_parse_reason,nav_parse_rate,nav_announcements_held,last_parsed_nav_date,discount,discount_stored,price_nav_ratio,unit_check_status,unit_check_reason,suspected_scale_factor,extreme_discount_flag,price_vs_panel_ratio,price_history_check,disc_mu_36m,disc_sigma_36m,zscore_history_ok,zscore_min_months_required,z_adj,z_raw,z_status,data_quality_ok,data_quality_reason,alert_eligible,in_live_table,usable_price,usable_nav,valid_discount,signal_ready,coverage_status,coverage_reason,blocking_issue,recommended_fix
ASX,AU,TCF,360 Capital Mortgage REIT,ASX:TCF,,,TCF,Fixed Income - Australian Dollar,Ordinary,True,True,live,nav_19d_old,own_nav_announcement,live,,sole_claimant,True,,ASX:TCF,360 Capital Mortgage REIT,1,False,5.329999923706055,AUD,5.329999923706055,AUD,unit_canonical,2026-09-01,yahoo:TCF.AX,0.0,0.0,True,False,asx_code,,5.941,AUD,5.941,2026-06-30,2026-08-13,aggregator_panel:2026-06,1.0,1 - factor roll-forward from last published NAV,63.0,False,asx_monthly_report,0.062865,45.0,no,announcement_held_never_parsed,True,False,a NAV/NTA announcement is indexed but no value has been extracted from it,,2.0,,-0.102845,-0.110939,0.897155,ok,,,False,0.9318,ok,-0.050115,0.055051,True,24,,-1.1049,voided_within_error_band,True,,False,True,True,True,True,False,AMBER,z_within_error_band; stale_nav; rolled_forward_nav; monthly_report_nav_not_announcement,z_within_error_band,"none needed - the discount is within its own estimate's error band, so there is no current dislocation to signal"
ASX,AU,8IH,8I Holdings Ltd,ASX:8IH,,,8IH,Equity - Asia,Ordinary,True,True,live,nav_20d_old,own_nav_announcement,live,,sole_claimant,True,,ASX:8IH,8I Holdings Ltd,1,False,0.01899999938905239,AUD,0.01899999938905239,AUD,unit_canonical,2026-08-31,yahoo:8IH.AX,1.0,1.0,True,False,asx_code,,0.0383,AUD,0.0383,2026-08-12,2026-08-12,asx_ann:03124552,0.0,0 - published NAV (issuer announcement),20.0,True,nta_announcement,0.3052,14.0,tier0_announcement,parsed,False,False,,,3.0,2026-08-12,-0.503916,-0.503916,0.496084,ok,,,False,1.5833,ok,-0.561123,0.412193,True,24,,0.1388,voided_within_error_band,True,,False,True,True,True,True,False,AMBER,z_within_error_band,z_within_error_band,"none needed - the discount is within its own estimate's error band, so there is no current dislocation to signal"
ASX,AU,8EC,8IP Emerging Companies Limited,ASX:8EC,,,8EC,Equity - Australia Small/Mid Cap,Ordinary,True,False,delisted,silent_1792d,silence_beyond_grace,delisted,not_live:delisted,sole_claimant,True,,ASX:8EC,8IP Emerging Companies Limited,1,False,1.3530000000000002,AUD,1.3530000000000002,,unit_unstated_assumed_canonical,2021-07,aggregator_panel,1888.0,,False,True,asx_code,,0.7562,AUD,0.7562,2021-07-31,2021-09-14,aggregator_panel:2021-07,1.0,1 - factor roll-forward from last published NAV,1858.0,False,asx_monthly_report,84.423371,1326.0,no,announcement_held_never_parsed,True,False,a NAV/NTA announcement is indexed but no value has been extracted from it,,0.0,,0.789209,13.153716,1.789209,ok,,,False,1.0,ok,0.281777,2.763955,True,24,,4.6571,voided_within_error_band,False,stale_panel_price_only,False,True,False,False,False,False,EXCLUDED,not_live:delisted,,
ASX,AU,AIX,AI Private Opportunities Trust,ASX:AIX,,,AIX,Equity - Global Strategy,Ordinary,True,True,live,no_own_filings_held_deferring_to_registry,registry_deferral_no_own_filings,live,,sole_claimant,True,,ASX:AIX,AI Private Opportunities Trust,1,False,9.5,AUD,9.5,AUD,unit_canonical,2026-09-01,yahoo:AIX.AX,0.0,0.0,True,False,asx_code,,,AUD,,,,,,,,False,stale_historical_anchor,,,no,no_nav_announcement_held,False,False,,,,,,,,no_data,price_or_nav_missing,,False,,no_panel_price_held,,,False,24,,,insufficient_history_0m,False,nav_not_positive,False,True,True,False,False,False,RED,no_nav,no_nav,"no NAV from any source - confirm the fund publishes one, then add its announcement route (Tier 0 harvest / ASX index)"
ASX,AU,AMH,AMCIL Limited,ASX:AMH,,,AMH,Equity - Australia,Ordinary,True,True,live,nav_4d_old,own_nav_announcement,live,,sole_claimant,True,,ASX:AMH,AMCIL Limited,1,False,0.9200000166893005,AUD,0.9200000166893005,AUD,unit_canonical,2026-09-01,yahoo:AMH.AX,0.0,0.0,True,False,asx_code,,1.08,AUD,1.08,2026-08-28,2026-08-23,own_nav_history:2026-08-28,1.0,1 - factor roll-forward from last published NAV,4.0,True,previously_published_nta,0.014042,2.0,no,parsed,False,False,,,14.0,2026-08-28,-0.148148,-0.146946,0.851852,ok,,,False,1.0222,ok,-0.117189,0.029736,True,24,-1.0007,-1.0007,computed,True,,True,True,True,True,True,False,AMBER,rolled_forward_nav,rolled_forward_nav,none needed - the NAV is modelled forward from a published anchor and carries its own error band
ASX,AU,ALR,Aberdeen Leaders Limited,ASX:ALR,,,ALR,Equity - Australia,Ordinary,True,False,delist_candidate,filings_but_no_nav_or_report_9d,own_announcement_only,delisted,not_live:delist_candidate,sole_claimant,True,,ASX:ALR,Aberdeen Leaders Limited,1,False,0.05299999937415123,AUD,0.05299999937415123,AUD,unit_canonical,2026-09-01,yahoo:ALR.AX,0.0,0.0,True,False,asx_code,,1.2695238095238095,AUD,1.2695238095238095,2018-02-28,2018-03-20,aggregator_panel:2018-02,3.0,3 - stale (last published value carried),3107.0,False,asx_monthly_report,0.672104,2219.0,no,announcement_held_never_parsed,True,False,a NAV/NTA announcement is indexed but no value has been extracted from it,,0.0,,-0.958252,-0.958252,0.041748,suspect_scale,"price/NAV 0.04175 is ~0.1x - a unit mismatch (pence/pounds, cents/dollars) or a misparsed NAV, not a market price",0.1,True,0.0427,implausible_vs_panel,,,False,24,,,insufficient_history_15m,False,unit_suspect_scale,False,True,False,False,False,False,EXCLUDED,not_live:delist_candidate,,
ASX,AU,AEG,Absolute Equity Performance Fund Limited,ASX:AEG,,,AEG,Equity - Australia Strategy,Ordinary,True,False,delist_candidate,filings_but_no_nav_or_report_6d,own_announcement_only,delisted,not_live:delist_candidate,sole_claimant,True,,ASX:AEG,Absolute Equity Performance Fund Limited,1,False,0.08399999886751175,AUD,0.08399999886751175,AUD,unit_canonical,2026-09-01,yahoo:AEG.AX,0.0,0.0,True,False,asx_code,,0.99,AUD,0.99,2022-08-31,2022-09-26,aggregator_panel:2022-08,1.0,1 - factor roll-forward from last published NAV,1462.0,False,asx_monthly_report,0.665944,1044.0,no,announcement_held_never_parsed,True,False,a NAV/NTA announcement is indexed but no value has been extracted from it,,0.0,,-0.915152,-0.912019,0.084848,suspect_scale,"price/NAV 0.08485 is ~0.1x - a unit mismatch (pence/pounds, cents/dollars) or a misparsed NAV, not a market price",0.1,True,0.0875,implausible_vs_panel,-0.081109,0.040928,True,24,-20.302,-20.302,computed,False,unit_suspect_scale,False,True,False,False,False,False,EXCLUDED,not_live:delist_candidate,,
ASX,AU,ACQ,Acorn Capital Investment Fund Limited,ASX:ACQ,,,ACQ,Equity - Australia Small/Mid Cap,Ordinary,True,True,live,nav_19d_old,own_nav_announcement,live,,sole_claimant,True,,ASX:ACQ,Acorn Capital Investment Fund Limited,1,False,0.9049999713897705,AUD,0.9049999713897705,AUD,unit_canonical,2026-09-01,yahoo:ACQ.AX,0.0,0.0,True,False,asx_code,,1.1477,AUD,1.1477,2026-06-30,2026-08-13,aggregator_panel:2026-06,1.0,1 - factor roll-forward from last published NAV,63.0,False,asx_monthly_report,0.112697,45.0,no,announcement_held_never_parsed,True,False,a NAV/NTA announcement is indexed but no value has been extracted from it,,3.0,,-0.211466,-0.245299,0.788534,ok,,,False,1.0284,ok,-0.198146,0.092388,True,24,,-0.5104,voided_within_error_band,True,,False,True,True,True,True,False,AMBER,z_within_error_band; stale_nav; rolled_forward_nav; monthly_report_nav_not_announcement,z_within_error_band,"none needed - the discount is within its own estimate's error band, so there is no current dislocation to signal"
ASX,AU,AIQ,Alternative Investment Trust,ASX:AIQ,,,AIQ,Equity - Global Strategy,Ordinary,True,True,live,nav_18d_old,own_nav_announcement,live,,sole_claimant,True,,ASX:AIQ,Alternative Investment Trust,1,False,1.3899999856948853,AUD,1.3899999856948853,AUD,unit_canonical,2026-08-31,yahoo:AIQ.AX,1.0,1.0,True,False,asx_code,,1.5212,AUD,1.5212,2026-06-30,2026-08-14,asx_ann:03117982,0.0,0 - published NAV (issuer announcement),63.0,True,nta_announcement,0.275417,45.0,tier0_announcement,announcement_newer_than_last_parse,True,False,latest NAV announcement 2026-08-14 not parsed; newest parsed value is 2026-06-30,,5.0,2026-06-30,-0.086248,-0.018742,0.913752,ok,,,False,0.9586,ok,-0.139178,0.145308,True,24,,0.8288,voided_within_error_band,True,,False,True,True,True,True,False,AMBER,z_within_error_band; stale_nav,z_within_error_band,"none needed - the discount is within its own estimate's error band, so there is no current dislocation to signal"
ASX,AU,APL,Antipodes Global Investment Company Ltd,ASX:APL,,,APL,Equity - Global,Ordinary,True,True,live_stale_nav,periodic_report_7d_old_no_recent_nav,own_periodic_report,delisted,,sole_claimant,True,,ASX:APL,Antipodes Global Investment Company Ltd,1,False,0.26499998569488525,AUD,0.26499998569488525,AUD,unit_canonical,2026-08-31,yahoo:APL.AX,1.0,1.0,True,False,asx_code,,1.2296651982378854,AUD,1.2296651982378854,2021-10-31,2021-12-16,aggregator_panel:2021-10,1.0,1 - factor roll-forward from last published NAV,1766.0,False,asx_monthly_report,0.620604,1261.0,no,announcement_held_never_parsed,True,False,a NAV/NTA announcement is indexed but no value has been extracted from it,,0.0,,-0.784494,-0.77808,0.215506,ok,,,False,0.2275,ok,-0.11738,0.043667,True,24,-15.1303,-15.1303,computed,True,,False,True,True,False,False,False,RED,nav_too_stale,nav_too_stale,the newest NAV we hold is older than the amber window - re-run the NAV harvest for this fund and check its publication frequency
