file,publication_type,rows_parsed,rows_with_price,rows_with_nav
2007-01_mir_ErrataAdditional 0701.csv,mir,31,31.0,31.0
2007-01_mir_MIR0701.CSV,mir,372,249.0,248.0
2007-01_mir_PostMIRErrataAdditional0701.csv,mir,9,9.0,8.0
2007-02_mir_ErrataAdditional 0702.csv,mir,37,37.0,35.0
2007-02_mir_MIR0702.CSV,mir,369,247.0,247.0
2007-02_mir_PostMIRErrataAdditional0702.csv,mir,10,10.0,10.0
2007-03_mir_ErrataAdditional0703.csv,mir,50,50.0,50.0
2007-03_mir_MIR0703.CSV,mir,376,243.0,247.0
2007-03_mir_PostMIRErrataAdditional0703.csv,mir,6,6.0,6.0
2007-04_mir_ErrataAdditional0704.csv,mir,26,26.0,26.0
2007-04_mir_MIR0704.CSV,mir,373,239.0,239.0
2007-05_mir_ErrataAdditional0705.csv,mir,27,27.0,27.0
2007-05_mir_MIR0705.CSV,mir,388,235.0,235.0
2007-05_mir_PostMIRErrataAdditional0705.csv,mir,13,13.0,13.0
2007-06_mir_ErrataAdditional0706.csv,mir,41,40.0,38.0
2007-06_mir_MIR0706.CSV,mir,387,247.0,247.0
2007-06_mir_PostMIRErrataAdditional0706.csv,mir,2,2.0,2.0
2007-07_mir_ErrataAdditional 0707.csv,mir,28,27.0,25.0
2007-07_mir_MIR0707.CSV,mir,393,238.0,237.0
2007-07_mir_PostMIRErrataAdditional0707.csv,mir,7,7.0,6.0
2007-08_mir_ErrataAdditional 0708.csv,mir,23,22.0,22.0
2007-08_mir_MIR0708.CSV,mir,392,252.0,252.0
2007-08_mir_PostMIRErrataAdditional0708.csv,mir,7,7.0,7.0
2007-09_mir_ErrataAdditional 0709.csv,mir,41,41.0,41.0
2007-09_mir_MIR0709.CSV,mir,396,247.0,248.0
2007-09_mir_PostMIRErrataAdditional0709.csv,mir,15,15.0,15.0
2007-10_mir_ErrataAdditional 0710.csv,mir,25,23.0,25.0
2007-10_mir_MIR0710.CSV,mir,404,242.0,242.0
2007-10_mir_PostMIRErrataAdditional0710.csv,mir,33,33.0,33.0
2007-11_mir_ErrataAdditional 0711.csv,mir,54,54.0,54.0
2007-11_mir_MIR0711.CSV,mir,406,244.0,244.0
2007-11_mir_PostMIRErrataAdditional0711.csv,mir,26,26.0,26.0
2007-12_mir_ErrataAdditional 0712.csv,mir,37,37.0,35.0
2007-12_mir_MIR0712.CSV,mir,408,239.0,239.0
2007-12_mir_PostMIRErrataAdditional0712.csv,mir,10,10.0,10.0
2008-01_mir_Errata&Additional0801.csv,mir,17,17.0,17.0
2008-01_mir_MIR0801.CSV,mir,410,239.0,239.0
2008-01_mir_PostMIRErrataAdditional0801.csv,mir,4,4.0,4.0
2008-02_mir_Errata&Additional0802.csv,mir,38,38.0,38.0
2008-02_mir_MIR0802.CSV,mir,410,241.0,242.0
2008-02_mir_PostMIRErrataAdditional0802.csv,mir,2,2.0,2.0
2008-03_mir_Errata&Additional0803.csv,mir,36,36.0,36.0
2008-03_mir_MIR0803.CSV,mir,416,245.0,244.0
2008-03_mir_PostMIRErrataAdditional0803.csv,mir,9,9.0,9.0
2008-04_mir_ErrataAdditional0804.csv,mir,24,24.0,24.0
2008-04_mir_MIR0804.CSV,mir,422,248.0,247.0
2008-04_mir_PostMIRErrataAdditional0804.csv,mir,1,1.0,1.0
2008-05_mir_ErrataAdditional0805.csv,mir,34,32.0,32.0
2008-05_mir_MIR0805.CSV,mir,429,248.0,247.0
