name,months,start,end,cumulative_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,best_month,worst_month,pct_positive_months,t_stat_mean,alpha_annual_vs_benchmark,beta_vs_benchmark,alpha_t_stat,information_ratio,overlap_months,strategy,period,basis,avg_monthly_one_way_turnover,avg_holdings,median_holdings,avg_missing_return_weight
A_absolute_discount_decile|full|gross,228,2007-02-28 00:00:00,2026-07-31 00:00:00,1956.6234875090622,0.49021490729486894,6.058013767414652,0.28876884985006745,17.128944819971696,-0.44435576671004307,1.1032036580156515,26.101517374956234,-0.20880191754069757,0.6710526315789473,1.2587142345389144,1.7580644789534148,-8.160226946459347e-05,1.2568440908952663,-0.3140221103952478,228.0,A_absolute_discount_decile,full,gross,,,,
A_absolute_discount_decile|full|net,228,2007-02-28 00:00:00,2026-07-31 00:00:00,769.1285530109342,0.4188104557317307,6.057258041041506,0.2805303206680729,15.685110531202083,-0.49305261188893534,0.8494234603630325,26.094251607303452,-0.21113252476261188,0.618421052631579,1.2228033183911893,1.7077505765218244,-7.979387488888303e-05,1.2210263562548058,-0.3141728011351402,228.0,A_absolute_discount_decile,full,net_headline,,,,
A_absolute_discount_decile|development|gross,119,2007-02-28 00:00:00,2016-12-31 00:00:00,20.77206388588198,0.3643137162683696,1.3269196042254672,0.44386757586000725,5.399208162177108,-0.44435576671004307,0.8198694459750231,4.118043537510551,-0.174894533580004,0.6386554621848739,1.397771815041141,0.08599632419501235,5.11581287109499,0.2919110123934891,0.4097497433333057,119.0,A_absolute_discount_decile,development,gross,,,,
A_absolute_discount_decile|development|net,119,2007-02-28 00:00:00,2016-12-31 00:00:00,12.027131245930034,0.29545319538400316,1.3265475554673454,0.40428914709928065,4.623595556533952,-0.49305261188893534,0.5992325935605362,4.112549256500989,-0.17983492901875014,0.5714285714285714,1.2731364165257846,0.03342179689922438,5.114864109866705,0.11349271401929754,0.3658841103248812,119.0,A_absolute_discount_decile,development,net_headline,,,,
A_absolute_discount_decile|validation|gross,53,2017-02-28 00:00:00,2021-12-31 00:00:00,47.512365639431536,1.4082548421441645,12.415074207113312,0.4878229656695721,50.94405498080307,-0.2962133659115078,4.7541907429149335,26.101517374956234,-0.20880191754069757,0.7169811320754716,1.025202257656052,6.257266875669912,-0.0004388298866593446,1.0300725487583775,-0.6566341678283754,53.0,A_absolute_discount_decile,validation,gross,,,,
A_absolute_discount_decile|validation|net,53,2017-02-28 00:00:00,2021-12-31 00:00:00,37.75334114865183,1.288849126696936,12.413684752064492,0.48361767539975553,48.52101384371481,-0.3035910517335745,4.245346229203108,26.094251607303452,-0.21113252476261188,0.6981132075471698,1.016364475546312,6.203430432549684,-0.00043674288545707626,1.02132148876234,-0.6567124212992205,53.0,A_absolute_discount_decile,validation,net_headline,,,,
A_absolute_discount_decile|holdout|gross,54,2022-02-28 00:00:00,2026-07-31 00:00:00,0.8699227007372234,0.14922550663774148,0.1096174146773398,1.3298202163241537,2.424804661293785,-0.08244249761817113,1.8100556260300722,0.06875746714456399,-0.05874371747734664,0.7037037037037037,2.8209746781653124,0.15596717846964045,-0.019138140978577207,3.000894611604639,-0.3764118752104884,54.0,A_absolute_discount_decile,holdout,gross,,,,
A_absolute_discount_decile|holdout|net,54,2022-02-28 00:00:00,2026-07-31 00:00:00,0.5484772578499992,0.10204942837182363,0.1095808673147075,0.9442254604884464,1.542381560567655,-0.09903395072481247,1.0304489281195124,0.05616798892138862,-0.0631129445706598,0.6481481481481481,2.003004678241113,0.11363030968317162,-0.019073457741259032,2.1868284959573585,-0.41758716381621447,54.0,A_absolute_discount_decile,holdout,net_headline,0.289246913705662,17.00851063829787,18.0,0.06915850769055433
B_absolute_discount_quintile|full|gross,228,2007-02-28 00:00:00,2026-07-31 00:00:00,5548.94252827521,0.5742286609434057,3.8229371733769377,0.3869720326246597,14.81663413317782,-0.4510185610548646,1.2731818832474904,12.686900033935284,-0.1910202822789161,0.6666666666666666,1.686771984187416,1.487217145994629,-7.361509629233479e-05,1.6848400179614016,-0.3148644346178739,228.0,B_absolute_discount_quintile,full,gross,,,,
B_absolute_discount_quintile|full|net,228,2007-02-28 00:00:00,2026-07-31 00:00:00,2254.4557307192817,0.5013640626367422,3.822832066767538,0.37432587446953774,13.61471626424286,-0.48828790809725187,1.0267795993360662,12.682551648620707,-0.196370941508486,0.618421052631579,1.631648658765207,1.4387897778170415,-7.321588523900522e-05,1.6300220265183454,-0.31500948678922663,228.0,B_absolute_discount_quintile,full,net_headline,,,,
