horizon,nav_quartile,z_quartile,mean_monthly_fwd_return,t_stat,months,avg_names_per_month
t+1,1,1,0.014208839118524927,3.9991326885850054,168,3.369047619047619
t+1,1,2,0.00890755130427485,2.3686666941868624,179,3.3184357541899443
t+1,1,3,0.008359093164953176,2.286710727118228,176,4.0227272727272725
t+1,1,4,0.0027234252239560076,0.7591866556700317,178,5.112359550561798
t+1,2,1,0.010859937959023546,3.5515660697505043,174,3.9022988505747125
t+1,2,2,0.007420021117391605,2.443661772768426,180,4.177777777777778
t+1,2,3,0.005231006696116329,1.7701988082044058,174,4.390804597701149
t+1,2,4,-9.95954692040995e-05,-0.030716799009194162,178,3.9775280898876404
t+1,3,1,0.015312256514017405,5.163024546059944,177,4.361581920903955
t+1,3,2,0.006486198495511461,2.2472159096184825,178,4.286516853932584
t+1,3,3,0.0036517822699852513,1.299265561734664,180,3.716666666666667
t+1,3,4,-0.0010799078923556277,-0.3286448328922642,176,3.6704545454545454
t+1,4,1,0.00983264454043688,2.73397803742562,176,4.3977272727272725
t+1,4,2,0.008009878217918669,2.172871952260093,180,4.4222222222222225
t+1,4,3,0.0020109742109824216,0.5743181975606505,177,3.9887005649717513
t+1,4,4,-0.003442519909633122,-1.0490960045075255,174,3.7701149425287355
t+2_skip,1,1,0.00882572426519126,2.236885183007616,166,3.3795180722891565
t+2_skip,1,2,0.00924366820682063,2.2880560780966586,177,3.2824858757062145
t+2_skip,1,3,0.007351824667561421,1.9870340896828107,175,3.994285714285714
t+2_skip,1,4,0.006911383274633436,1.8014975532748512,177,5.073446327683616
t+2_skip,2,1,0.006568169683279215,2.2517294914771435,173,3.8728323699421967
t+2_skip,2,2,0.0048647565648987905,1.567792275092921,179,4.162011173184357
t+2_skip,2,3,0.007381926742976463,2.394247681649406,173,4.341040462427745
t+2_skip,2,4,0.004746136112645785,1.5102676702084084,177,3.92090395480226
t+2_skip,3,1,0.0073987277904630465,2.554855193404122,176,4.3352272727272725
t+2_skip,3,2,0.0072624022393290195,2.5366099240419206,176,4.2727272727272725
t+2_skip,3,3,0.0038934454359944638,1.3252385717090505,179,3.6815642458100557
t+2_skip,3,4,0.00951096254675105,2.947006959953894,175,3.617142857142857
t+2_skip,4,1,0.008257099911096348,2.4863462353129724,174,4.333333333333333
t+2_skip,4,2,0.005908818531900217,1.546329181174983,179,4.324022346368715
t+2_skip,4,3,0.007333143911698468,1.8847835257214418,176,3.9375
t+2_skip,4,4,-0.001039862792547035,-0.3053450705690264,173,3.6820809248554913
