year,securities,rows,with_price,with_discount,with_return,price_coverage_pct,return_coverage_pct
2005,3,5,5,5,0,1.0,0.0
2006,52,85,85,85,15,1.0,0.1765
2007,443,4658,3170,3162,2790,0.6805,0.599
2008,472,5133,3070,3050,2911,0.5981,0.5671
2009,472,5126,2837,2807,2703,0.5535,0.5273
2010,472,5112,2686,2656,2574,0.5254,0.5035
2011,461,5108,2599,2579,2504,0.5088,0.4902
2012,449,5029,2670,2455,2389,0.5309,0.475
2013,441,4932,2446,2437,2375,0.4959,0.4815
2014,449,5029,2536,2530,2473,0.5043,0.4917
2015,445,5049,2557,2549,2484,0.5064,0.492
2016,441,4944,2536,2519,2463,0.5129,0.4982
2017,441,4889,2501,2498,2414,0.5116,0.4938
2018,442,4877,2479,2479,2432,0.5083,0.4987
2019,427,4904,2422,2422,2389,0.4939,0.4872
2020,423,4876,2417,2417,2373,0.4957,0.4867
2021,429,4788,2331,2330,2295,0.4868,0.4793
2022,402,4685,2276,2275,2236,0.4858,0.4773
2023,388,4495,2157,2157,2114,0.4799,0.4703
2024,368,4170,1980,1980,1955,0.4748,0.4688
2025,327,3716,1805,1805,1777,0.4857,0.4782
2026,292,1988,985,985,966,0.4955,0.4859
