ticker,fund,listing_status,last_seen,isin,security_id
AEWL,AEW UK Long Lease REIT,delisted,2018-06,GB00BDVK7088,SEDOL:BDVK708
AFMC,Aberdeen Frontier Markets,delisted,2020-07,GG00B1W59J17,SEDOL:B1W59J1
ANW,Aberdeen New Thai,delisted,2021-10,GB0000059971,NAME:aberdeen new thai|ordinary share
BEEP,BlackRock Emerging Europe,delisted,2018-10,GB00B0BN1P96,SEDOL:B0BN1P9
BLP,Blue Planet Investment Trust,delisted,2023-01,GB0005327076,SEDOL:532707
TCT,Cayenne Trust,delisted,2015-09,GB0006369119,SEDOL:636911
DNDL,Dunedin Smaller Companies,delisted,2018-09,GB00B1GCL258,SEDOL:B1GCL25
ET.,Establishment Investment Trust,delisted,2019-06,GB0031336919,SEDOL:3133691
FEET,Fundsmith Emerging Equities,delisted,2022-10,GB00BLSNND18,SEDOL:BLSNND1
DIGS,GCP Student Living,delisted,2021-11,GB00B8460Z43,SEDOL:B8460Z4
GVP,Gabelli Value Plus+,delisted,2020-09,GB00BTLJYS47,SEDOL:BTLJYS4
GIF,Gulf Investment Fund,delisted,2024-09,IM00B1Z40704,SEDOL:B1Z4070
HAST,Henderson Alternative Strategies,delisted,2020-08,GB0001216000,SEDOL:0121600
HGL,Henderson Global,delisted,2016-03,GB0003184024,SEDOL:318402
HINC,Henderson International Income C shares,delisted,2017-07,GB00BF2CLK52,SEDOL:BFMYZ98
IIT,Independent Investment Trust,delisted,2022-10,GB0000811686,NAME:independent investment trust|ordinary share
IPE,Invesco Enhanced Income,delisted,2021-04,GB00B05NYM32,SEDOL:B05NYM3
IVI,Invesco Income Growth,delisted,2021-03,GB0003585725,SEDOL:358572
JPB,JPMorgan Brazil,delisted,2020-10,GB00B602HS43,SEDOL:B602HS4
JPEC,JPMorgan Elect Managed Cash,delisted,2022-11,GB0034080092,SEDOL:3408009
JPE,JPMorgan Elect Managed Growth,delisted,2022-11,GB0008528142,SEDOL:852814
JPEI,JPMorgan Elect Managed Income,delisted,2022-11,GB0034080217,SEDOL:3408021
JETI,JPMorgan European Income,delisted,2022-01,GB00B17XWW44,SEDOL:B17XWW4
JGCI,JPMorgan Global Convertibles Income,delisted,2019-09,GG00B96SW597,SEDOL:B96SW59
JPSL,JPMorgan Senior Secured Loan,delisted,2016-05,GG00BGCZJW90,SEDOL:BGCZJW9
JEFI,Jupiter Emerging & Frontier Income,delisted,2022-05,GB00BDR05757,SEDOL:BDR0575
JUKG,Jupiter UK Growth,delisted,2021-02,GB00BFD3V961,SEDOL:703376
WTR,Lazard World Trust Fund,delisted,2018-10,LU0483266259,SEDOL:981536
LSLI,London & St Lawrence,delisted,2017-03,GB0005310056,SEDOL:531005
MCP,Martin Currie Asia Unconstrained,delisted,2019-08,GB0005695126,SEDOL:569512
MTH,Mithras,delisted,2018-08,GB0005962864,SEDOL:596286
MINC,Miton UK Microcap C shares,delisted,2016-06,GB00BWFGQ200,SEDOL:BWFGQ20
NCE,New City Energy,delisted,2017-02,JE00B2B0SY27,SEDOL:B2PKXF4
PLI,Perpetual Income & Growth,delisted,2020-10,GB0006798424,SEDOL:679842
RDL,RDL Realisation,delisted,2021-01,GB00BW4NPD65,SEDOL:BW4NPD6
RDLC,Ranger Direct Lending C shares,delisted,2017-02,GB00BYZKH015,SEDOL:BYZKH01
FCIF,SME Credit Realisation Fund,delisted,2023-02,GG00BKQN9M74,SEDOL:BYYJCZ9
SIT,Sanditon Investment,delisted,2019-11,GB00BMPHJ807,SEDOL:BMPHJ80
SGEM,ScotGems,delisted,2022-08,GB00BYT25542,SEDOL:BYT2554
SCIN,Scottish Investment Trust,delisted,2022-07,GB0007826091,SEDOL:782609
UKT,Threadneedle UK Select Trust,delisted,2017-05,GB0004618236,SEDOL:461823
UKRO,Ukraine Opportunity,delisted,2015-10,GB00B0HW6117,SEDOL:B0HW611
BPCR,BioPharma Credit,live,2026-07,GB00BDGKMY29,SEDOL:BDGKMY2
MERI,Chrysalis Investments,live,2026-07,GG00BGJYPP46,SEDOL:BGJYPP4
JRS,"JPMorgan Emerging Europe, Middle East & Africa",live,2026-07,GB0032164732,SEDOL:3216473
JARA,JPMorgan Global Core Real Assets,live,2026-07,GG00BWPKR307,SEDOL:BJVKW83
SLPE,Patria Private Equity,live,2026-07,GB0030474687,SEDOL:3047468
VIN,Value and Indexed Property Income Trust,live,2026-07,GB0008484718,SEDOL:848471
VTA,Volta Finance,live,2026-07,GG00B1GHHH78,SEDOL:B1GHHH7
